"","PROJECT","SAMPLING_DATE","SITE","FIELD.REP","SAMPLE_DESCRIPTOR","OM.AREA.g.m2","ASH.AREA.g.m2","PHICOCYANIN.MG.M2","TOTAL.MG.M2.RITCHIE","Al","Alr","As","B","Br","Ba","Be","Car","Cd","Co","Cr","Cu","Fe","Fer","Fer.1","Kr","Lir","Mgr","Mn","Mnr","Mo","Nar","Ni","P","Pb","S","Sr","S.1","Sb","Se","Si","Sir","Sir.1","Sn","Srr","Ti","Tl","Zn","Znr","Al.1","Alr.1","As.1","B.1","Br.1","Ba.1","Be.1","Car.1","Cd.1","Co.1","Cr.1","Cu.1","Fe.1","Fer.2","Fer.1.1","Kr.1","Lir.1","Mgr.1","Mn.1","Mnr.1","Mo.1","Nar.1","Ni.1","P.1","Pb.1","S.2","Sr.1","S.1.1","Sb.1","Se.1","Si.1","Sir.2","Sir.1.1","Sn.1","Srr.1","Ti.1","Tl.1","Zn.1","Znr.1"
"216","LTREB",2021-06-22,"BN",3,"EPIP",6.842055784,51.39258443,9.38339079,5.393891465,31.5792349726776,33.7595628415301,0.0595628415300546,17.9398907103825,18.9453551912568,20.4754098360656,0.00134972677595628,25.6120218579235,0.00410874316939891,0.0174699453551913,0.0289890710382514,0.579234972677596,19.568306010929,21.879781420765,21.9289617486339,20.327868852459,0.0215956284153005,8.3879781420765,2.19125683060109,2.31530054644809,0.000473816707066214,46.5846994535519,0.0219234972677596,1.30546448087432,0.103005464480874,1.70054644808743,1.82786885245902,2.3983606557377,0.00109636378111319,0.00355876585082744,6.62295081967213,7.00546448087432,7.03825136612022,0.00114947654130078,0.35568306010929,0.769398907103825,0.000848018052294945,18.3114754098361,20.1420765027322,216.066887299104,230.984812205202,0.407532284402186,122.745732999301,129.625177066273,140.093896298623,0.00923490589425137,175.23888229294,0.0281122499671563,0.11953034066365,0.198344841170055,3.96315799510382,133.887441325158,149.702685022601,150.039179569355,139.084412658361,0.147758494308022,57.3910143630601,14.9927014720437,15.8414154955235,0.00324188034113822,318.735112342076,0.150001791286383,8.93206080217268,0.704769134034973,11.6352336610973,12.5063806543607,16.4097173967082,0.00750138214993362,0.0243492744735556,45.3145989628852,47.9317787709727,48.1561084688088,0.00786478261797929,2.43360333869159,5.26427024255301,0.00580218681964105,125.288136241443,137.81321103729
"217","LTREB",2021-06-22,"BN",4,"EPIP",-0.212791209,30.64193404,1.276092509,0.940810006,25.1387900355872,27.220640569395,0.0395017793594306,12.5053380782918,13.3238434163701,14.4341637010676,0.00100640569395018,23.1708185053381,0.00235943060498221,0.0127081850533808,0.0245231316725979,0.361209964412811,15.5195729537367,16.7081850533808,17.7758007117438,15.0604982206406,0.0172811387900356,6.90391459074733,1.39928825622776,1.48505338078292,0.000308571022751306,32.7010676156584,0.0167081850533808,1.39608540925267,0.0645551601423487,1.17437722419929,1.30035587188612,1.76227758007117,0.00165729537366548,0.00231763042954243,5.08540925266904,5.51601423487544,5.56583629893238,0.00074859148419232,0.262775800711744,0.707829181494662,0.000552267984234786,12.9359430604982,14.202846975089,-5.34931352446975,-5.79231301651601,-0.00840563138754448,-2.66102600863345,-2.83519674909609,-3.07146314485409,-0.000214154284360142,-4.93054648327046,-0.000502066090985765,-0.00270419006170463,-0.00521830683707829,-0.0768623050302491,-3.30242869198932,-3.55535489770463,-3.78253412439502,-3.20474162451246,-0.00367727441602847,-1.46909233259786,-0.297756239782206,-0.316006304326335,-6.5661200993617e-05,-6.95849971352669,-0.00355535489770463,-0.297074702102135,-0.013736770573879,-0.249897149359431,-0.276704298108897,-0.374997176856939,-0.000352657886232384,-0.000493171381117522,-1.08213038313523,-1.17375933790036,-1.18436103514591,-0.000159293686968388,-0.055916380329395,-0.15061982729573,-0.000117517772057313,-2.75265496339858,-3.02224097907117
"218","LTREB",2021-07-07,"BG",3,"EPIP",NA,NA,6.69432958,8.958626415,27.1244635193133,29.6638054363376,0.0472103004291846,18.9198855507868,20.7868383404864,23.2832618025751,0.00134907010014306,30.4077253218884,0.00379327610872675,0.017381974248927,0.0278969957081545,0.550786838340486,18.7124463519313,20.2074391988555,20.2217453505007,22.5107296137339,0.0204792560801144,7.67525035765379,2.96781115879828,3.13090128755365,0.000620232170193971,51.8669527896996,0.021244635193133,1.29399141630901,0.0898426323319027,2.10872675250358,2.36552217453505,2.78755364806867,0.00418526466380544,0.00465847031975266,2.82045779685265,3.12875536480687,3.18526466380544,0.00150467959268986,0.410729613733906,0.696494992846924,0.00111006654914145,20.829756795422,22.9327610872675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","LTREB",2021-07-07,"BN",2,"EPIP",3.167315297,18.60169302,3.665036273,5.353901578,67.1608040201005,74.4472361809045,0.123115577889447,37.248743718593,41.7085427135678,44.7236180904523,0.00366457286432161,118.20351758794,0.00905778894472362,0.0415452261306533,0.0645603015075377,1.27763819095477,47.9773869346734,54.9371859296482,55.0251256281407,47.4497487437186,0.052713567839196,21.570351758794,8.93844221105528,9.96859296482412,0.00108930222855675,99.786432160804,0.0506030150753769,4.78894472361809,0.225,5.4572864321608,6.16206030150754,7.81658291457286,0.00908542713567839,0.00818158480780681,7.28643216080402,8.09422110552764,8.15201005025126,0.00264264079218646,1.04145728643216,1.81532663316583,0.00194958924082883,39.9246231155779,46.0427135678392,212.719441931683,235.797869975151,0.389945853148241,117.978515773932,132.104105352261,141.653799715075,0.0116068576901369,374.38780941549,0.0286888734816206,0.131586830240942,0.204482830543756,4.04668298624246,151.959511548279,174.003389369108,174.281922121357,150.288315034786,0.166960489776533,68.320105087299,28.3108647464259,31.573676987054,0.00345016361156398,316.055093015967,0.160275703722563,15.168097879603,0.712645941825,17.2849467966935,19.5171878540013,24.7575826355955,0.0287764123466131,0.0259136587154693,23.0784280434673,25.6369503248379,25.8199861334585,0.00837007660556836,3.29862359448869,5.74971181427764,0.00617496382534378,126.45386952093,145.831790998807
"220","LTREB",2021-07-07,"BN",3,"EPIP",2.095174977,10.08302958,2.383261536,3.476039143,18.7583572110793,20.611270296084,0.0348615090735435,11.2082139446036,12.4880611270296,14.0162368672397,0.00102483285577841,32.5644699140401,0.0025639923591213,0.012468958930277,0.0195702005730659,0.376934097421203,14.0830945558739,15.5921680993314,15.6160458452722,14.6275071633238,0.0147707736389685,5.96466093600764,2.43457497612225,2.64517669531996,0.000414080503310015,30.974212034384,0.0154202483285578,1.31518624641834,0.0672397325692455,1.37917860553964,1.54345749761223,2.0702005730659,0.00213467048710602,0.00311009623066582,2.53486150907354,2.81423113658071,2.82951289398281,0.00100455686274137,0.275835721107927,0.529608404966571,0.000741104601575812,12.4164278892073,13.8968481375358,39.3020406382808,43.1842177685387,0.0730409614713467,23.483169393596,26.1646731845989,29.3664687559456,0.00214720415503438,68.2282625031662,0.00537201263205014,0.026124650739957,0.0410029945355587,0.789742888894986,29.506547312192,32.6683204388968,32.7183484946991,30.6471869844842,0.030947355319298,12.4970083394126,5.10086056960172,5.54210802177794,0.000867571108998709,64.8963939867335,0.0323081184371203,2.75554531359026,0.140879005139255,2.8896205031404,3.23381352706017,4.33743243805874,0.00447250818872493,0.00651619579855304,5.31097840397135,5.89630665685817,5.92832461257163,0.00210472240178933,0.57792410062808,1.10962227769484,0.0015527438165612,26.014589017192,29.1163284769341
"221","LTREB",2021-07-07,"GC",2,"EPIP",0.671110735,3.642003378,1.005029247,1.686672655,53.9122807017544,58.3333333333333,0.0473684210526316,56.6666666666667,63.3859649122807,69.140350877193,0.00101616302023838,52.7368421052632,0.00247894736842105,0.0324736842105263,0.043719298245614,0.412456140350877,17.4070175438596,18.4385964912281,18.4561403508772,63.0701754385965,0.0242456140350877,9.64912280701754,3.17894736842105,3.34912280701754,0.00152120100689679,147.368421052632,0.0294561403508772,2.43508771929825,0.0647543859649123,2.67368421052632,3.05789473684211,3.80877192982456,0.0137614035087719,0.0114255114158144,6.99824561403509,7.76842105263158,7.89649122807018,0.00369042468522881,1.21122807017544,0.750701754385965,0.00272258427315746,60.4912280701754,67.4912280701754,36.1811103272807,39.1481262083333,0.0317894558684211,38.0296083166667,42.5390015009649,46.4008316953509,0.000681957911391999,35.3922608668421,0.00166364819044737,0.0217934380786842,0.0293404903792982,0.27680374350614,11.6820363380175,12.3743400435965,12.3861139161403,42.3270717951754,0.016271491855614,6.47562989912281,2.13342570494737,2.24763226862281,0.00102089432582125,98.900529368421,0.0197683320011403,1.63421350908772,0.043457363559386,1.79433817568421,2.05218598439474,2.55610772927193,0.00923542562340351,0.00766778336401811,4.69659775774561,5.21347076242105,5.29942003199123,0.00247668362296605,0.81286816042807,0.503804006151754,0.00182715553265814,40.5963125312281,45.2940876762281
"222","LTREB",2021-07-07,"GC",3,"EPIP",1.431663928,6.940851703,2.310596846,3.338346336,27.0947030497592,29.3499197431782,0.0497592295345104,22.4719101123595,24.9518459069021,27.8330658105939,0.00118378812199037,37.7447833065811,0.0029438202247191,0.0175361155698234,0.0258988764044944,0.527447833065811,16.6211878009631,18.2343499197432,18.2423756019262,26.669341894061,0.0177046548956661,6.89727126805778,2.85473515248796,3.08988764044944,0.000695894521614102,59.0529695024077,0.0190208667736758,1.51845906902087,0.0825040128410915,2.11556982343499,2.42536115569823,2.93097913322632,0.00417255216693419,0.00522675883387979,3.62038523274478,4,4.1123595505618,0.00168823601170178,0.527046548956661,0.656821829855538,0.00124548397728712,23.8202247191011,27.215088282504,38.7905089962119,42.0192213860032,0.0712384940096308,32.1722231011236,35.7226577219262,39.8475963266774,0.00169478675264848,54.0378447302087,0.00421456122624719,0.0251058240985554,0.0370784871240449,0.755128036502087,23.7959550151525,26.105461030626,26.116951110305,38.1815347732263,0.0253471157718138,9.87457447610915,4.08702134181059,4.4236806764045,0.000996287084287726,84.5440062778812,0.0272314888391653,2.17392307526164,0.11811801909984,3.02878500337721,3.47230207898555,4.19617709876083,0.00597369242509791,0.00748296208282104,5.18317494318459,5.726655712,5.88751682750562,0.00241698659990403,0.754553532518138,0.940348120927127,0.00178311448318394,34.102556487191,38.9628601913965
"223","LTREB",2021-07-07,"GC",4,"EPIP",1.980595096,6.764889742,2.500179783,1.958782827,42.7857142857143,46.9,0.06,41.1714285714286,46.1571428571429,51.5,0.000827447030765538,46.4571428571429,0.00340857142857143,0.0268142857142857,0.0371857142857143,0.609714285714286,19.2,20.5571428571429,20.4857142857143,45.4571428571428,0.0223571428571429,8.70857142857143,5.02428571428571,5.37285714285714,0.0012386922484731,108.071428571429,0.0267428571428571,1.91,0.0898142857142857,2.48714285714286,2.81,3.47714285714286,0.00810857142857143,0.00930363072430603,6.39142857142857,7.12714285714286,7.22,0.00300506010082917,0.924714285714286,0.693142857142857,0.00221696147957107,45.0857142857143,48.9571428571429,84.7411758931429,92.8899100024,0.11883570576,81.5439295238857,91.4186107882286,102.000647444,0.00163883753133399,92.0127893170286,0.00675099985579429,0.0531082427884571,0.0736498433555429,1.20759712424686,38.0274258432,40.7153763306286,40.5739052523429,90.0321942210286,0.0442804475034286,17.2481538645943,9.95107564661714,10.6414545086514,0.00245334779277904,214.045741446286,0.0529667717101714,3.78293663336,0.177885733836457,4.92602294590857,5.56547221976,6.88681209094857,0.0160597968069943,0.0184267253875554,12.6588320850057,14.1159841913486,14.29989659312,0.00595180729888752,1.83148457948686,1.37283534368457,0.00439090303445937,89.2965446139429,96.9642770570286
"224","LTREB",2021-07-07,"GC",5,"EPIP",1.139952903,7.485690731,1.713729198,1.522184887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","LTREB",2021-07-07,"BG",1,"EPIP",0.434935877,2.862158674,0.621888153,0.971689962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
