"SampleID","Date","Al","Alr","As","B","Br","Ba","Be","Car","Cd","Co","Cr","Cu","Fe","Fer","Fer.1","Kr","Lir","Mgr","Mn","Mnr","Mo","Nar","Ni","P","Pb","S","Sr","S.1","Sb","Se","Si","Sir","Sir.1","Sn","Srr","Ti","Tl","Zn","Znr","SAMPLING_DATE","SITE","SAMPLE_DESCRIPTOR","FIELD.REP","DIGEST_DATE","OES_DATE","ICP_NUMBER","LAB.DUPLICATE","LAB.SPIKE","ICP.DUPLICATE","ICP.SPIKE","DRY_MASS"
"CCV","7/14/2021",2.055,2.053,1.995,0.1895,0.191,0.1903,0.2053,1.94,0.3978,0.395,0.9966,0.3858,2.059,2.051,2.045,4.107,1.021,2.066,0.3886,0.3852,2.076,2.093,0.4115,2.082,2.017,-0.00823,-0.002633,0.05757,0.9979,0.9997,2.082,2.071,2.117,0.8006,0.1988,2.093,1.026,1.011,0.9862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CV","7/14/2021",2.02,2.023,1.904,1.871,1.864,1.881,2.038,1.872,1.851,1.965,1.93,1.86,2.036,2.048,2.068,1.996,1.994,1.991,1.87,1.885,2.094,1.986,2.052,2.041,2.059,0.01352,-0.01104,0.04196,1.908,1.918,8.778,8.81,8.827,1.977,1.706,2.029,2.087,1.999,1.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S IPC","7/14/2021",0.037,0.04,0.006,0.003623,0.004947,0.001848,0.001562,0.007629,0.00167,0.001509,0.001962,0.001561,0.003796,0.00472,0.005229,0.004559,0.003025,0.003337,0.001566,0.00212,0.002413,0.06141,0.001775,-0.02238,0.002972,20.28,20.27,20.44,0.001618,-0.001599,0.35,0.322,0.3207,0.002524,0.002154,0.002525,0.000646,0.002696,0.002904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lblank","7/14/2021",0.001,-0.001,0.004,-0.003231,-0.003837,0.000271,0.000289,-0.001638,0.000294,0.000157,0.000321,0.000023,0.000323,0.000179,0.001923,-0.004347,0.000586,0.000171,0.000177,0.000208,0.000605,-0.000203,0.00031,-0.007873,-0.000035,0.02006,0.0398,0.02009,-0.000251,0.002009,0.005961,0.00972,0.008311,0.000494,0.000317,0.000303,0.000489,0.000406,-0.000065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LFB","7/14/2021",28.98,29.18,0.48,-0.002709,-0.004316,0.001583,-0.000074,28.09,0.09471,0.09028,0.1828,4.618,28.9,30.62,30.67,-0.01008,-0.000016,15.63,4.514,4.619,-0.002158,-0.004145,0.1925,5.199,1.011,10.13,10.2,11.02,0.000606,0.08697,-0.003818,-0.003007,0.003778,-0.0276,0.002136,-0.002563,-0.02243,4.666,4.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CV","7/14/2021",2.036,2.128,1.885,1.905,1.932,1.888,2.018,2.102,1.845,1.974,1.944,1.846,2.09,2.139,2.157,2.036,1.982,2.046,1.881,1.91,2.099,2.076,2.048,2.209,2.05,0.04042,0.0494,0.07673,1.879,1.895,8.665,8.846,8.924,1.979,1.686,2.021,2.055,2.04,1.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S IPC","7/14/2021",0.056,0.061,0.004,0.0488,0.0521,0.01079,0.001574,0.07139,0.001373,0.001232,0.001471,0.0026,0.02196,0.02612,0.02643,0.01109,0.002735,0.01618,0.00662,0.007666,0.001964,0.09073,0.001541,-0.01255,0.002472,20.24,20.67,20.75,0.001569,0.00106,0.3491,0.3342,0.3341,0.001692,0.00248,0.002648,-0.00228,0.01155,0.01078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lblank","7/14/2021",0.015,0.017,0.002,0.02039,0.02273,0.006887,0.000013,0.04055,-0.000061,-0.000161,-0.00009,0.000315,0.01164,0.01394,0.0135,0.01283,-0.000026,0.008371,0.0033,0.004019,-0.000101,0.02545,0.000074,-0.01133,0.00003,0.01035,0.03878,0.01901,-0.001745,-0.003529,0.004935,0.008954,0.009106,-0.000151,0.000145,0.000297,-0.002935,0.006316,0.006888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CV","7/14/2021",2.109,2.181,1.884,2.149,2.174,1.974,2.038,2.457,1.836,1.946,1.945,1.852,2.137,2.155,2.17,2.108,1.995,2.022,1.899,1.879,2.074,2.216,2.06,2.322,2.022,0.05533,0.05473,0.09139,1.874,1.895,8.687,8.692,8.786,1.959,1.703,2.029,2.049,2.063,2.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S IPC","7/14/2021",0.066,0.075,0.003,0.2074,0.2203,0.02379,0.001497,0.1342,0.001415,0.001101,0.001552,0.003204,0.0269,0.03137,0.03237,0.04892,0.002485,0.01393,0.006478,0.008049,0.002031,0.1404,0.001582,-0.02187,0.00242,20.57,21.01,21.4,0.001528,-0.000234,0.3312,0.305,0.3076,0.002117,0.00251,0.00262,-0.000393,0.02574,0.02871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lblank","7/14/2021",0.018,0.018,0.001,0.1382,0.1468,0.01603,-0.000034,0.05362,0.00003,-0.000082,0.000015,0.0002,0.01142,0.01205,0.0127,0.02297,-0.000076,0.004385,0.001944,0.002171,-0.000014,0.05891,0.000147,-0.0139,-0.000005,0.009122,0.02806,0.01851,-0.000935,-0.003311,0.001345,0.006432,0.00234,0.00012,0.000281,0.000237,-0.001972,0.01559,0.01508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CV","7/14/2021",2.079,2.101,1.869,1.994,1.982,1.885,2.017,2.242,1.829,1.945,1.919,1.837,2.08,2.089,2.111,2.02,1.951,1.998,1.862,1.858,2.07,2.078,2.028,2.411,2.022,0.04552,0.03194,0.08382,1.881,1.879,8.611,8.664,8.705,1.949,1.631,1.999,2.034,2.011,1.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S IPC","7/14/2021",0.068,0.077,0.003,0.1383,0.1458,0.01903,0.000998,0.07221,0.000903,0.000747,0.000972,0.001837,0.02797,0.03128,0.03234,0.0367,0.00206,0.0138,0.003484,0.0045,0.001369,0.1359,0.000917,-0.01282,0.000665,20.73,21.27,21.61,0.001331,0.000057,0.34,0.3094,0.3077,0.001358,0.002086,0.00231,-0.00014,0.0215,0.02295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lblank","7/14/2021",0.016,0.02,0.002,0.08505,0.0906,0.007728,0.000035,0.04215,0.000005,-0.000046,0.000013,0.000344,0.01154,0.01388,0.01341,0.03062,-0.000126,0.005844,0.001411,0.0015,-0.000039,0.05297,0.000019,-0.0107,0.000086,0.01117,0.03176,0.01697,0.000543,-0.000965,0.001816,0.006713,0.007556,0.000061,0.00019,0.000259,-0.00126,0.009017,0.01027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
