NA,PROJECT,SAMPLING_DATE,SITE,FIELD.REP,SAMPLE_DESCRIPTOR,OM.AREA.g.m2,ASH.AREA.g.m2,PHICOCYANIN.MG.M2,TOTAL.MG.M2.RITCHIE,Al,Alr,As,B,Br,Ba,Be,Car,Cd,Co,Cr,Cu,Fe,Fer,Fer.1,Kr,Lir,Mgr,Mn,Mnr,Mo,r,Ni,P,Pb,S,Sr,S.1,Sb,Se,Si,Sir,Sir.1,Sn,Srr,Ti,Tl,Zn,Znr,Al.1,Alr.1,As.1,B.1,Br.1,Ba.1,Be.1,Car.1,Cd.1,Co.1,Cr.1,Cu.1,Fe.1,Fer.2,Fer.1.1,Kr.1,Lir.1,Mgr.1,Mn.1,Mnr.1,Mo.1,r.1,Ni.1,P.1,Pb.1,S.2,Sr.1,S.1.1,Sb.1,Se.1,Si.1,Sir.2,Sir.1.1,Sn.1,Srr.1,Ti.1,Tl.1,Zn.1,Znr.1
297,LTREB,6/22/2021,BG,4,FILA,108.8582718,212.3715336,,354.0446557,5.940228341,6.151779718,0.018804567,0.079180658,0.081262592,0.09842176,0.000194497,11.29281397,0.001336803,0.004006044,0.006514439,0.182572196,7.777031565,8.263935527,8.280725319,33.29751511,0.006783076,3.556077905,0.848556078,0.867696441,0.001519476,0.521155138,0.0061182,1.649429147,0.030802552,17.99529886,19.63398254,18.98253862,0.000673723,0.002186884,1.591336467,1.674949631,1.677971793,0.000706361,0.054331766,0.302955003,0.000521113,0.325386165,0.324714574,646.6429913,669.6721086,2.047032666,8.61946959,8.846105327,10.7140227,0.021172607,1229.316213,0.145522064,0.436091027,0.709150571,19.87449374,846.5942159,899.5977397,901.4254475,3624.70995,0.738393931,387.1084951,92.37234818,94.45593501,0.165407531,56.73204766,0.666016679,179.5540064,3.353112578,1958.937134,2137.321408,2066.406349,0.073340321,0.238060413,173.2301376,182.3321222,182.6611095,0.076893238,5.914462151,32.97915806,0.056727461,35.42097559,35.34786735
312,LTREB,7/7/2021,BG,4,FILA,104.7507532,415.061862,,175.9297445,6.498074194,7.270423677,0.035374012,0.061585242,0.068487736,0.129231705,0.000492804,16.30853436,0.001820393,0.004307723,0.007621123,0.288060004,7.397121427,9.042165011,9.155686195,11.43320495,0.008141091,3.652949524,1.590310156,1.836610582,0.000710825,0.265659842,0.006801135,1.439286438,0.033985404,6.537603892,7.822825867,6.889316846,0.00020336,0.000660099,0.726636935,0.821001419,0.822116359,0.000213211,0.062588688,0.260287857,0.000157295,0.388100547,0.424082708,680.6781662,761.5823562,3.705454401,6.451100486,7.174141931,13.53711844,0.05162159,1708.331258,0.190687538,0.451237229,0.798318374,30.17450239,774.854041,947.1735955,959.065025,1197.63683,0.852785414,382.649214,166.5861867,192.3863418,0.074459454,27.82806854,0.712424014,150.7663385,3.559996667,684.8189318,819.4469017,721.6611287,0.021302113,0.069145867,76.11576624,86.00051702,86.11730782,0.022334013,6.55621221,27.26534907,0.01647677,40.65382462,44.42298308
81,LTREB,7/20/2021,GR,3,EPIL,28.80865593,164.5273565,51.42532154,86.72086836,24.27628241,26.87513028,0.033159821,24.79270426,28.21182619,30.22491021,0.000656256,157.9978887,0.004064883,0.020234751,0.025367426,0.362547703,10.02167024,11.28226985,11.25520876,28.75435456,0.016268176,6.372309387,4.437527857,5.006883308,0.002165012,68.32223092,0.017268137,1.660069375,0.051516284,3.038162413,3.372655231,4.084728477,0.004905738,0.007784224,3.135661871,3.569639754,3.631017413,0.006298228,0.706686971,0.391345293,0.00149567,26.61863476,30.28494327,699.3670672,774.2363812,0.955289862,714.2444865,812.7447938,870.7390388,0.018905845,4551.706814,0.117103824,0.582935988,0.730801433,10.44451202,288.7108497,325.0270303,324.2474365,828.374307,0.468664285,183.5776686,127.8392132,144.2415785,0.062371074,1968.271643,0.497471809,47.82436745,1.484114895,87.5253756,97.16166413,117.6755372,0.141327727,0.224253019,90.33420395,102.8365235,104.6047313,0.181443492,20.35870179,11.27413188,0.043088248,766.8470901,872.4685105
235,LTREB,7/20/2021,BG,5,EPIP,42.23087063,336.783009,31.67315297,108.0073398,18.43098728,20.95560009,0.023653141,11.47679759,13.00675634,13.88424893,0.000637214,43.96215664,0.002420644,0.01658304,0.018123451,0.382046798,13.35661271,15.02183662,15.24690923,14.25069689,0.016655908,6.004133231,2.704404903,3.03725556,0.001078476,30.47637642,0.01259808,1.141188101,0.06071063,2.169056446,2.433374394,2.364632043,0.001727671,0.003190481,1.908598718,2.134068134,2.169709242,0.001368444,0.311771303,0.524272846,0.000683104,12.09422497,13.7713614,778.3566393,884.9732362,0.998892752,484.6751543,549.2866442,586.3439204,0.026910095,1856.56015,0.102225922,0.700316217,0.765369105,16.13416891,564.0613836,634.385239,643.8902512,601.8193369,0.703393505,253.5597737,114.2093736,128.2659466,0.045544962,1287.04391,0.532027905,48.19336704,2.563862747,91.60114216,102.7635192,99.86046991,0.072961055,0.134736781,80.60178554,90.12355528,91.62871032,0.057790591,13.16637358,22.14049875,0.028848095,510.7496501,581.5765819
80,LTREB,7/20/2021,GR,2,EPIL,32.14959483,217.3948646,25.52588387,43.33761408,24.27628241,26.87513028,0.033159821,24.79270426,28.21182619,30.22491021,0.000656256,157.9978887,0.004064883,0.020234751,0.025367426,0.362547703,10.02167024,11.28226985,11.25520876,28.75435456,0.016268176,6.372309387,4.437527857,5.006883308,0.002165012,68.32223092,0.017268137,1.660069375,0.051516284,3.038162413,3.372655231,4.084728477,0.004905738,0.007784224,3.135661871,3.569639754,3.631017413,0.006298228,0.706686971,0.391345293,0.00149567,26.61863476,30.28494327,780.4726434,864.0245494,1.066074797,797.0753965,906.9987813,971.7186171,0.021098355,5079.568106,0.130684351,0.650539056,0.815552452,11.65576174,322.1926377,362.7204045,361.8504013,924.4408487,0.523015267,204.8671649,142.6647227,160.9692697,0.069604246,2196.532042,0.555163598,53.37055781,1.656227651,97.67569059,108.4294992,131.3223655,0.157717499,0.250259635,100.8102587,114.7624718,116.7357386,0.202485488,22.71969979,12.5815926,0.048085191,855.7783224,973.6486556
354,LTREB,8/17/2021,BG,3,FILA,109.2928766,238.619216,,203.9654677,7.196936543,9.722830051,0.011889132,0.011670314,0.015609044,0.177097009,4.22E-05,100.0729395,0.001604668,0.003792852,0.007221007,0.225455872,6.145149526,9.066374909,9.28519329,5.067833698,0.012326769,4.388767323,1.996353027,2.886943837,0.001458789,0.327716995,0.004741065,1.115973742,0.029321663,3.928519329,5.167031364,4.043034282,0.000146342,0.002261123,0.545514223,0.643617797,0.640700219,0.005908096,0.215244347,0.275857039,0.000113193,0.351495259,0.426039387,786.5738975,1062.636065,1.299397437,1.275482188,1.70595732,19.35544155,0.004617351,10937.25943,0.175378782,0.414531706,0.789204627,24.6407208,671.6210688,990.8901941,1014.805484,553.878123,1.347228043,479.6610055,218.187165,315.5223965,0.159435246,35.81713309,0.518164632,121.9679805,3.204648896,429.3591782,564.7197213,441.8748469,0.015994138,0.247124637,59.62081866,70.34284047,70.02396997,0.645712807,23.52467386,30.14920932,0.012371189,38.41592797,46.56307015
233,LTREB,7/20/2021,BG,3,EPIP,42.79207821,301.912142,30.44551139,65.16901523,18.43098728,20.95560009,0.023653141,11.47679759,13.00675634,13.88424893,0.000637214,43.96215664,0.002420644,0.01658304,0.018123451,0.382046798,13.35661271,15.02183662,15.24690923,14.25069689,0.016655908,6.004133231,2.704404903,3.03725556,0.001078476,30.47637642,0.01259808,1.141188101,0.06071063,2.169056446,2.433374394,2.364632043,0.001727671,0.003190481,1.908598718,2.134068134,2.169709242,0.001368444,0.311771303,0.524272846,0.000683104,12.09422497,13.7713614,788.7002491,896.7336778,1.012167074,491.1160201,556.5861344,594.1358661,0.027267705,1881.232045,0.103584406,0.709622745,0.775540123,16.34857646,571.5572159,642.8156076,652.4469322,609.816936,0.712740927,256.9293388,115.7271061,129.9704775,0.04615021,1304.147483,0.539098044,48.83381046,2.597934013,92.81843308,104.1291474,101.1875193,0.073930637,0.136527303,81.67290561,91.32121049,92.84636759,0.058558572,13.341342,22.43472464,0.029231459,517.5370208,589.3051743
311,LTREB,7/7/2021,BG,2,FILA,102.3581151,466.3128983,,166.5926269,8.124762267,9.094712819,0.024153671,0.046262838,0.053718144,0.178965386,0.00060698,16.44161278,0.001985546,0.005611449,0.009385698,0.360022822,8.824648155,11.42069228,11.62038798,6.211487258,0.010298593,4.188855078,1.320844428,1.521491061,8.25E-05,0.275199696,0.008269304,1.074553062,0.044807912,3.768543172,4.525484975,4.141308482,0.00019079,0.000619298,0.607074933,0.68980601,0.694560669,0.000200033,0.062656904,0.359547356,0.000147573,0.480886269,0.534423735,831.6353513,930.9176615,2.472324236,4.735376897,5.498487967,18.31855958,0.062129329,1682.932493,0.203236746,0.574377343,0.960702356,36.85125745,903.2743516,1169.000535,1189.44101,635.7961277,1.054144568,428.7633102,135.199146,155.7369571,0.008439816,28.16892216,0.846430371,109.989226,4.586453414,385.7409758,463.220112,423.8965303,0.019528905,0.063390176,62.13904587,70.60724297,71.0939209,0.020475001,6.413442591,36.80258965,0.015105294,49.22261207,54.70260618
186,LTREB,9/22/2021,BN,1,EPIL,50.51803594,72.17597192,21.02517443,42.13779136,16.99743096,20.97944766,0.000788187,10.41746949,12.04881182,11.82402055,0.000186003,220.0385356,0.002247913,0.016377649,0.014129737,0.289659602,10.94412331,13.03468208,13.03468208,12.94476557,0.021836866,7.209377007,1.565510597,1.765253693,0.002569043,27.38921002,0.009312781,1.089274245,0.049132948,2.685292229,3.561335902,2.991971741,0.000644299,0.002091375,1.789980732,2.014450867,2.092485549,0.011881824,0.580282595,0.526332691,0.000498354,9.646756583,11.62813102,858.6768281,1059.840491,0.039817659,526.2700981,608.6823086,597.3262951,0.009396506,11115.91465,0.11356015,0.827366661,0.713806562,14.63303418,552.8756147,658.4865378,658.4865378,653.9441323,1.103155581,364.2035667,79.0865206,89.17714951,0.129783007,1383.649096,0.470463405,55.02799546,2.482100033,135.6556893,179.9116951,151.1485359,0.03254872,0.105652157,90.42631095,101.7661013,105.7082602,0.600246412,29.31473699,26.5892938,0.025175865,487.3351958,587.4303408
53,LTREB,7/7/2021,GC,3,EPIL,17.47810867,67.59745339,29.72435964,28.26283093,49.5405168,53.97578777,0.052338423,52.74819689,58.70767968,65.37590716,0.001352449,106.8714075,0.004208453,0.031681778,0.042388816,0.420452381,14.63531043,15.65168721,15.6496084,57.03011903,0.021091205,8.820741314,3.820251424,4.110794449,0.001524868,137.4893193,0.030316959,2.178516009,0.067562495,3.081952599,3.467304533,5.198694901,0.011154318,0.011453056,6.22971284,6.886162499,7.021064108,0.003699322,1.191274404,0.563722236,0.002729148,55.68099848,62.47470828,865.8745362,943.3946841,0.914776649,921.9387174,1026.099205,1142.64721,0.023638251,1867.910073,0.073555803,0.55373755,0.740876337,7.34871241,255.7975462,273.5618899,273.5255562,996.7786178,0.368634373,154.1698752,66.77076954,71.8489121,0.026651813,2403.053264,0.5298831,38.07633955,1.180864621,53.86670243,60.60192541,90.86335441,0.194956387,0.200177753,108.883598,120.3570965,122.7149215,0.064657143,20.82122348,9.852798492,0.047700345,973.1985423,1091.93974
66,LTREB,7/20/2021,BG,3,EPIL,33.38951283,220.5364578,18.5426493,46.04761287,27.0277044,30.54262316,0.037669951,18.45919484,20.89753852,22.51911676,0.001021361,93.33005749,0.004693405,0.021178618,0.027777707,0.52599684,17.32057897,19.51515591,19.69676759,22.85908515,0.022472184,8.424607371,3.134149311,3.503567995,0.001471657,50.3129146,0.020245018,1.570733119,0.084940531,3.302086899,3.620008553,4.05314048,0.003838822,0.005576626,3.760962347,4.276546252,4.32842118,0.003542179,0.522949421,0.720535801,0.001315322,19.917862,22.54273223,902.4418829,1019.803308,1.257781306,616.3435229,697.7586304,751.9023381,0.034102735,3116.245152,0.156710513,0.707143727,0.927484101,17.56277825,578.3256938,651.6015486,657.6654741,763.2537169,0.750335279,281.2935359,104.6477186,116.9824285,0.049137914,1679.923707,0.675971275,52.44601363,2.836122956,110.2550729,120.870322,135.3323861,0.12817638,0.186200825,125.5767005,142.791796,144.5238745,0.118271631,17.46102639,24.05833938,0.043917957,665.0477087,752.6908469
232,LTREB,7/20/2021,BG,2,EPIP,51.98419075,333.4227786,23.54873786,51.83375233,18.43098728,20.95560009,0.023653141,11.47679759,13.00675634,13.88424893,0.000637214,43.96215664,0.002420644,0.01658304,0.018123451,0.382046798,13.35661271,15.02183662,15.24690923,14.25069689,0.016655908,6.004133231,2.704404903,3.03725556,0.001078476,30.47637642,0.01259808,1.141188101,0.06071063,2.169056446,2.433374394,2.364632043,0.001727671,0.003190481,1.908598718,2.134068134,2.169709242,0.001368444,0.311771303,0.524272846,0.000683104,12.09422497,13.7713614,958.1199584,1089.359912,1.229589411,596.6120352,676.1457024,721.7614448,0.033125046,2285.337136,0.125835243,0.862055915,0.942132922,19.86039363,694.3327031,780.8980204,792.5982377,740.8109457,0.86584391,312.1200072,140.5863003,157.8892724,0.056063679,1584.289765,0.654901017,59.32373991,3.155992953,112.756644,126.4969986,122.9234832,0.089811585,0.165854561,99.21695982,110.9378049,112.7905791,0.071137465,16.2071789,27.25389965,0.035510632,628.7084978,715.8930781
305,LTREB,7/7/2021,BN,2,FILA,157.3868585,260.835054,,280.1884283,6.146302251,6.81511254,0.020578778,0.138778135,0.155080386,0.141977492,0.000522669,33.47266881,0.001864952,0.004212219,0.00727492,0.224115756,7.075562701,8.209003215,8.249196141,15.28778135,0.007348875,3.78778135,1.826366559,2.056270096,0.000679904,0.329099678,0.00623955,1.591800643,0.036189711,10.54823151,12.38745981,11.26205788,0.000322564,0.001047032,1.02266881,1.152250804,1.155948553,0.00033819,0.101414791,0.252090032,0.000249497,0.42733119,0.452250804,967.3472027,1072.609153,3.238829221,21.8418547,24.40761477,22.34539144,0.082261232,5268.15819,0.293518937,0.662947916,1.144976805,35.27287478,1113.600586,1291.989227,1298.315066,2406.09588,1.15661635,596.1470074,287.4460952,323.6298906,0.107007955,51.79596445,0.982023173,250.5285026,5.695784924,1660.15302,1949.623384,1772.49991,0.050767335,0.164789077,160.9546313,181.3491342,181.9311113,0.053226662,15.96135536,39.6756582,0.039267549,67.25631353,71.1783333
