"","PROJECT","DATE","SITE","SAMPLE","SUBSTRATE","AVERAGE.DEPTH","CPOM.OM.AREA.g.m2","CPOM.ASH.AREA.g.m2","EPIL.OM.AREA.g.m2","EPIL.ASH.AREA.g.m2","EPIL.CHLA.MG.M2.HAUER","EPIL.PHAEO.MG.M2.HAUER","EPIL.640.664","PHICOCYANIN.MG.M2","EPIL.CHLA.MG.M2.RITCHIE","EPIL.CHLB.MG.M2.RITCHIE","EPIL.CHLC.MG.M2.RITCHIE","EPIL.CHLD.MG.M2.RITCHIE","EPIL.CHL.TOTAL.MG.M2.RITCHIE","EPIP.OM.AREA.g.m2","EPIP.ASH.AREA.g.m2","EPIP.CHLA.MG.M2.HAUER","EPIP.PHAEO.MG.M2.HAUER","EPIP.640.664","EPIP.PHICOCYANIN.MG.M2","EPIP.CHLA.MG.M2.RITCHIE","EPIP.CHLB.MG.M2.RITCHIE","EPIP.CHLC.MG.M2.RITCHIE","EPIP.CHLD.MG.M2.RITCHIE","EPIP.CHL.TOTAL.MG.M2.RITCHIE","FBOM.AREA.g.m2","FBOM.ASH.AREA.g.m2","FBOM.CHLA.MG.M2.HAUER","FBOM.PHAEO.MG.M2.HAUER","FBOM.640.664","FBOM.PHICOCYANIN.MG.M2","FBOM.CHLA.MG.M2.RITCHIE","FBOM.CHLB.MG.M2.RITCHIE","FBOM.CHLC.MG.M2.RITCHIE","FBOM.CHLD.MG.M2.RITCHIE","FBOM.CHL.TOTAL.MG.M2.RITCHIE","FILA.OM.AREA.g.m2","FILA.ASH.AREA.g.m2","FILA.CHLA.MG.M2.HAUER","FILA.PHAEO.MG.M2.HAUER","FILA..640.664","FILA.CHLA.MG.M2.RITCHIE","FILA.CHLB.MG.M2.RITCHIE","FILA.CHLC.MG.M2.RITCHIE","FILA.CHLD.MG.M2.RITCHIE","FILA.CHL.TOTAL.MG.M2.RITCHIE","MACRO.OM.AREA.g.m2","MACRO.ASH.AREA.g.m2"
"1","LTREB",2020-07-21,"WS",1,"COBBLE",33.5,35.0754739463118,8.18427725413943,14.2733795312191,50.2187252313995,22.7261010792943,0.89156242695693,1.01242236024845,2.77807107114508,23.5473703857709,4.10485895814918,1.57276732199053,0.550945902483255,29.7760866116736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.412e-07,1.34446666666667e-06,10.1371,3.63743,1.3469387755102,41.004,11.4688031666667,2.1386869,0.646590199999998,0.235674733333333,14.4898242333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.0754739463118,8.18427725413943
"2","LTREB",2020-07-21,"WS",5,"SAND",17.75,36.3615746576765,13.913271332037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.16499999999999e-08,2.75125e-07,11.848125,1.7535225,1.296875,8.08335,12.2777531,1.9026651,0.9979689,0.50132035,15.67978555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LTREB",2020-07-21,"GC",1,"COBBLE",25.75,41.3072164841065,3.12171718122175,20.6103484908528,106.577996768333,34.5761394992121,9.05797457303304,1.24705882352941,4.99633757810703,39.5924873546017,9.8133097986294,3.78765007459722,2.06439026245758,55.2580770323893,1.99763175427566,14.8953846025337,1.20123677133413,2.25313059271861,2.38133333333333,0.975191710304657,2.46190485048512,0.645504502413268,0.285242784896766,0.240216833927763,3.63288471827235,3.23530357142857e-06,5.72017857142857e-07,5.93771590909091,2.15632840909091,1.46296296296296,12.566,6.68511082954545,0.77748028409091,0.781640079545454,0.229897170454545,8.47417167045455,64.9328865518773,272.451082242906,295.127322758784,132.176681303934,1.65546218487395,365.113386599007,174.412803199389,-9.64781695264857,0.203487544572535,530.083523132686,NA,NA
"4","LTREB",2020-07-21,"GC",5,"COBBLE",32.75,43.5637386413192,4.37274241864021,15.1526047448067,77.4466464734564,41.1317455797777,2.6072581897564,1.06881720430108,6.67808963558619,42.8941997553856,7.74062984542665,2.73297514226719,1.35079746982604,54.7188665416771,5.35017895927742,41.9198680957021,5.51919597640005,2.60538515944767,1.48571428571429,1.03659717336,7.39186622370121,-2.42323770880419,1.87069767279737,0.326520509922378,7.16590992700448,2.85392857142857e-07,1.44411904761905e-06,4.58032142857143,1.54065357142857,1.42857142857143,5.904825,3.79869589285714,1.23935825,1.62309623809524,0.901370452380952,7.5625489047619,115.749064022829,369.461658901151,NA,NA,1.50420168067227,145.960119648028,47.0495145067178,4.74231934676212,2.91249478944345,200.665240055557,NA,NA
"5","LTREB",2020-08-04,"WS",1,"SAND",34.75,36.9987791010345,33.4970776187278,0.389727488292353,1.85120556938868,0.437040405371045,0.0710190658727947,1.11486486486486,0.803345271617027,0.47888518272294,0.105925680641617,0.0219157114833264,0.00542731577239769,0.612156667428635,0.282942156500248,1.19022774924485,1.30487778175069,0.0717994951680999,1.22370936902486,0.439144933807823,1.37211372392188,0.0837615412681531,0.192538489649129,0.00381422395516843,1.65223681781377,7.72222222222223e-08,3.97694444444445e-07,22.80903125,6.14684062499999,1.30487804878049,6.5191,26.7027064895833,2.75077380208333,2.48162346875,0.51097703125,32.4462516458333,NA,NA,48.3789525643036,5.75777674885023,1.33423180592992,52.4436216476189,12.3642255206155,3.27175650200893,0.210928354085154,68.2908293365601,NA,NA
"6","LTREB",2020-08-04,"WS",5,"SAND",7.375,98.5223295853303,21.3773321878122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.53562500000001e-07,3.58492045454545e-06,7.745225,4.2008,1.56149732620321,9.77925,10.1722027833333,2.6376599,0.521738474999999,0.363492116666667,13.6951527666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LTREB",2020-08-04,"GC",1,"COBBLE",33.375,2.29627436101855,12.1665127295107,6.75319791712989,29.7065880675963,17.0320889407459,6.11357092770467,1.06012024048096,20.6636632112512,20.4255832406705,6.82556750566787,0.59027214973347,0.688400230991645,28.5299353685801,4.10383045171847,32.9370392180516,2.1102808145059,1.3838572264356,1.3953488372093,6.08278869176939,2.87838047274433,0.363449512213909,0.231761392861274,0.085687675844441,3.55929744490413,9.69392045454545e-07,8.91264204545455e-06,16.2020454545455,20.6576079545455,1.77844311377246,24.03,27.4804136931818,5.84161107954545,1.76746111363636,2.040914625,37.1305764886364,46.3319633208595,367.681206915425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","LTREB",2020-08-04,"GC",3,"COBBLE",39,4.184504041795,13.2538524218463,1.75689151722193,5.88176725330819,9.58575289113825,2.33525256603261,0.982725527831094,10.1575065001124,10.9750184867444,1.98568939887858,0.53871029886462,0.303714218515093,13.8031996231999,3.62446564111888,22.0040139889863,2.87197980672401,2.24139293611721,1.45962732919255,8.60050621163565,4.12743297197344,0.592361619100102,0.318005470948925,0.164011279317503,5.20183776486368,4.68e-07,3.40692857142857e-06,15.6195,15.9666,1.49275362318841,16.7505,24.2611785,3.9061295,1.01299575,1.25739575,30.4378555,130.185328204197,558.183503364407,115.849735620089,46.3398942480356,1.51041666666667,144.463359313404,36.451812875124,8.10031547967972,2.67853700530605,191.69485178422,NA,NA
"9","LTREB",2020-08-04,"GC",4,"COBBLE",36.25,5.38642361568861,10.071337752451,1.12475353121173,4.10967636404286,4.27363082109257,2.31584589088936,1.17796610169492,9.43062576169836,5.60372995560136,0.913312628970529,0.329177506303373,0.184744444580379,7.03099957585412,6.31358531033611,41.5644366263795,2.52859091678962,2.48644773484312,1.54411764705882,5.85585037533675,3.88688461168104,0.454986420860935,0.259203455717686,0.174367809902699,4.77546781556965,3.8515625e-07,2.94984375e-06,27.6535714285714,20.0949285714286,1.45098039215686,15.04375,38.5857083333333,4.9316019047619,3.02704416666666,1.78901345238095,48.3336198809524,135.360617640152,771.007089218875,154.797512487628,122.118037629128,1.48,216.824386161272,87.3025117025572,-1.31548897316266,5.79633906570141,308.608859174467,NA,NA
"10","LTREB",2020-08-18,"GC",1,"COBBLE",22.25,84.5401179156069,245.317473042242,4.77727955148766,20.1824277087078,12.98010003952,5.19204001580801,1.10948905109489,9.21362549621718,15.9015546440567,4.32838994950807,1.11660238858865,0.71647008052666,22.0631105037427,0.984159339810264,5.08302076605302,1.99243599091478,0.918253108856376,1.39234449760766,1.34083598845798,2.47234409722215,0.360249255200609,0.300533710942262,0.107813682331812,3.2409566436554,2.44750000000001e-08,3.89375e-08,1.18815,1.51489125,1.47826086956522,5.097475,2.0297373375,0.6675767625,0.7923436375,0.301354,3.7910250875,25.0177566638034,188.219461192881,28.2034447729192,5.1844567597278,1.55191256830601,31.6686813022863,3.24682604567237,1.61962895192481,-0.677188693420972,35.8581386740825,NA,NA
