,PROJECT,DATE,SITE,SAMPLE,SUBSTRATE,AVERAGE.DEPTH,EPIL.OM.AREA.g.m2,EPIL.ASH.AREA.g.m2,EPIL.CHL.TOTAL.MG.M2.RITCHIE,PHICOCYANIN.MG.M2
299,LTREB,7/7/2021,BN,5,EPIL,8.1875,9.354628901,67.07833637,7.948350485,9.109100584
40,LTREB,7/20/2021,WS,1,EPIL,30.5,4.835738675,8.899816923,19.24425316,11.52346237
41,LTREB,7/20/2021,BN,2,EPIL,10.75,21.38142433,152.6858765,49.20864498,17.03761917
42,LTREB,7/20/2021,BG,2,EPIL,18.5,45.95120923,240.1126644,55.32434192,29.71243398
43,LTREB,7/20/2021,BG,3,EPIL,27.25,33.38951283,220.5364578,46.04761287,18.5426493
44,LTREB,7/20/2021,BG,4,EPIL,27.75,15.06140851,86.47098133,39.10527393,13.46278533
45,LTREB,7/20/2021,BG,5,EPIL,32.75,22.99197317,151.0583745,41.77178631,11.02392917
46,LTREB,7/20/2021,BN,1,EPIL,22.5,13.39883105,61.59253225,40.40640091,11.09787996
101,LTREB,7/20/2021,WS,2,EPIL,16.5,2.865666221,8.41928293,5.151816316,4.094126237
102,LTREB,7/20/2021,WS,3,EPIL,27,3.395305878,4.527074504,29.39828784,8.6786076
103,LTREB,7/20/2021,WS,4,EPIL,25.875,4.2406248,5.973353213,9.436951916,5.065950702
104,LTREB,7/20/2021,WS,5,EPIL,33.125,6.357429653,18.02002474,22.23499622,10.23765396
105,LTREB,7/20/2021,DL,1,EPIL,34.25,12.69264484,95.24861868,31.54534484,18.48500861
106,LTREB,7/20/2021,DL,2,EPIL,20.375,2.739394515,9.530006271,12.80183491,8.295349588
107,LTREB,7/20/2021,DL,3,EPIL,6.375,10.34901859,37.45534485,16.96227865,10.19801867
108,LTREB,7/20/2021,DL,4,EPIL,26.25,5.598045642,26.61293127,11.70946672,11.11167631
109,LTREB,7/20/2021,DL,5,EPIL,35.125,7.766879114,32.71664832,22.68818328,13.84206812
110,LTREB,7/20/2021,GR,1,EPIL,37.5,13.29945054,77.77518675,41.07245477,16.15085273
111,LTREB,7/20/2021,GR,2,EPIL,32.75,32.14959483,217.3948646,43.33761408,25.52588387
112,LTREB,7/20/2021,GR,3,EPIL,34.75,28.80865593,164.5273565,86.72086836,51.42532154
113,LTREB,7/20/2021,GR,4,EPIL,36,7.934072207,37.34485711,47.10944198,17.7103083
114,LTREB,7/20/2021,GR,5,EPIL,33,14.45109527,65.45083438,69.31863636,38.98989684
115,LTREB,7/20/2021,GC,1,EPIL,26.25,35.8050438,164.2093388,134.8790981,56.42381041
116,LTREB,7/20/2021,GC,2,EPIL,33.5,10.59746986,31.2779693,97.89996057,91.87903482
117,LTREB,7/20/2021,GC,3,EPIL,38.25,5.050868248,18.37019489,13.45971646,11.0295997
118,LTREB,7/20/2021,GC,4,EPIL,32.5,7.9878546,13.26554425,31.13433861,36.75839519
119,LTREB,7/20/2021,GC,5,EPIL,26.25,8.184277254,29.79076921,34.72346584,31.73862719
120,LTREB,7/20/2021,BG,1,EPIL,12,10.43846105,46.69247092,25.95416036,8.743614145
121,LTREB,7/20/2021,BN,3,EPIL,11.75,6.383736258,26.76258662,4.270580833,5.9008639
122,LTREB,7/20/2021,BN,4,EPIL,26,14.77378963,66.19794198,51.07942397,13.8835741
123,LTREB,7/20/2021,BN,5,EPIL,33.75,16.43870546,104.0525626,43.1014691,26.38190081
47,LTREB,8/3/2021,BN,1,EPIL,24.125,15.60332459,114.7687045,19.24414835,11.84112925
48,LTREB,8/3/2021,BN,3,EPIL,33,4.06524743,21.22592306,6.50604398,5.951255664
49,LTREB,8/3/2021,GR,1,EPIL,15.9375,7.340127514,30.8114655,59.38681918,18.52101943
50,LTREB,8/3/2021,GC,5,EPIL,27.625,5.15609467,15.62612364,15.79532457,13.25852915
51,LTREB,8/3/2021,BG,3,EPIL,18.5,3.642003378,15.46828401,17.80241369,5.152002531
124,LTREB,8/3/2021,WS,1,EPIL,14.6875,8.245074742,27.80198983,21.59590498,6.721746909
125,LTREB,8/3/2021,WS,2,EPIL,8.6875,5.098804729,12.31733727,14.26994803,8.82265088
126,LTREB,8/3/2021,WS,3,EPIL,16.6875,20.62437868,53.70931948,8.014694569,27.41323666
127,LTREB,8/3/2021,WS,4,EPIL,11,2.623645451,5.041514789,6.871878917,4.06819377
128,LTREB,8/3/2021,WS,5,EPIL,16.125,4.349358769,14.77846636,11.1042492,6.089102277
129,LTREB,8/3/2021,DL,1,EPIL,3.4375,9.885437741,59.41668368,32.90770185,14.85937378
130,LTREB,8/3/2021,DL,2,EPIL,5.75,7.598516839,24.04891412,46.59513262,12.11845933
131,LTREB,8/3/2021,DL,3,EPIL,3.6875,8.046313723,42.48107568,48.22819462,9.971372652
132,LTREB,8/3/2021,DL,4,EPIL,3.4375,7.510828154,18.82851441,40.53297226,9.789798615
133,LTREB,8/3/2021,DL,5,EPIL,8.625,8.022930074,27.22675206,50.8171563,17.12980921
134,LTREB,8/3/2021,GR,2,EPIL,15.25,9.620033321,44.91706734,29.94224902,24.21277504
135,LTREB,8/3/2021,GR,3,EPIL,9.6875,8.745484837,43.64791978,25.8648358,13.43624489
136,LTREB,8/3/2021,GR,4,EPIL,15.5625,6.430503557,33.23284238,36.12665644,10.20135084
137,LTREB,8/3/2021,GR,5,EPIL,8.625,22.31384734,91.608486,57.65185003,54.1942496
138,LTREB,8/3/2021,GC,1,EPIL,24.875,3.66187948,8.839019434,22.74105572,26.40341377
139,LTREB,8/3/2021,GC,2,EPIL,21.375,12.94518825,64.01800127,29.76882873,29.96608812
140,LTREB,8/3/2021,GC,3,EPIL,35.375,1.031218934,2.635337276,4.46954135,2.972529499
141,LTREB,8/3/2021,GC,4,EPIL,36.375,12.88439076,38.87531696,67.88608666,81.31605584
142,LTREB,8/3/2021,BG,1,EPIL,28.375,7.051339446,36.12189225,17.56282307,9.469559538
143,LTREB,8/3/2021,BG,2,EPIL,28.375,13.35323293,71.82170963,31.05048245,14.00166153
144,LTREB,8/3/2021,BG,4,EPIL,19,3.019998307,16.13121047,15.00529323,9.06736077
145,LTREB,8/3/2021,BG,5,EPIL,26,5.892679623,27.07826589,14.88087505,12.08466996
146,LTREB,8/3/2021,BN,2,EPIL,26.5,4.068754978,21.71171837,17.74069454,6.965989126
147,LTREB,8/3/2021,BN,4,EPIL,33.5,7.047831898,39.71478997,41.33966092,5.797742007
148,LTREB,8/3/2021,BN,5,EPIL,23.5,26.73452624,171.3951343,75.78109197,4.549195436
52,LTREB,8/17/2021,WS,1,EPIL,27.625,4.629962561,9.680830809,41.67057894,11.41496224
53,LTREB,8/17/2021,WS,2,EPIL,12.25,4.758572632,19.48442578,21.22253301,10.34024972
54,LTREB,8/17/2021,WS,3,EPIL,33.625,0.708190522,3.287072987,16.15311019,7.889643273
55,LTREB,8/17/2021,WS,4,EPIL,39,6.266818012,22.36470678,19.18548381,10.03082558
56,LTREB,8/17/2021,WS,5,EPIL,26,8.663642065,29.33478804,20.00773519,10.79915384
57,LTREB,8/17/2021,DL,1,EPIL,9.375,5.143233663,15.62378528,9.920090532,11.810029
58,LTREB,8/17/2021,DL,2,EPIL,20.625,9.94681982,50.89860483,42.39723601,32.84391383
59,LTREB,8/17/2021,DL,3,EPIL,21,9.470377966,67.22214582,9.771343333,4.522105479
60,LTREB,8/17/2021,DL,4,EPIL,36.125,9.712398736,47.19405019,36.99594808,15.80886686
