Sample ID,Date,Time,Remarks,Run,Al 396.153,Al_r 396.153,As 188.979,B 249.677,B_r 249.677,Ba 233.527,Be 313.107,Ca_r 317.933,Cd 288.802,Co 228.616,Cr 267.716,Cu 327.393,Fe 238.204,Fe_r 238.204,Fe_r 234.349,K_r 766.490,Li_r 670.784,Mg_r 285.213,Mn 257.610,Mn_r 260.568,Mo 202.031,Na_r 589.592,Ni 231.604,P 178.221,Pb 220.353,S 180.669,S 181.975,S_r 181.975,Sb 206.836,Se 196.026,Si 251.611,Si_r 251.611,Si_r 212.412,Sn 189.927,Sr_r 407.771,Ti 334.940,Tl 190.801,Zn 206.200,Zn_r 206.200
,,, ,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
Cal Blank,12/7/2021,0:48:41, ,1,0,0.003,-0.003,-0.001,-0.001,0,0,-0.003,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0.007,0,-0.01,0.001,0.002,0.007,-0.009,-0.001,-0.004,0.001,0.003,0,0,0,0,0,0,0
S IPC,12/7/2021,3:34:40, ,66,0.01,0.013,0,0.045,0.048,0.003,0.001,0.042,0.001,0.002,0.002,0.002,0.01,0.012,0.013,0.046,0.002,0.006,0.002,0.003,0.002,0.042,-0.001,-0.013,-0.008,25.94,26.05,26.39,0.001,-0.001,0.015,0.021,0.021,0.002,0.002,0.002,0.001,0.005,0.006
41,12/7/2021,3:37:15, ,67,35.69,45.92,-0.03,31.35,36.71,35.14,-0.866,883.3,0.006,0.041,0.027,0.731,15.16,17.78,17.53,36.65,0.052,13.46,11.36,13.73,0.01,82.51,0.015,3.99,0.086,11.53,12.57,14.25,0.009,0.01,5.697,6.675,6.646,0.048,1.789,0.685,-0.028,27.64,33.24
42,12/7/2021,3:39:52, ,68,0.023,0.041,-0.004,0.075,0.108,0.029,-0.001,0.783,0.001,0,0,0.002,0.012,0.017,0.018,0.073,-0.001,0.014,0.008,0.011,0,0.11,-0.002,0.013,0.002,0.013,0.018,0.037,0.003,0.006,0.011,0.017,0.015,-0.002,0.002,0.001,-0.004,0.023,0.033
43,12/7/2021,3:42:28, ,69,37.18,46.73,0.045,30.11,35,34.83,-0.575,587.6,0.008,0.046,0.031,0.919,19.96,23.57,23.42,36.53,0.045,12.11,13.18,15.69,0.01,79.91,0.02,3.421,0.109,8.613,9.262,10.45,0.006,0.008,5.486,6.35,6.367,0.031,1.345,0.832,-0.024,27.67,33.17
44,12/7/2021,3:45:06, ,70,37.17,47.28,0.006,29.31,34.55,33.52,-0.715,731.1,0.006,0.041,0.031,0.865,20.85,24.6,24.44,36.06,0.052,13.97,11.15,13.64,0.01,78.13,0.016,5.289,0.113,11.27,12,13.88,0.007,0.012,5.484,6.389,6.355,0.038,1.575,0.996,-0.024,26.84,31.88
45,12/7/2021,3:47:45, ,71,33.2,41.59,-0.016,29.82,35.01,34.34,-0.567,579,0.003,0.043,0.027,0.565,15.26,17.69,17.52,33.84,0.04,10.53,7.014,8.145,0.006,78.23,0.013,2.753,0.08,8.14,8.984,10.22,0.004,0.003,4.844,5.532,5.626,0.029,1.332,0.718,-0.017,27.13,32.29
46,12/7/2021,3:50:19, ,72,31.47,38.35,0.024,27.29,31.59,32.33,-0.246,253,0.003,0.037,0.027,0.754,17.44,19.64,19.6,32.57,0.03,8.521,6.033,6.724,0.005,71.79,0.011,3.077,0.091,6.862,6.777,7.829,0.002,-0.001,4.801,5.4,5.558,0.011,0.841,0.66,-0.014,26.15,30.45
47,12/7/2021,3:52:53, ,73,31.34,37.32,0.009,29.61,34.68,35.29,-0.142,146.1,0.001,0.037,0.026,0.494,12.74,14.25,14.2,33.66,0.024,6.67,3.634,4.011,0.003,76.97,0.011,1.948,0.078,4.543,4.467,5.11,0.001,-0.007,4.741,5.387,5.479,0.004,0.761,0.558,-0.01,28.31,33.17
48,12/7/2021,3:55:26, ,74,39.9,50.38,0.165,0.296,0.361,1.133,-0.881,903.6,0.009,0.018,0.037,1.769,43,54.92,55.22,86.22,0.078,23.42,20,26.04,0.017,4.055,0.014,10.01,0.191,52.93,53.63,64.52,0.006,0.024,5.544,6.542,6.507,0.053,1.284,1.879,-0.036,2.06,2.368
49,12/7/2021,3:57:49, ,75,24.66,30.14,0.46,0.109,0.111,0.004,-0.032,32.19,0.078,0.086,0.178,5.009,27.03,30,29.99,0.179,0,14.82,4.823,5.136,0.002,0.061,0.166,4.275,0.863,11.42,11.25,13.36,0,0.091,0.011,0.021,0.009,-0.002,0.002,0.003,-0.01,4.292,4.55
50,12/7/2021,4:00:17, ,76,57.77,76.39,0.416,0.215,0.272,1.94,-1.353,1390,0.014,0.042,0.073,3.231,80.14,116.2,118.7,116.6,0.124,44.19,23.39,31.85,0.027,5.608,0.045,13.55,0.706,73.04,74.53,88.88,0.008,0.024,6.237,7.292,7.195,0.086,2.146,3.815,-0.046,4.352,4.901
50dup,12/7/2021,4:02:47, ,77,58.99,76.95,0.426,0.197,0.261,1.91,-1.35,1387,0.014,0.042,0.074,3.26,79.44,116.2,118.8,117.4,0.125,44.33,23,31.91,0.027,5.667,0.046,13.63,0.712,72.67,74.2,90.16,0.01,0.023,6.513,7.683,7.56,0.085,2.093,3.81,-0.047,4.232,4.938
5 spike,12/7/2021,4:05:14, ,78,37.86,45.88,0.547,0.152,0.155,0.538,-0.282,289.5,0.078,0.092,0.179,5.935,51.39,62.89,63.47,30.61,0.029,25.17,12.22,14.11,0.009,1.64,0.164,9.579,1.185,32.19,32.33,38.79,0.004,0.093,3.96,4.558,4.522,0.015,0.421,0.904,-0.022,5.047,5.724
Lblank,12/7/2021,4:07:32, ,79,0.04,0.053,0.004,0.04,0.039,0.006,-0.001,0.523,0,0,0,0.004,0.062,0.077,0.077,0.083,0,0.027,0.014,0.017,0,0.036,0,0.006,0.002,0.054,0.047,0.065,0,0,0.008,0.012,0.005,0,0.001,0.002,-0.002,0.011,0.012
CV,12/7/2021,4:10:06, ,80,2.008,2.039,2.053,2.084,2.133,2.087,2.073,2.155,1.799,2.028,1.921,2.051,2.055,2.047,2.041,2.362,2.098,1.961,2.047,2.076,2.129,2.508,2.027,2.03,2.033,0.126,0.08,0.159,2.085,2.035,8.602,8.997,8.968,1.885,1.786,2.063,1.969,2.024,1.996
S IPC,12/7/2021,4:12:39, ,81,0.005,0.008,-0.001,0.03,0.031,0.003,0.001,0.063,0.001,0.001,0.001,0.002,0.007,0.009,0.01,0.049,0.001,0.004,0.002,0.003,0.002,0.037,-0.001,-0.011,-0.009,26.22,26.27,26.71,0.002,-0.003,0.013,0.017,0.013,0.001,0.001,0.002,0.001,0.004,0.004
51,12/7/2021,4:15:14, ,82,3.112,3.901,-0.041,0.042,0.074,0.554,-1.075,1094,0.004,0.002,-0.001,0.28,4.154,4.742,4.354,37.54,0.038,9.094,3.336,3.77,0.012,1.714,-0.003,3.077,0.028,38.85,38.81,46.18,0.013,0.014,2.548,3.059,3.02,0.059,1.391,0.14,-0.018,0.54,0.601
53,12/7/2021,4:17:34, ,83,,416.7,0.409,-0.678,-0.419,1.197,-0.073,148.9,0.006,0.14,0.492,0.54,177.9,387.4,424.8,28.5,0.627,146.5,7.689,9,0.118,9.174,0.451,13.55,0.554,6.379,6.682,8.024,-0.049,-0.152,11.93,13.9,13.92,0.034,1.511,14.53,-0.012,2.01,2.294
54,12/7/2021,4:20:19, ,84,34.87,41.43,-0.046,39.77,46.12,49.09,-0.018,18.55,-0.001,0.043,0.021,0.002,0.802,1.035,1.03,36.58,0.013,2.829,0.025,0.031,0,99.31,0.008,0.019,0.003,0.072,0.072,-0.038,0.002,-0.006,3.423,3.908,3.897,-0.004,0.795,0.024,-0.003,38.97,45.87
54 dup,12/7/2021,4:22:52, ,85,34.12,40.78,-0.056,39.64,46.13,48.89,-0.018,18.22,-0.001,0.042,0.021,0.002,0.475,0.536,0.536,36.46,0.012,2.647,0.018,0.02,0,99.56,0.008,0.029,0.003,0.063,0.076,-0.021,-0.001,-0.007,3.577,3.967,4.063,-0.002,0.79,0.012,-0.005,39.14,45.15
6 spike,12/7/2021,4:25:26, ,86,39.84,46.94,0.559,0.324,0.375,0.531,-0.197,204.5,0.078,0.093,0.189,5.312,48.92,58.52,59.01,46.6,0.028,26.67,10.03,11.4,0.007,1.976,0.16,13.74,0.862,48.48,48.72,58.06,0.001,0.098,3.785,4.297,4.252,0.01,0.313,1.143,-0.018,4.732,5.239
Lblank,12/7/2021,4:27:45, ,87,0.053,0.06,-0.001,0.072,0.079,0.011,0,0.135,0,0,0,0.002,0.066,0.064,0.065,0.074,0,0.024,0.005,0.006,0,0.052,0,-0.001,0.001,0.031,0.032,0.038,-0.001,-0.002,0.007,0.01,0.011,0,0,0.002,-0.001,0.014,0.017
CV,12/7/2021,4:30:18, ,88,1.989,2.014,2.03,2.087,2.111,2.088,2.061,2.04,1.799,2.032,1.931,2.036,2.056,2.027,2.022,2.306,2.044,1.928,2.03,2.046,2.13,2.462,2.03,2.003,2.026,0.094,0.053,0.088,2.078,2.02,8.577,8.87,8.952,1.88,1.751,2.046,1.945,2.018,1.984
S IPC,12/7/2021,4:32:52, ,89,0.006,0.009,-0.001,0.04,0.042,0.002,0.001,0.075,0.001,0.001,0.002,0.002,0.008,0.007,0.009,0.043,0.002,0.004,0.001,0.002,0.002,0.037,-0.001,-0.013,-0.008,26.34,26.36,26.83,0.001,-0.001,0.013,0.019,0.015,0.001,0.002,0.002,0.002,0.004,0.004
