Sample ID,Date,Time,Remarks,Run,Al 396.2,Al_r 396.2,As 188.9,B 249.6,B_r 249.6,Ba 233.5,Be 313.1,Ca_r 317.9,Cd 228.8,Co 228.6,Cr 267.7,Cu 327.3,Fe 238.2,Fe_r 238.2,Fe_r 234.3,K_r 766.5,Li_r 670.8,Mg_r 285.2,Mn 257.6,Mn_r 260.5,Mo 202.0,Na_r 589.6,Ni 231.6,P 178.2,Pb 220.3,S 181.9,S_r 181.9,S 180.6,Sb 206.8,Se 196.0,Si 251.6,Si_r 251.6,Si_r 212.4,Sn 189.9,Sr_r 407.7,Ti 334.9,Tl 190.8,Zn 206.2,Zn_r 206.2
,,, ,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
Calib Blank 1,7/15/2021,11:42:34, ,1,[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00]
SedSTD_1,7/15/2021,11:46:03, ,2,,,[10],[1],[1],[1],,[10],[2],,,[2],,,,,,,[2],[2],,,,,,,,,[5],[5],,,,,,,,,
SedSTD_2,7/15/2021,11:48:14, ,3,,,,,,,,,,,,,,,,[20],[5],,,,[10],[10],,,,,,,,,,,,,[1],[10],,,
SedSTD_3,7/15/2021,11:50:35, ,4,,,,,,,,,,[2],,,,,,,,,,,,,,[10],,,,,,,,,,,,,,,
SedSTD_4,7/15/2021,11:52:39, ,5,[10],[10],,,,,,,,,[5],,,,,,,,,,,,,,,,,,,,[10],[10],[10],[4],,,,[5],[5]
SedSTD_5,7/15/2021,11:54:58, ,6,,,,,,,[1],,,,,,[10],[10],[10],,,[10],,,,,[2],,[10],,,,,,,,,,,,[5],,
57,7/15/2021,17:00:04, ,92,64.11,71.73,0.349,0.6076,0.6757,1.275,0.004862,160.9,0.01796,0.0425,0.07519,2.842,72.98,89.21,90.33,112.8,0.08032,36.04,15.69,18.12,0.007013,2.621,0.0671,14.2,0.3353,64.5,77.18,67.97,0.002497,-0.009577,7.169,8.1,8.111,-0.03627,0.6175,2.568,-0.0881,3.829,4.184
58,7/15/2021,17:03:07, ,93,31.41,34.94,0.105,0.4364,0.4804,0.7114,0.002303,138.3,0.009457,0.02638,0.05099,1.127,39.04,43.95,44.08,78.78,0.03625,18.82,10.3,11.5,0.003717,2.143,0.03439,8.246,0.1669,45.51,53.1,48.93,0.003773,-0.0062,5.344,5.996,5.988,-0.03953,0.4465,1.371,-0.05914,1.933,2.051
58 dup,7/15/2021,17:06:05, ,94,31.3,34.57,0.097,0.4312,0.4785,0.7048,0.00226,137.5,0.009396,0.02604,0.05047,1.115,39.12,43.51,43.65,77.75,0.03675,18.66,10.3,11.39,0.004091,2.125,0.03356,8.088,0.1648,44.86,52.78,48.2,0.003276,-0.005493,5.392,6.064,6.083,-0.03962,0.4362,1.366,-0.05772,1.895,2.023
53 spike,7/15/2021,17:09:04, ,95,106.6,124,0.686,0.4169,0.4644,1.618,0.006306,249.4,0.1067,0.1381,0.2656,7.366,105,142.2,145.4,63.77,0.1057,57.21,19.21,23.01,0.000438,2.424,0.2404,16.68,1.191,46.83,55.84,51.89,0.001479,0.07616,6.536,7.484,7.479,-0.04129,0.7185,3.413,-0.111,9.535,10.68
CV,7/15/2021,17:12:07, ,96,2.194,2.309,2.006,1.953,1.913,2.014,2.071,2.459,1.963,2.054,2.045,1.955,2.237,2.301,2.326,2.237,2.013,2.047,2.009,2.011,2.144,2.012,2.052,2.371,2.064,0.1161,0.1513,0.1666,1.979,2.007,9.113,9.083,9.13,2.063,1.802,2.046,2.063,2.114,2.052
S IPC,7/15/2021,17:15:42, ,97,0.035,0.041,0.004,0.02639,0.02921,0.00489,0.00163,0.094,0.00128,0.001351,0.001514,0.003525,0.04044,0.04863,0.04821,0.06821,0.002836,0.01918,0.008949,0.01006,0.002251,0.01611,0.00137,0.02162,0.002679,20.78,21.2,21.32,0.002445,0.003345,0.03104,0.0332,0.02994,0.002379,0.002845,0.002838,0.001416,0.007707,0.009736
Lblank,7/15/2021,17:19:12, ,98,0.009,0.012,-0.001,0.01665,0.01849,0.001713,0.000689,0.02731,0.000633,0.00058,0.000602,0.001015,0.01297,0.01574,0.01717,0.0311,0.000726,0.005651,0.002703,0.003016,0.000884,0.003207,0.0007,0.01146,0.001357,0.01938,0.03479,0.02817,0.000643,0.002524,0.007965,0.002851,0.004112,0.00115,0.000717,0.001013,-0.000147,0.002889,0.003279
cal blank,7/15/2021,17:33:21, ,99,-0.001,0.002,0.004,0.000358,0.007494,0.000603,0.000748,0.003338,-0.000659,0.000413,-0.000153,0.003529,-0.00012,0.001706,0.002516,0.01018,-0.000082,0.000282,-0.00029,0.000181,-0.001575,-0.003867,-0.000026,0.001909,0.00237,-0.01448,0.001018,-0.004364,-0.00177,0.01123,-0.001643,-0.004662,-0.006207,-0.001215,0.000014,-0.000175,0.001815,-0.000081,0.000338
cal std 1,7/15/2021,17:37:13, ,100,0.007,0.009,10.08,1.072,1.101,1.023,-0.000005,10.08,2.041,0.000209,-0.000084,1.982,0.003421,0.003682,0.01107,0.1005,0.001237,0.003063,2.035,2.001,0.000483,0.005207,0.001254,-0.000836,0.003174,0.2135,0.2192,0.4558,4.999,5.072,0.06842,0.06171,0.05849,-0.016,0.001046,-0.000761,-0.009892,0.006609,0.006239
cal std 5,7/15/2021,17:40:26, ,101,0.003,0.004,0.009,0.0458,0.05653,0.001658,1.003,0.02398,-0.000493,0.000404,-0.001075,0.002439,10.1,10.08,10.09,0.07761,0.000784,10.02,0.002019,0.002323,-0.000573,0.003161,2.009,0.01603,10.01,0.03662,0.03236,0.1683,0.007677,0.008398,0.01478,0.01059,0.008047,0.000105,-0.00005,0.000276,4.998,0.005869,0.005991
