Sample ID,Date,Time,Initial Sample Vol,Diluted To Vol.,Remarks,Sample Type,Samp Number,Analyte Name,Int (Corr),Reported Conc (Calib),Reported Conc (Samp),Conc (Calib),Conc (Samp),RSD (Conc),Samp Units
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Ag 328.068,-141.9761392,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Ag 338.289,-150.1466906,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Al 396.153,677.4427654,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Al_r 396.153,22.27168287,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,As 188.979,-7.749215221,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,B 249.677,1793.129468,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,B_r 249.677,193.9755567,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Ba 233.527,-184.9939318,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Be 313.107,-5287.175263,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Ca_r 317.933,304.8231168,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Cd 288.802,194.1591417,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Co 228.616,-49.6158738,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Cr 267.716,-7.04182529,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Cu 327.393,-5002.185727,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Fe 238.204,-104.0247269,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Fe_r 238.204,9.407331857,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Fe_r 234.349,1.730236688,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,K_r 766.490,553.485205,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Li_r 670.784,-200.8824534,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Mg_r 285.213,112.5127235,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Mn 257.610,3209.702301,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Mn_r 260.568,164.5361697,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Mo 202.031,-33.85651261,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Na_r 589.592,217.2694778,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Na 330.237,195.4890631,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Ni 231.604,-404.3254091,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,P 177.434,1.280494714,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,P 178.221,4.722705109,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,P 213.617,-812.7332967,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Pb 220.353,65.53791237,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Pd 340.458,-89.75268544,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,S 180.669,6.248481511,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,S 181.975,38.60045064,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,S_r 181.975,7.003148394,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Sb 206.836,35.10304012,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Se 196.026,45.85037702,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Si 251.611,283.8006895,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Si_r 251.611,69.41705184,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Si_r 212.412,14.68242379,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Sn 189.927,-41.80889042,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Sr_r 407.771,417.2323094,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Ti 334.940,-64.26545632,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Tl 190.801,-17.47265225,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Zn 206.200,26.71077263,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:24:00 PM, , , ,101,0,Zn_r 206.200,11.21850519,[0.00], , , ,0,mg/L
SED Std 1,12/1/2021,11:26:34 PM, , , ,1,0,Ag 328.068,274750.3887,[0.5], , , ,0,mg/L
SED Std 1,12/1/2021,11:26:34 PM, , , ,1,0,Ag 338.289,96025.73733,[0.5], , , ,0,mg/L
SED Std 1,12/1/2021,11:26:34 PM, , , ,1,0,As 188.979,28256.84828,[10], , , ,0,mg/L
SED Std 1,12/1/2021,11:26:34 PM, , , ,1,0,B 249.677,141515.2978,[1], , , ,0,mg/L
SED Std 1,12/1/2021,11:26:34 PM, , , ,1,0,B_r 249.677,15038.54821,[1], , , ,0,mg/L
SED Std 1,12/1/2021,11:26:34 PM, , , ,1,0,Ba 233.527,157057.6981,[1], , , ,0,mg/L
SED Std 1,12/1/2021,11:26:34 PM, , , ,1,0,Ca_r 317.933,182549.3185,[10], , , ,0,mg/L
SED Std 1,12/1/2021,11:26:34 PM, , , ,1,0,Cd 288.802,154860.7687,[2], , , ,0,mg/L
SED Std 1,12/1/2021,11:26:34 PM, , , ,1,0,Cu 327.393,1141472.65,[2], , , ,0,mg/L
SED Std 1,12/1/2021,11:26:34 PM, , , ,1,0,Mn 257.610,2170433.018,[2], , , ,0,mg/L
SED Std 1,12/1/2021,11:26:34 PM, , , ,1,0,Mn_r 260.568,85056.67774,[2], , , ,0,mg/L
SED Std 1,12/1/2021,11:26:34 PM, , , ,1,0,Sb 206.836,35678.63998,[5], , , ,0,mg/L
SED Std 1,12/1/2021,11:26:34 PM, , , ,1,0,Se 196.026,23958.37952,[5], , , ,0,mg/L
SED Std 2,12/1/2021,11:31:18 PM, , , ,2,0,K_r 766.490,137620.7757,[20], , , ,0,mg/L
SED Std 2,12/1/2021,11:31:18 PM, , , ,2,0,Li_r 670.784,1351631.823,[5], , , ,0,mg/L
SED Std 2,12/1/2021,11:31:18 PM, , , ,2,0,Mo 202.031,398921.6478,[10], , , ,0,mg/L
SED Std 2,12/1/2021,11:31:18 PM, , , ,2,0,Na_r 589.592,221873.4746,[10], , , ,0,mg/L
SED Std 2,12/1/2021,11:31:18 PM, , , ,2,0,Na 330.237,8176.050465,[10], , , ,0,mg/L
SED Std 2,12/1/2021,11:31:18 PM, , , ,2,0,Sr_r 407.771,3800710.094,[1], , , ,0,mg/L
SED Std 2,12/1/2021,11:31:18 PM, , , ,2,0,Ti 334.940,10525082.39,[10], , , ,0,mg/L
SED Std 3,12/1/2021,11:33:13 PM, , , ,3,0,Co 228.616,100141.2135,[2], , , ,0,mg/L
SED Std 3,12/1/2021,11:33:13 PM, , , ,3,0,P 177.434,4503.326256,[10], , , ,0,mg/L
SED Std 3,12/1/2021,11:33:13 PM, , , ,3,0,P 178.221,4988.73799,[10], , , ,0,mg/L
SED Std 3,12/1/2021,11:33:13 PM, , , ,3,0,P 213.617,60602.97851,[10], , , ,0,mg/L
SED Std 4,12/1/2021,11:35:01 PM, , , ,4,0,Al 396.153,2439828.554,[10], , , ,0,mg/L
SED Std 4,12/1/2021,11:35:01 PM, , , ,4,0,Al_r 396.153,84242.26379,[10], , , ,0,mg/L
SED Std 4,12/1/2021,11:35:01 PM, , , ,4,0,Cr 267.716,764514.7102,[5], , , ,0,mg/L
SED Std 4,12/1/2021,11:35:01 PM, , , ,4,0,Si 251.611,486009.8502,[10], , , ,0,mg/L
SED Std 4,12/1/2021,11:35:01 PM, , , ,4,0,Si_r 251.611,40127.23371,[10], , , ,0,mg/L
SED Std 4,12/1/2021,11:35:01 PM, , , ,4,0,Si_r 212.412,14499.35062,[10], , , ,0,mg/L
SED Std 4,12/1/2021,11:35:01 PM, , , ,4,0,Sn 189.927,48501.44036,[4], , , ,0,mg/L
SED Std 4,12/1/2021,11:35:01 PM, , , ,4,0,Zn 206.200,353184.6257,[5], , , ,0,mg/L
SED Std 4,12/1/2021,11:35:01 PM, , , ,4,0,Zn_r 206.200,41847.2072,[5], , , ,0,mg/L
SED Std 5,12/1/2021,11:36:54 PM, , , ,5,0,Be 313.107,5494709.419,[1], , , ,0,mg/L
SED Std 5,12/1/2021,11:36:54 PM, , , ,5,0,Fe 238.204,1048994.521,[10], , , ,0,mg/L
SED Std 5,12/1/2021,11:36:54 PM, , , ,5,0,Fe_r 238.204,98184.21062,[10], , , ,0,mg/L
SED Std 5,12/1/2021,11:36:54 PM, , , ,5,0,Fe_r 234.349,79359.13103,[10], , , ,0,mg/L
SED Std 5,12/1/2021,11:36:54 PM, , , ,5,0,Mg_r 285.213,519188.2724,[10], , , ,0,mg/L
SED Std 5,12/1/2021,11:36:54 PM, , , ,5,0,Ni 231.604,183660.9649,[2], , , ,0,mg/L
SED Std 5,12/1/2021,11:36:54 PM, , , ,5,0,Pb 220.353,144365.6583,[10], , , ,0,mg/L
SED Std 5,12/1/2021,11:36:54 PM, , , ,5,0,Tl 190.801,23029.24072,[5], , , ,0,mg/L
SED Std S,12/1/2021,11:38:49 PM, , , ,6,0,S 180.669,33391.34695,[40], , , ,0,mg/L
SED Std S,12/1/2021,11:38:49 PM, , , ,6,0,S 181.975,43263.79221,[40], , , ,0,mg/L
SED Std S,12/1/2021,11:38:49 PM, , , ,6,0,S_r 181.975,4256.207776,[40], , , ,0,mg/L
PGM Std,12/1/2021,11:40:50 PM, , , ,12,0,Pd 340.458,-6.576687559,[1], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Ag 328.068,-134.6009441,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Ag 338.289,-164.6455243,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Al 396.153,172.7838281,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Al_r 396.153,-0.7114225597,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,As 188.979,-12.92971417,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,B 249.677,1421.953234,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,B_r 249.677,149.1025163,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Ba 233.527,-191.9928623,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Be 313.107,-5649.986287,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Ca_r 317.933,94.73740325,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Cd 288.802,194.2379231,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Co 228.616,-38.72140268,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Cr 267.716,68.36495691,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Cu 327.393,-4886.528737,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Fe 238.204,-109.7471153,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Fe_r 238.204,15.7818682,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Fe_r 234.349,16.46808484,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,K_r 766.490,617.5865401,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Li_r 670.784,-198.6838725,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Mg_r 285.213,49.16410635,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Mn 257.610,599.8281201,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Mn_r 260.568,27.21576603,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Mo 202.031,-23.46836886,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Na_r 589.592,364.3026559,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Na 330.237,202.687394,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Ni 231.604,-406.8677737,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,P 177.434,-1.348968593,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,P 178.221,3.635961264,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,P 213.617,-836.5863977,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Pb 220.353,76.18702643,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,S 180.669,5.316738029,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,S 181.975,34.97902768,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,S_r 181.975,7.751820887,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Sb 206.836,35.96967956,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Se 196.026,47.98119977,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Si 251.611,367.2658087,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Si_r 251.611,68.91099142,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Si_r 212.412,12.69265584,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Sn 189.927,-34.19457669,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Sr_r 407.771,214.32189,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Ti 334.940,112.0770833,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Tl 190.801,-18.98351117,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Zn 206.200,10.30699546,[0.00], , , ,0,mg/L
Calib Blank 1,12/1/2021,11:48:08 PM, , , ,101,0,Zn_r 206.200,2.827260877,[0.00], , , ,0,mg/L
SED Std 1,12/1/2021,11:50:41 PM, , , ,1,0,Ag 328.068,273621.0205,[0.5], , , ,0,mg/L
