Sample ID,Date,Time,Initial Sample Vol,Diluted To Vol.,Remarks,Sample Type,Samp Number,Analyte Name,Int (Corr),Reported Conc (Calib),Reported Conc (Samp),Conc (Calib),Conc (Samp),RSD (Conc),Samp Units
SedSTD_2,7/2/2021,15:18:47, , , ,2,0,K_r 766.5,72556.11406,[20], , , ,0,mg/L
SedSTD_2,7/2/2021,15:18:47, , , ,2,0,Li_r 670.8,1534906.881,[5], , , ,0,mg/L
SedSTD_2,7/2/2021,15:18:47, , , ,2,0,Mo 202.0,266249.3834,[10], , , ,0,mg/L
SedSTD_2,7/2/2021,15:18:47, , , ,2,0,Na_r 589.6,212300.9501,[10], , , ,0,mg/L
SedSTD_2,7/2/2021,15:18:47, , , ,2,0,Sr_r 407.7,1778710.947,[1], , , ,0,mg/L
SedSTD_2,7/2/2021,15:18:47, , , ,2,0,Ti 334.9,9808283.646,[10], , , ,0,mg/L
SedSTD_3,7/2/2021,15:21:06, , , ,3,0,Co 228.6,81722.72964,[2], , , ,0,mg/L
SedSTD_3,7/2/2021,15:21:06, , , ,3,0,P 178.2,569.5179448,[10], , , ,0,mg/L
SedSTD_3,7/2/2021,15:21:06, , , ,3,0,V 292.4,793690.5958,[2], , , ,0,mg/L
SedSTD_4,7/2/2021,15:23:42, , , ,4,0,Al 396.2,1762266.494,[10], , , ,0,mg/L
SedSTD_4,7/2/2021,15:23:42, , , ,4,0,Al_r 396.2,92479.42407,[10], , , ,0,mg/L
SedSTD_4,7/2/2021,15:23:42, , , ,4,0,Cr 267.7,598702.272,[5], , , ,0,mg/L
SedSTD_4,7/2/2021,15:23:42, , , ,4,0,Si 251.6,421844.5858,[10], , , ,0,mg/L
SedSTD_4,7/2/2021,15:23:42, , , ,4,0,Si_r 251.6,41230.4914,[10], , , ,0,mg/L
SedSTD_4,7/2/2021,15:23:42, , , ,4,0,Si_r 212.4,13062.41504,[10], , , ,0,mg/L
SedSTD_4,7/2/2021,15:23:42, , , ,4,0,Sn 189.9,29393.40485,[4], , , ,0,mg/L
SedSTD_4,7/2/2021,15:23:42, , , ,4,0,Zn 206.2,259554.5679,[5], , , ,0,mg/L
SedSTD_4,7/2/2021,15:23:42, , , ,4,0,Zn_r 206.2,39957.54444,[5], , , ,0,mg/L
SedSTD_5,7/2/2021,15:26:02, , , ,5,0,Be 313.1,5177219.925,[1], , , ,0,mg/L
SedSTD_5,7/2/2021,15:26:02, , , ,5,0,Fe 238.2,855645.8918,[10], , , ,0,mg/L
SedSTD_5,7/2/2021,15:26:02, , , ,5,0,Fe_r 238.2,101202.1835,[10], , , ,0,mg/L
SedSTD_5,7/2/2021,15:26:02, , , ,5,0,Fe_r 234.3,81877.01218,[10], , , ,0,mg/L
SedSTD_5,7/2/2021,15:26:02, , , ,5,0,Mg_r 285.2,546359.2449,[10], , , ,0,mg/L
SedSTD_5,7/2/2021,15:26:02, , , ,5,0,Ni 231.6,139459.6787,[2], , , ,0,mg/L
SedSTD_5,7/2/2021,15:26:02, , , ,5,0,Pb 220.3,103057.4775,[10], , , ,0,mg/L
SedSTD_5,7/2/2021,15:26:02, , , ,5,0,Tl 190.8,17241.06974,[5], , , ,0,mg/L
SedSTD_S,7/2/2021,15:28:19, , , ,6,0,S 181.9,32421.68594,[40], , , ,0,mg/L
SedSTD_S,7/2/2021,15:28:19, , , ,6,0,S_r 181.9,3404.86747,[40], , , ,0,mg/L
SedSTD_S,7/2/2021,15:28:19, , , ,6,0,S 180.6,20072.01138,[40], , , ,0,mg/L
200.7 CCV,7/2/2021,15:34:42, , , ,0,1,Al 396.2,347115.2386,1.970,1.970,1.96970912,1.96970912,0.4686614926,mg/L
200.7 CCV,7/2/2021,15:34:42, , , ,0,1,Al_r 396.2,18795.02723,2.032,2.032,2.032346916,2.032346916,1.140097517,mg/L
200.7 CCV,7/2/2021,15:34:42, , , ,0,1,As 188.9,4406.044066,2.007,2.007,2.007044429,2.007044429,0.2848426401,mg/L
200.7 CCV,7/2/2021,15:34:42, , , ,0,1,B 249.6,23123.28306,0.1763,0.1763,0.1763492598,0.1763492598,0.2266774342,mg/L
200.7 CCV,7/2/2021,15:34:42, , , ,0,1,B_r 249.6,3114.92008,0.1844,0.1844,0.184360411,0.184360411,0.7292963216,mg/L
200.7 CCV,7/2/2021,15:34:42, , , ,0,1,Ba 233.5,25397.42851,0.1877,0.1877,0.1876821259,0.1876821259,0.331497378,mg/L
200.7 CCV,7/2/2021,15:34:42, , , ,0,1,Be 313.1,1048620.27,0.2025,0.2025,0.2025450503,0.2025450503,0.9343929399,mg/L
200.7 CCV,7/2/2021,15:34:42, , , ,0,1,Ca_r 317.9,44588.07264,1.956,1.956,1.95642791,1.95642791,0.8189808859,mg/L
200.7 CCV,7/2/2021,15:34:42, , , ,0,1,Cd 228.8,23805.30156,0.3973,0.3973,0.3973476024,0.3973476024,0.1838396975,mg/L
200.7 CCV,7/2/2021,15:34:42, , , ,0,1,Co 228.6,16000.2324,0.3916,0.3916,0.3915736165,0.3915736165,0.2334820485,mg/L
200.7 CCV,7/2/2021,15:34:42, , , ,0,1,Cr 267.7,120895.0317,1.010,1.010,1.009642332,1.009642332,0.5330582079,mg/L
200.7 CCV,7/2/2021,15:34:42, , , ,0,1,Cu 327.3,202740.0397,0.3917,0.3917,0.3917362237,0.3917362237,0.5938510754,mg/L
200.7 CCV,7/2/2021,15:34:42, , , ,0,1,Fe 238.2,175768.2577,2.054,2.054,2.05421728,2.05421728,0.3379144462,mg/L
200.7 CCV,7/2/2021,15:34:42, , , ,0,1,Fe_r 238.2,20575.82322,2.033,2.033,2.033140245,2.033140245,0.5532731945,mg/L
200.7 CCV,7/2/2021,15:34:42, , , ,0,1,Fe_r 234.3,16624.06193,2.030,2.030,2.030369879,2.030369879,0.4128379278,mg/L
200.7 CCV,7/2/2021,15:34:42, , , ,0,1,K_r 766.5,14462.87509,3.987,3.987,3.986673012,3.986673012,1.092061017,mg/L
