Sample ID,Date,Time,Initial Sample Vol,Diluted To Vol.,Remarks,Sample Type,Samp Number,Analyte Name,Int (Corr),Reported Conc (Calib),Reported Conc (Samp),Conc (Calib),Conc (Samp),RSD (Conc),Samp Units
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Al 396.2,48.85507128,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Al_r 396.2,-22.99288661,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,As 188.9,-21.25211982,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,B 249.6,5040.30371,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,B_r 249.6,598.801716,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Ba 233.5,-377.6284879,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Be 313.1,-4590.607541,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Ca_r 317.9,19.63107843,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Cd 228.8,91.09162149,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Co 228.6,-98.29191418,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Cr 267.7,-6.016857375,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Cu 327.3,-2331.525724,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Fe 238.2,50.47887375,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Fe_r 238.2,14.10806344,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Fe_r 234.3,-2.219158961,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,K_r 766.5,71.5023083,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Li_r 670.8,-199.4275778,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Mg_r 285.2,-52.88545832,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Mn 257.6,1544.954869,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Mn_r 260.5,61.50685225,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Mo 202.0,99.74546049,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Na_r 589.6,211.3942621,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Ni 231.6,-54.22987203,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,P 178.2,8.017013194,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Pb 220.3,-23.57378705,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,S 181.9,23.20703553,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,S_r 181.9,3.379509989,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,S 180.6,14.83819586,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Sb 206.8,49.91745514,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Se 196.0,-55.61870671,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Si 251.6,1739.765769,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Si_r 251.6,214.9004037,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Si_r 212.4,50.11600002,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Sn 189.9,14.328879,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Sr_r 407.7,335.3014465,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Ti 334.9,167.670385,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Tl 190.8,-37.9805714,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,V 292.4,2.952121296,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Zn 206.2,13.95380624,[0.00], , , ,0,mg/L
Calib Blank 1,7/14/2021,12:28:39, , , ,101,0,Zn_r 206.2,7.485525062,[0.00], , , ,0,mg/L
SedSTD_1,7/14/2021,12:32:07, , , ,1,0,As 188.9,21615.45216,[10], , , ,0,mg/L
SedSTD_1,7/14/2021,12:32:07, , , ,1,0,B 249.6,127472.0527,[1], , , ,0,mg/L
SedSTD_1,7/14/2021,12:32:07, , , ,1,0,B_r 249.6,15411.48643,[1], , , ,0,mg/L
SedSTD_1,7/14/2021,12:32:07, , , ,1,0,Ba 233.5,153097.9634,[1], , , ,0,mg/L
SedSTD_1,7/14/2021,12:32:07, , , ,1,0,Ca_r 317.9,201588.2846,[10], , , ,0,mg/L
SedSTD_1,7/14/2021,12:32:07, , , ,1,0,Cd 228.8,120412.7254,[2], , , ,0,mg/L
SedSTD_1,7/14/2021,12:32:07, , , ,1,0,Cu 327.3,1115433.249,[2], , , ,0,mg/L
SedSTD_1,7/14/2021,12:32:07, , , ,1,0,Mn 257.6,2141063.872,[2], , , ,0,mg/L
SedSTD_1,7/14/2021,12:32:07, , , ,1,0,Mn_r 260.5,92972.15288,[2], , , ,0,mg/L
SedSTD_1,7/14/2021,12:32:07, , , ,1,0,Sb 206.8,29342.6558,[5], , , ,0,mg/L
SedSTD_1,7/14/2021,12:32:07, , , ,1,0,Se 196.0,17605.8608,[5], , , ,0,mg/L
SedSTD_2,7/14/2021,12:34:18, , , ,2,0,K_r 766.5,63153.30038,[20], , , ,0,mg/L
SedSTD_2,7/14/2021,12:34:18, , , ,2,0,Li_r 670.8,1333380.374,[5], , , ,0,mg/L
SedSTD_2,7/14/2021,12:34:18, , , ,2,0,Mo 202.0,292825.7785,[10], , , ,0,mg/L
SedSTD_2,7/14/2021,12:34:18, , , ,2,0,Na_r 589.6,214296.4347,[10], , , ,0,mg/L
SedSTD_2,7/14/2021,12:34:18, , , ,2,0,Sr_r 407.7,1700563.335,[1], , , ,0,mg/L
SedSTD_2,7/14/2021,12:34:18, , , ,2,0,Ti 334.9,10446304.67,[10], , , ,0,mg/L
SedSTD_3,7/14/2021,12:36:38, , , ,3,0,Co 228.6,85874.3528,[2], , , ,0,mg/L
SedSTD_3,7/14/2021,12:36:38, , , ,3,0,P 178.2,3130.281479,[10], , , ,0,mg/L
SedSTD_3,7/14/2021,12:36:38, , , ,3,0,V 292.4,887295.5347,[2], , , ,0,mg/L
SedSTD_4,7/14/2021,12:39:08, , , ,4,0,Al 396.2,2236230.765,[10], , , ,0,mg/L
SedSTD_4,7/14/2021,12:39:08, , , ,4,0,Al_r 396.2,85737.12787,[10], , , ,0,mg/L
SedSTD_4,7/14/2021,12:39:08, , , ,4,0,Cr 267.7,643048.3228,[5], , , ,0,mg/L
SedSTD_4,7/14/2021,12:39:08, , , ,4,0,Si 251.6,416035.1687,[10], , , ,0,mg/L
SedSTD_4,7/14/2021,12:39:08, , , ,4,0,Si_r 251.6,39220.28416,[10], , , ,0,mg/L
SedSTD_4,7/14/2021,12:39:08, , , ,4,0,Si_r 212.4,12085.07241,[10], , , ,0,mg/L
SedSTD_4,7/14/2021,12:39:08, , , ,4,0,Sn 189.9,32204.21039,[4], , , ,0,mg/L
SedSTD_4,7/14/2021,12:39:08, , , ,4,0,Zn 206.2,263579.1946,[5], , , ,0,mg/L
SedSTD_4,7/14/2021,12:39:08, , , ,4,0,Zn_r 206.2,35493.46873,[5], , , ,0,mg/L
SedSTD_5,7/14/2021,12:41:27, , , ,5,0,Be 313.1,5473853.876,[1], , , ,0,mg/L
SedSTD_5,7/14/2021,12:41:27, , , ,5,0,Fe 238.2,898934.9195,[10], , , ,0,mg/L
SedSTD_5,7/14/2021,12:41:27, , , ,5,0,Fe_r 238.2,96162.35694,[10], , , ,0,mg/L
SedSTD_5,7/14/2021,12:41:27, , , ,5,0,Fe_r 234.3,76783.90622,[10], , , ,0,mg/L
SedSTD_5,7/14/2021,12:41:27, , , ,5,0,Mg_r 285.2,499028.076,[10], , , ,0,mg/L
SedSTD_5,7/14/2021,12:41:27, , , ,5,0,Ni 231.6,147722.6869,[2], , , ,0,mg/L
SedSTD_5,7/14/2021,12:41:27, , , ,5,0,Pb 220.3,111348.6123,[10], , , ,0,mg/L
SedSTD_5,7/14/2021,12:41:27, , , ,5,0,Tl 190.8,18719.86126,[5], , , ,0,mg/L
SedSTD_S,7/14/2021,12:43:43, , , ,6,0,S 181.9,38896.24936,[40], , , ,0,mg/L
SedSTD_S,7/14/2021,12:43:43, , , ,6,0,S_r 181.9,4308.791055,[40], , , ,0,mg/L
SedSTD_S,7/14/2021,12:43:43, , , ,6,0,S 180.6,30994.00148,[40], , , ,0,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Al 396.2,432884.5643,1.936,1.936,1.935777698,1.935777698,0.333567385,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Al_r 396.2,16935.81601,1.975,1.975,1.975318795,1.975318795,0.8346190559,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,As 188.9,4272.178578,1.976,1.976,1.976446547,1.976446547,0.4071890775,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,B 249.6,21081.40955,0.1654,0.1654,0.1653806391,0.1653806391,0.4255985936,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,B_r 249.6,2493.644519,0.1618,0.1618,0.1618042835,0.1618042835,0.7678741096,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Ba 233.5,29202.57848,0.1907,0.1907,0.1907443955,0.1907443955,1.135916401,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Be 313.1,1101810.719,0.2013,0.2013,0.2012861037,0.2012861037,0.3427667528,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Ca_r 317.9,37885.90956,1.879,1.879,1.879370601,1.879370601,0.678791596,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Cd 228.8,23993.51766,0.3985,0.3985,0.3985212957,0.3985212957,0.9120659792,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Co 228.6,16992.53336,0.3958,0.3958,0.3957533956,0.3957533956,0.857318345,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Cr 267.7,129565.7636,1.007,1.007,1.007434115,1.007434115,0.995503243,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Cu 327.3,209943.3194,0.3764,0.3764,0.3764336765,0.3764336765,0.5276205953,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Fe 238.2,186409.7777,2.074,2.074,2.073673785,2.073673785,0.418189428,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Fe_r 238.2,18632.54038,1.938,1.938,1.937612697,1.937612697,0.4531693175,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Fe_r 234.3,14916.43186,1.943,1.943,1.942650823,1.942650823,0.5730981752,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,K_r 766.5,12441.86643,3.940,3.940,3.940210996,3.940210996,1.2894497,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Li_r 670.8,268291.7365,1.006,1.006,1.006058517,1.006058517,1.685163957,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Mg_r 285.2,96574.81372,1.935,1.935,1.935258122,1.935258122,0.9920225703,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Mn 257.6,411183.3601,0.3841,0.3841,0.3840925676,0.3840925676,0.5186081893,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Mn_r 260.5,17211.99984,0.3703,0.3703,0.3702614021,0.3702614021,0.8799306699,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Mo 202.0,60281.75067,2.059,2.059,2.058621716,2.058621716,1.209886717,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Na_r 589.6,43171.51599,2.015,2.015,2.01456996,2.01456996,0.8978034054,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Ni 231.6,29891.69988,0.4047,0.4047,0.404700192,0.404700192,1.342987013,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,P 178.2,735.2639088,2.349,2.349,2.348874738,2.348874738,0.2371145139,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Pb 220.3,22152.65562,1.989,1.989,1.989486456,1.989486456,0.9426966138,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,S 181.9,9.470102758,0.009739,0.009739,0.00973883386,0.00973883386,49.34014938,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,S_r 181.9,5.187987814,0.04816,0.04816,0.04816188809,0.04816188809,70.35953961,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,S 180.6,57.42881703,0.07412,0.07412,0.07411604089,0.07411604089,8.133710048,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Sb 206.8,5782.082738,0.9853,0.9853,0.985269155,0.985269155,0.2823718148,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Se 196.0,3489.963233,0.9911,0.9911,0.9911367787,0.9911367787,0.5179664188,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Si 251.6,84816.85666,2.039,2.039,2.038694395,2.038694395,0.2760951014,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Si_r 251.6,7867.776061,2.006,2.006,2.006047694,2.006047694,0.1591931145,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Si_r 212.4,2460.745541,2.036,2.036,2.036186014,2.036186014,0.2247828203,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Sn 189.9,6511.631891,0.8088,0.8088,0.8087926159,0.8087926159,0.4541488397,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Sr_r 407.7,343507.0754,0.2020,0.2020,0.2019960494,0.2019960494,1.85887012,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Ti 334.9,2138763.437,2.047,2.047,2.047387574,2.047387574,0.4383604445,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Tl 190.8,3733.821464,0.9973,0.9973,0.9972887651,0.9972887651,0.4859175731,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,V 292.4,161956.0473,0.3651,0.3651,0.365055477,0.365055477,0.5048306362,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Zn 206.2,54172.85888,1.028,1.028,1.027639131,1.027639131,1.812532631,mg/L
200.7 CCV,7/14/2021,13:04:39, , , ,0,1,Zn_r 206.2,6999.881458,0.9861,0.9861,0.9860802155,0.9860802155,0.4189880292,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Al 396.2,451086.7224,2.017,2.017,2.017174299,2.017174299,0.6162186855,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Al_r 396.2,17793.80942,2.075,2.075,2.075391358,2.075391358,0.5774697935,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,As 188.9,4130.565649,1.911,1.911,1.910931874,1.910931874,0.6193604226,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,B 249.6,240028.0385,1.883,1.883,1.882985591,1.882985591,0.7006700057,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,B_r 249.6,28750.66877,1.866,1.866,1.865535093,1.865535093,0.605361444,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Ba 233.5,288299.9078,1.883,1.883,1.8831074,1.8831074,0.542831157,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Be 313.1,11028421.59,2.015,2.015,2.014745341,2.014745341,0.2700845861,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Ca_r 317.9,38070.1561,1.889,1.889,1.888510346,1.888510346,0.7400835729,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Cd 228.8,112480.972,1.868,1.868,1.868257224,1.868257224,0.7604145977,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Co 228.6,85541.03612,1.992,1.992,1.992237108,1.992237108,0.9148593698,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Cr 267.7,249195.4501,1.938,1.938,1.937610606,1.937610606,0.6877568659,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Cu 327.3,1062439.747,1.905,1.905,1.904981312,1.904981312,0.8768666381,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Fe 238.2,183936.5966,2.046,2.046,2.046161437,2.046161437,0.5831465921,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Fe_r 238.2,19252.66139,2.002,2.002,2.002099575,2.002099575,0.8207626954,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Fe_r 234.3,15530.97517,2.023,2.023,2.022686255,2.022686255,0.6225922562,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,K_r 766.5,6597.674676,2.089,2.089,2.08941564,2.08941564,1.373374945,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Li_r 670.8,532360.9708,1.996,1.996,1.99628321,1.99628321,1.499216294,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Mg_r 285.2,97405.42981,1.952,1.952,1.951902799,1.951902799,0.6096315916,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Mn 257.6,2005208.369,1.873,1.873,1.873095329,1.873095329,0.5569514095,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Mn_r 260.5,88648.65389,1.907,1.907,1.906993678,1.906993678,0.4544903762,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Mo 202.0,60998.94973,2.083,2.083,2.083114063,2.083114063,0.4099135127,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Na_r 589.6,44028.88599,2.055,2.055,2.054578558,2.054578558,0.8635719482,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Ni 231.6,148008.3433,2.004,2.004,2.003867468,2.003867468,0.7494134661,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,P 178.2,745.3759787,2.381,2.381,2.381178765,2.381178765,0.4947435766,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Pb 220.3,22647.55746,2.034,2.034,2.033932618,2.033932618,0.4551963421,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,S 181.9,15.43844566,0.01588,0.01588,0.01587653916,0.01587653916,9.146019691,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,S_r 181.9,-0.009403176786,-0.000087,-0.000087,-8.729294753e-005,-8.729294753e-005,2790.841938,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,S 180.6,31.69345876,0.04090,0.04090,0.04090270019,0.04090270019,2.450907535,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Sb 206.8,11265.67816,1.920,1.920,1.919675955,1.919675955,0.6658574095,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Se 196.0,6855.854254,1.947,1.947,1.947037504,1.947037504,0.221276093,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Si 251.6,370874.8149,8.915,8.915,8.914506339,8.914506339,0.5583980135,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Si_r 251.6,35119.8133,8.955,8.955,8.954502511,8.954502511,0.2353767991,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Si_r 212.4,10874.45745,8.998,8.998,8.998255932,8.998255932,0.4611538,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Sn 189.9,16019.95738,1.990,1.990,1.989796637,1.989796637,0.8039280077,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Sr_r 407.7,3120403.017,1.835,1.835,1.834923142,1.834923142,1.591499009,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Ti 334.9,2122404.643,2.032,2.032,2.031727688,2.031727688,0.7560611188,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Tl 190.8,7691.449416,2.054,2.054,2.054355347,2.054355347,0.624118087,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,V 292.4,836040.7134,1.884,1.884,1.884469561,1.884469561,0.7677928906,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Zn 206.2,105563.2025,2.002,2.002,2.002494973,2.002494973,2.682005707,mg/L
200.7 CV,7/14/2021,13:08:02, , , ,0,2,Zn_r 206.2,13993.37266,1.971,1.971,1.97126023,1.97126023,1.215396746,mg/L
Sulfur IPC,7/14/2021,13:11:37, , , ,0,3,Al 396.2,7862.800729,0.035,0.035,0.03516095411,0.03516095411,2.335511268,mg/L
Sulfur IPC,7/14/2021,13:11:37, , , ,0,3,Al_r 396.2,348.5899818,0.041,0.041,0.04065799619,0.04065799619,4.367599604,mg/L
Sulfur IPC,7/14/2021,13:11:37, , , ,0,3,As 188.9,3.294290859,0.002,0.002,0.001524044389,0.001524044389,50.94808598,mg/L
Sulfur IPC,7/14/2021,13:11:37, , , ,0,3,B 249.6,-2692.548436,-0.02112,-0.02112,-0.02112265691,-0.02112265691,3.022687043,mg/L
Sulfur IPC,7/14/2021,13:11:37, , , ,0,3,B_r 249.6,-276.0119346,-0.01791,-0.01791,-0.0179094947,-0.0179094947,5.792185685,mg/L
Sulfur IPC,7/14/2021,13:11:37, , , ,0,3,Ba 233.5,323.8010713,0.002115,0.002115,0.002114992677,0.002114992677,9.633324076,mg/L
