Sample ID,Date,Time,Initial Sample Vol,Diluted To Vol.,Remarks,Sample Type,Samp Number,Analyte Name,Int (Corr),Reported Conc (Calib),Reported Conc (Samp),Conc (Calib),Conc (Samp),RSD (Conc),Samp Units
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,Al 396.2,300.1533965,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,Al_r 396.2,-3.458453417,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,As 188.9,-19.01779205,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,B 249.6,677.7381197,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,B_r 249.6,96.53555772,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,Ba 233.5,-356.6976276,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,Be 313.1,-3094.031867,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,Ca_r 317.9,19.62802536,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,Cd 228.8,76.96637018,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,Co 228.6,-82.67250619,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,Cr 267.7,-8.013958239,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,Cu 327.3,-2052.666736,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,Fe 238.2,56.95355018,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,Fe_r 238.2,21.4837478,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,Fe_r 234.3,-3.659261186,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,K_r 766.5,54.18764379,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,Li_r 670.8,-276.0319764,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,Mg_r 285.2,-36.44971744,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,Mn 257.6,1102.962881,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,Mn_r 260.5,57.38454876,[0.00], , , ,0,mg/L
Calib Blank 1,7/19/2021,11:26:33, , , ,101,0,Mo 202.0,87.35060236,[0.00], , , ,0,mg/L
