Sample ID,Date,Time,Initial Sample Vol,Diluted To Vol.,Remarks,Sample Type,Samp Number,Analyte Name,Int (Corr),Reported Conc (Calib),Reported Conc (Samp),Conc (Calib),Conc (Samp),RSD (Conc),Samp Units
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Ag 328.068,-196.0711548,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Ag 338.289,-144.8130584,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Al 396.153,36.84434364,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Al_r 396.153,-3.215549232,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,As 188.979,-10.77059829,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,B 249.677,1078.957258,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,B_r 249.677,103.1459291,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Ba 233.527,-183.9096375,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Be 313.107,-6235.541889,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Ca_r 317.933,43.59215107,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Cd 288.802,185.2245114,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Co 228.616,-24.61227397,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Cr 267.716,-3.829198209,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Cu 327.393,-4460.318012,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Fe 238.204,-115.3964112,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Fe_r 238.204,4.328398945,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Fe_r 234.349,1.484566749,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,K_r 766.490,514.4805927,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Li_r 670.784,-205.9435405,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Mg_r 285.213,5.136013714,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Mn 257.610,792.1943921,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Mn_r 260.568,36.01648642,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Mo 202.031,-18.30840747,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Na_r 589.592,212.201539,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Na 330.237,151.8208162,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Ni 231.604,-542.9116065,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,P 177.434,-0.8014147423,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,P 178.221,11.36464216,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,P 213.617,-817.2414136,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Pb 220.353,52.01583605,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,S 180.669,7.456321586,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,S 181.975,33.79987529,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,S_r 181.975,6.416281636,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Sb 206.836,28.77270612,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Se 196.026,53.83437189,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Si 251.611,312.0372648,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Si_r 251.611,67.19558966,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Si_r 212.412,11.77664726,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Sn 189.927,-31.23892584,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Sr_r 407.771,143.9881046,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Ti 334.940,-52.32612745,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Tl 190.801,-20.26773572,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,V 292.402,-44.86041346,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Zn 206.200,-18.9469871,[0.00], , , ,0,mg/L
Calib Blank 1,11/17/2021,12:31:34 PM, , , ,101,0,Zn_r 206.200,0.6119053028,[0.00], , , ,0,mg/L
SED Std 1,11/17/2021,12:34:07 PM, , , ,1,0,Ag 328.068,286292.9844,[0.5], , , ,0,mg/L
SED Std 1,11/17/2021,12:34:07 PM, , , ,1,0,Ag 338.289,99634.78844,[0.5], , , ,0,mg/L
SED Std 1,11/17/2021,12:34:07 PM, , , ,1,0,As 188.979,30606.89327,[10], , , ,0,mg/L
