Sample ID,Date,Time,Remarks,Run,Al 396.153,Al_r 396.153,As 188.979,B 249.677,B_r 249.677,Ba 233.527,Be 313.107,Ca_r 317.933,Cd 288.802,Co 228.616,Cr 267.716,Cu 327.393,Fe 238.204,Fe_r 238.204,Fe_r 234.349,K_r 766.490,Li_r 670.784,Mg_r 285.213,Mn 257.610,Mn_r 260.568,Mo 202.031,Na_r 589.592,Ni 231.604,P 178.221,Pb 220.353,S 180.669,S 181.975,S_r 181.975,Sb 206.836,Se 196.026,Si 251.611,Si_r 251.611,Si_r 212.412,Sn 189.927,Sr_r 407.771,Ti 334.940,Tl 190.801,Zn 206.200,Zn_r 206.200
1,12/2/2021,0:50:39, ,10,47.17,56.18,0.029,27.43,32.14,33.68,-0.155,164.1,0.005,0.046,0.043,0.918,31.26,36.14,36.16,34.91,0.046,15.3,6.752,7.669,0.004,71.15,0.024,2.858,0.135,6.75,6.682,7.844,-0.002,0,7.605,8.577,8.814,0.006,0.873,1.362,-0.012,27.26,31.93
2,12/2/2021,0:53:12, ,11,63.74,80.15,0.08,24.41,29.05,29.67,-0.221,234.7,0.01,0.051,0.063,1.721,50.69,63.57,64.26,36.05,0.074,25.09,7.382,8.456,0.005,67.07,0.04,3.762,0.237,11.4,11.44,13.89,-0.005,0.006,6.607,7.727,7.766,0.012,1,2.301,-0.011,24.32,29.5
3,12/2/2021,0:55:50, ,12,51.67,63.05,0.091,0.585,0.687,1.365,-0.721,743.9,0.014,0.032,0.055,1.669,55.68,70.43,71.11,96.37,0.099,35.28,19.47,24.89,0.011,3.18,0.034,9.628,0.225,73.48,75.01,92.25,0,0.032,6.56,7.549,7.516,0.042,1.588,2.511,-0.034,2.937,3.319
4,12/2/2021,0:58:14, ,13,78.38,101.1,0.132,0.31,0.376,1.923,-1.03,1063,0.015,0.045,0.081,2.053,78.46,112.6,114.8,78.91,0.158,52.07,24.17,33.62,0.017,4.041,0.052,15.88,0.3,58.9,61.27,76.75,0,0.041,5.352,6.174,6.132,0.064,2.308,3.484,-0.046,3.617,4.313
5,12/2/2021,1:00:42, ,14,98.67,133.3,0.163,0.16,0.214,2.428,-1.332,1372,0.022,0.052,0.099,3.091,84.25,124.3,127.3,69.48,0.169,60.17,27.37,39.58,0.02,4.493,0.065,15.3,0.402,53.86,55.43,70.84,-0.001,0.031,7.479,8.824,8.784,0.081,2.951,3.782,-0.055,4.819,5.841
6,12/2/2021,1:03:10, ,15,71.19,90.88,0.105,0.232,0.274,1.947,-1.207,1241,0.016,0.038,0.073,2.145,71.84,99.4,101.1,60.5,0.15,52.21,22.6,31.22,0.017,3.398,0.05,11.78,0.314,50.13,51.56,64.68,0.001,0.035,5.238,6.213,6.18,0.074,2.645,3.158,-0.045,3.749,4.357
7,12/2/2021,1:05:35, ,16,53.98,64.84,0.127,0.777,0.88,1.357,-0.557,575.3,0.015,0.028,0.054,1.903,52.91,66.41,67.09,146.6,0.084,33.89,23.18,30.71,0.011,3.491,0.023,13.85,0.249,108.2,111.6,138.6,0.003,0.036,5.887,6.899,6.845,0.033,1.33,2.048,-0.038,3.151,3.564
8,12/2/2021,1:07:56, ,17,0.081,0.111,-0.001,0.01,0.011,0.002,-0.001,1.259,0.001,-0.001,-0.001,0.005,0.104,0.124,0.123,0.236,-0.001,0.058,0.046,0.051,0,0.017,-0.003,0.034,0.002,0.152,0.145,0.223,0.002,0.007,0.021,0.029,0.028,-0.002,0.003,0.004,-0.003,0.006,0.008
9,12/2/2021,1:10:16, ,18,88.88,115.3,0.163,0.345,0.419,2.173,-1.162,1198,0.02,0.044,0.092,2.715,79.62,113.5,115.8,90.2,0.155,55.99,26.38,37.09,0.018,4.008,0.06,14.02,0.39,70.28,72.96,91.8,0,0.038,7.602,8.885,8.863,0.07,2.545,3.661,-0.049,4.394,5.157
10,12/2/2021,1:12:45, ,19,80.97,102.9,0.202,0.442,0.512,1.851,-0.713,740.4,0.018,0.046,0.092,2.826,84.02,117.4,120.1,94.84,0.131,48.06,17.5,22.05,0.015,4.107,0.059,15.38,0.355,79.84,81.48,101.8,-0.002,0.021,7.519,8.757,8.734,0.044,1.704,3.538,-0.028,4.419,5.115
10 dup,12/2/2021,1:15:16, ,20,81.06,103.5,0.197,0.446,0.507,1.843,-0.707,735,0.018,0.046,0.092,2.784,82.78,117.1,119.9,95.76,0.131,48.23,17.31,22.03,0.015,4.155,0.06,14.75,0.352,77.69,80.11,100.7,-0.002,0.021,8.045,9.385,9.391,0.044,1.734,3.525,-0.031,4.413,5.05
1 spike,12/2/2021,1:17:43, ,21,68.6,84.71,0.463,26.71,31.54,32.24,-0.181,189.4,0.078,0.118,0.201,5.624,50.14,62.15,62.52,33.6,0.045,29.22,10.38,12.17,0.004,70.64,0.167,7.041,0.847,17.88,17.86,21.94,-0.005,0.082,6.707,7.791,7.812,0.008,0.863,1.313,-0.016,28.9,35.38
Lblank,12/2/2021,1:20:22, ,22,0.105,0.131,0,0.064,0.08,0.038,0,0.498,0,0,0,0.006,0.1,0.122,0.123,0.099,0,0.05,0.019,0.023,0,0.106,0,0.013,0.001,0.063,0.069,0.094,-0.001,-0.001,0.015,0.018,0.017,-0.001,0.002,0.002,-0.003,0.038,0.05
CV,12/2/2021,1:22:55, ,23,2.068,2.036,2.032,2.04,2.089,2.074,2.044,2.091,1.782,2.014,1.948,2.008,2.058,2.051,2.033,2.226,2.061,1.967,2.028,2.069,2.126,2.37,2.012,2.102,2.001,0.107,0.071,0.107,2.047,2.013,8.788,8.935,9.076,1.871,1.758,2.072,1.947,1.98,1.987
S IPC,12/2/2021,1:25:28, ,24,0.01,0.009,-0.001,0.015,0.018,0.004,0.001,0.059,0.001,0.001,0,0.002,0.011,0.011,0.01,0.024,0.002,0.005,0.003,0.004,0.002,0.013,-0.001,-0.017,-0.008,25.93,26.04,26.51,0.001,0,0.015,0.019,0.015,0.001,0.002,0.001,0,0.004,0.005
11,12/2/2021,1:28:03, ,25,29.85,35.45,-0.01,32.4,38.87,39.56,-0.1,103,0.001,0.041,0.024,0.417,8.153,9.017,8.973,33.99,0.02,5.261,3.735,4.133,0.004,83.41,0.01,1.11,0.046,3.443,3.383,4.015,0.001,0.002,4.777,5.437,5.516,0.001,0.771,0.359,-0.009,31.28,37.4
12,12/2/2021,1:30:39, ,26,25.55,29.32,-0.01,29.09,33.88,35.71,-0.089,92.29,0.001,0.038,0.02,0.4,7.673,8.51,8.479,32.36,0.018,4.965,2.71,3,0.004,73.69,0.008,0.873,0.044,3.806,3.775,4.465,0,0.002,3.8,4.416,4.426,0.001,0.669,0.326,-0.009,28.06,33.34
13,12/2/2021,1:33:10, ,27,127,175.8,0.585,22.52,26.37,26.45,-1.483,1534,0.041,0.082,0.123,7.975,99.86,156.1,161.4,63.81,0.214,62.53,32.15,48.8,0.032,67.46,0.084,11.64,0.823,40.05,40.66,49.46,-0.006,0.029,6.869,7.884,7.8,0.098,2.672,5.901,-0.064,24.28,30.22
14,12/2/2021,1:35:39, ,28,37.45,44.71,0.064,26.27,30.46,31.21,-0.302,311.6,0.006,0.041,0.032,1.338,25.12,29.4,29.32,33.62,0.043,12.22,8.118,9.416,0.007,68.69,0.02,1.889,0.161,8.02,7.982,9.38,0.001,0.008,5.037,5.676,5.859,0.016,0.884,1.191,-0.015,24.88,29.81
15,12/2/2021,1:38:16, ,29,,302.2,0.306,-0.148,-0.041,0.924,-0.049,111,0.005,0.102,0.375,0.386,161.4,303.2,323.6,21.24,0.45,109.6,5.882,6.712,0.093,6.665,0.337,10.35,0.413,4.69,4.892,5.848,-0.041,-0.071,11.45,13.21,13.23,0.022,1.099,11.99,-0.007,1.539,1.731
16,12/2/2021,1:40:56, ,30,58.89,73.13,0.173,23.79,27.95,28.31,-0.602,622.8,0.014,0.05,0.056,2.902,48.46,60.46,60.98,36.99,0.083,23.77,13.26,16.05,0.016,65.23,0.035,3.613,0.336,14.67,14.69,17.62,-0.001,0.013,6.282,7.349,7.37,0.037,1.248,2.401,-0.027,23.52,27.86
17,12/2/2021,1:43:36, ,31,28.17,34.23,-0.026,28.95,33.96,33.78,-0.365,373.8,0.004,0.04,0.023,0.405,11.57,13.02,12.9,33.33,0.031,9.617,4.513,5.078,0.005,74.46,0.013,3.255,0.056,6.401,6.321,7.402,0.004,0.007,4.715,5.293,5.423,0.016,1.158,0.51,-0.01,26.69,31.86
18,12/2/2021,1:46:09, ,32,31,35.94,-0.049,35.64,42.01,42.35,-0.144,146.4,0,0.042,0.019,0.082,2.801,3.089,3.063,36.5,0.017,4.789,1.496,1.646,0.002,89.68,0.008,1.046,0.015,2.417,2.403,2.686,0.004,0.001,3.047,3.537,3.564,0.005,0.93,0.102,-0.006,33.46,40.14
19,12/2/2021,1:48:42, ,33,27.03,31.44,-0.03,31.37,36.95,38.56,-0.081,83.31,0,0.041,0.02,0.156,5.871,6.488,6.476,33.39,0.017,4.711,1.767,1.942,0.002,79.48,0.008,1.159,0.025,2.161,2.126,2.467,-0.001,0.001,3.894,4.484,4.488,0,0.734,0.257,-0.006,29.67,35.49
20,12/2/2021,1:51:14, ,34,29.11,32.84,-0.023,30.42,34.97,36.32,-0.159,163.4,0.002,0.041,0.023,0.25,9.647,10.6,10.55,33.24,0.023,6.489,3.829,4.252,0.003,75.23,0.011,1.632,0.04,3.817,3.775,4.471,0.002,0.001,4.255,4.782,4.897,0.005,0.819,0.469,-0.01,29.01,33.65
20 dup,12/2/2021,1:53:46, ,35,28.42,32.85,-0.024,30.03,35.08,36.22,-0.159,163.4,0.002,0.04,0.023,0.252,9.533,10.63,10.57,33.1,0.023,6.479,3.802,4.259,0.002,75.41,0.011,1.698,0.041,3.862,3.783,4.359,0.002,0.002,4.5,5.193,5.257,0.005,0.82,0.474,-0.009,28.14,33.78
2 spike,12/2/2021,1:56:19, ,36,84.61,107.5,0.517,23.87,28.15,29.32,-0.239,253.3,0.083,0.126,0.217,6.399,67.62,87.25,88.51,35,0.073,38.32,10.9,12.77,0.006,65.37,0.179,7.834,0.92,20.92,21.12,26.39,-0.009,0.088,5.628,6.562,6.572,0.013,0.977,2.235,-0.019,27.34,32.32
Lblank,12/2/2021,1:58:59, ,37,0.087,0.109,-0.001,0.156,0.178,0.044,0,0.299,0,0,0,0.005,0.081,0.099,0.098,0.094,0,0.039,0.011,0.014,0,0.14,0,0.006,0.001,0.03,0.023,0.052,-0.001,-0.001,0.011,0.012,0.017,-0.001,0.001,0.002,0,0.045,0.053
CV,12/2/2021,2:01:33, ,38,2.045,2.006,2.046,2.105,2.144,2.074,2.055,2.071,1.78,2.008,1.936,1.996,2.059,2.038,2.023,2.242,2.009,1.943,2.036,2.05,2.119,2.395,2.007,2.036,1.991,0.082,0.045,0.053,2.097,2.021,8.659,8.846,8.931,1.865,1.769,2.08,1.959,1.986,2.005
S IPC,12/2/2021,2:04:06, ,39,0.007,0.004,-0.002,0.066,0.071,0.005,0.001,0.02,0.001,0.001,0,0.001,0.007,0.008,0.008,0.031,0.002,0.003,0.002,0.002,0.002,0.033,-0.002,-0.019,-0.01,26.17,26.26,26.86,0.002,0,0.015,0.018,0.014,0.001,0.001,0.001,0,0.007,0.006
21,12/2/2021,2:06:42, ,40,26.96,31.28,-0.014,28.38,33.07,34.69,-0.122,125.6,0.002,0.039,0.022,0.317,10.15,11.17,11.14,31.9,0.022,6.16,3.233,3.539,0.003,71.61,0.011,1.791,0.045,4.151,4.076,4.813,0.002,0,4.157,4.678,4.781,0.004,0.739,0.42,-0.007,27.46,32.31
22,12/2/2021,2:09:16, ,41,29.49,33.6,-0.037,34.37,39.82,41.76,-0.066,67.63,0,0.042,0.02,0.088,4.113,4.454,4.446,34.86,0.016,4.167,1.873,2.048,0.002,84.39,0.008,0.738,0.016,1.745,1.718,1.994,0.002,0,3.129,3.622,3.643,-0.002,0.75,0.166,-0.008,32.53,38.59
23,12/2/2021,2:11:50, ,42,25.38,29.77,0.456,0.173,0.206,0.052,-0.03,30.41,0.076,0.084,0.18,4.815,26.9,29.69,29.65,0.093,0,14.7,4.751,5.05,0.001,0.158,0.164,4.325,0.839,11.12,10.94,13.29,-0.002,0.093,0.013,0.019,0.012,-0.002,0.001,0,-0.008,4.259,4.562
24,12/2/2021,2:14:17, ,43,26.04,29.3,-0.03,30.49,35.31,37.67,-0.059,60.35,0.001,0.04,0.019,0.14,5.209,5.683,5.648,32.4,0.016,4.258,2.649,2.902,0.002,75.52,0.008,1.187,0.022,2.163,2.125,2.51,0,-0.002,3.615,4.053,4.177,-0.001,0.665,0.218,-0.004,29.91,34.93
25,12/2/2021,2:16:49, ,44,27.73,31.72,-0.029,31.67,37.21,38.85,-0.041,42.87,0,0.04,0.021,0.159,6.591,7.098,7.075,32.87,0.016,4.554,1.695,1.807,0.002,79.48,0.008,0.96,0.024,2.037,2.006,2.314,-0.001,-0.003,3.518,4.001,4.026,-0.001,0.68,0.3,-0.006,31.32,36.54
26,12/2/2021,2:19:21, ,45,26.42,29.59,-0.027,31.18,35.95,38.41,-0.041,43.05,0,0.04,0.02,0.169,5.926,6.323,6.29,32.24,0.016,4.282,1.779,1.893,0.001,76.91,0.008,1.018,0.025,2.195,2.164,2.428,0.001,-0.002,3.385,3.837,3.87,-0.002,0.653,0.236,-0.007,31.02,35.47
27,12/2/2021,2:21:53, ,46,25.65,29.49,-0.027,29.98,35.25,37.31,-0.035,36.57,0,0.038,0.019,0.158,6.113,6.584,6.57,31.83,0.016,4.28,2.174,2.338,0.002,75.55,0.007,1.267,0.023,2.323,2.305,2.696,0.001,-0.001,3.601,4.037,4.182,-0.003,0.639,0.25,-0.007,29.75,34.22
28,12/2/2021,2:24:25, ,47,32.15,37.24,0.091,0.587,0.696,0.91,-0.456,471.2,0.007,0.027,0.036,1.123,45.8,55.97,56.32,72.92,0.066,25.23,14.2,16.86,0.011,2.765,0.031,10.45,0.098,53.53,54.24,67.57,-0.002,0.022,3.866,4.509,4.505,0.026,0.906,1.848,-0.024,2.06,2.332
29,12/2/2021,2:26:43, ,48,0.033,0.049,-0.002,0.081,0.104,0.009,-0.001,0.547,0.001,0,-0.001,0.002,0.05,0.068,0.067,0.132,0,0.028,0.015,0.02,0,0.057,-0.002,0.018,0.001,0.046,0.045,0.08,0.002,0.004,0.014,0.017,0.016,-0.002,0.001,0.002,-0.003,0.009,0.012
30,12/2/2021,2:29:18, ,49,41.69,48.32,0.17,0.655,0.725,0.873,-0.219,232.6,0.006,0.037,0.071,1.192,69.36,87.96,89.25,142.5,0.081,32.02,13.7,16.13,0.013,3.627,0.052,12.02,0.232,89.46,91.79,112.2,-0.004,0.023,4.727,5.413,5.431,0.013,0.593,2.452,-0.021,1.923,2.1
30 dup,12/2/2021,2:31:36, ,50,41.92,49.4,0.172,0.643,0.709,0.867,-0.222,235.2,0.006,0.038,0.07,1.194,69.66,89.14,90.46,145.9,0.082,32.69,13.78,16.39,0.013,3.736,0.053,12.42,0.233,89.43,91.46,112.2,-0.002,0.019,5.834,6.5,6.536,0.013,0.61,2.46,-0.02,1.896,2.102
3 spike,12/2/2021,2:33:58, ,51,71.95,90.68,0.519,0.523,0.599,1.288,-0.729,751.6,0.084,0.098,0.197,6.145,69.74,94,95.63,95.05,0.096,48.19,22.03,28.9,0.012,3.02,0.167,13.15,0.865,81.59,84.29,106,-0.001,0.109,5.842,6.835,6.81,0.042,1.544,2.444,-0.041,6.224,7.264
Lblank,12/2/2021,2:36:25, ,52,0.067,0.078,0,0.047,0.047,0.004,-0.001,0.74,0,0,0,0.004,0.081,0.098,0.099,0.148,0,0.043,0.023,0.027,0,0.03,-0.001,0.014,0.001,0.097,0.091,0.132,0,0.001,0.009,0.011,0.008,-0.002,0.001,0.002,-0.001,0.01,0.011
CV,12/2/2021,2:38:59, ,53,2.114,1.998,2.037,2.075,2.091,2.059,2.05,2.063,1.785,2.007,1.931,2.022,2.045,2.028,2.014,2.239,2.027,1.938,2.03,2.045,2.114,2.387,2.006,1.98,2.009,0.091,0.059,0.077,2.093,2.021,8.774,8.858,9.068,1.872,1.742,2.076,1.951,1.94,1.968
S IPC,12/2/2021,2:41:32, ,54,0.005,0.003,0.002,0.036,0.039,0.003,0.001,0.021,0.001,0.001,0,0.001,0.005,0.005,0.005,0.033,0.001,0.002,0.002,0.002,0.002,0.025,-0.002,-0.013,-0.01,26.13,26.2,26.89,0.001,0,0.013,0.018,0.016,0.001,0.001,0.001,0.001,0.003,0.005
31,12/2/2021,2:44:07, ,55,48.44,57.24,0.148,0.809,0.915,1.01,-0.218,234.7,0.009,0.039,0.057,1.305,72.88,95.61,97.48,139.9,0.08,35.51,22.63,28.56,0.011,3.428,0.044,12.09,0.157,91.57,94.15,115.4,-0.009,0.028,4.854,5.6,5.639,0.014,0.625,3.635,-0.033,2.919,3.249
32,12/2/2021,2:46:26, ,56,42.3,49.35,0.143,0.4,0.424,0.961,-0.17,181.8,0.006,0.043,0.078,1.16,65.69,82.02,83.07,73.98,0.073,24.23,11.71,13.68,0.009,2.712,0.052,7.653,0.239,46.16,46.87,57.71,-0.004,0.013,4.757,5.431,5.419,0.009,0.523,2.326,-0.019,2.185,2.475
33,12/2/2021,2:48:45, ,57,53.43,62.94,0.178,0.49,0.533,1.094,-0.242,259.5,0.005,0.042,0.087,1.281,80.69,108.1,110.4,103.9,0.101,31.91,12.92,15.16,0.011,3.309,0.049,10.43,0.157,62.59,63.57,78.01,-0.006,0.018,4.296,4.95,4.939,0.015,0.697,3.334,-0.023,2.167,2.458
34,12/2/2021,2:51:05, ,58,75.69,93.38,0.175,0.599,0.68,0.973,-0.329,349.6,0.009,0.041,0.069,1.61,85.76,120.2,123,144.8,0.086,37.61,15.69,19.36,0.014,4.121,0.042,15.71,0.183,89.57,92.17,114.1,-0.01,0.015,6.288,7.337,7.349,0.022,0.866,4.19,-0.019,4.319,4.897
35,12/2/2021,2:53:26, ,59,26.65,30.75,-0.029,32.05,37.16,39.68,-0.07,71.52,0,0.042,0.02,0.212,4.573,5.189,5.166,32.57,0.015,4.161,2.8,3.027,0.002,79.49,0.008,1.031,0.028,2.126,2.078,2.414,0.001,-0.001,3.092,3.483,3.507,-0.001,0.715,0.189,-0.007,31.03,36.33
36,12/2/2021,2:55:58, ,60,0.032,0.053,-0.006,0.074,0.112,0.04,0,0.148,0.001,0,0,0.002,0.022,0.03,0.029,0.106,0,0.011,0.005,0.007,0,0.129,-0.002,0.012,0.001,0.024,0.027,0.036,0.001,0.006,0.015,0.021,0.02,-0.002,0.001,0.001,-0.003,0.029,0.044
37,12/2/2021,2:58:33, ,61,27.45,31.76,-0.017,31.01,36.65,37.7,-0.123,126.4,0.001,0.041,0.02,0.302,7.735,8.463,8.434,32.74,0.02,5.584,3.145,3.455,0.003,79.65,0.009,1.27,0.04,2.915,2.872,3.345,0.002,0.002,3.642,4.162,4.21,0.003,0.794,0.348,-0.008,29.72,34.91
38,12/2/2021,3:01:06, ,62,28.55,32.88,-0.032,33.81,39.58,41.32,-0.062,63.01,0.001,0.042,0.022,0.192,3.548,3.769,3.759,33.32,0.014,3.874,5.662,6.192,0.004,83.83,0.009,0.945,0.022,2.002,2.031,2.263,0.001,-0.004,3.182,3.591,3.615,0,0.749,0.124,-0.01,32.95,38.19
39,12/2/2021,3:03:40, ,63,27.54,31.55,-0.026,32.28,38.41,38.71,-0.099,101.2,0.001,0.04,0.019,0.204,4.538,5.243,5.218,33.75,0.016,4.609,3.107,3.415,0.002,82.02,0.008,1.52,0.026,2.814,2.769,3.184,0.002,-0.002,3.329,3.847,3.883,0,0.783,0.187,-0.01,31.08,36.35
40,12/2/2021,3:06:13, ,64,28.1,32.78,0.002,32.39,38.25,40.14,-0.072,73.99,0.002,0.047,0.024,0.253,5.57,6.028,6.005,33.6,0.018,4.822,14.12,16.41,0.016,81.37,0.028,1.635,0.025,3.308,3.313,3.851,0.002,0.006,2.952,3.431,3.456,0.001,0.724,0.205,-0.022,31.57,37.03
40 dup,12/2/2021,3:08:46, ,65,28.02,32.36,-0.008,32.27,37.54,39.52,-0.071,73.12,0.002,0.046,0.024,0.256,5.516,6.043,6.026,33.93,0.018,4.853,14.11,16.16,0.015,79.69,0.028,1.634,0.025,3.374,3.304,3.896,0.002,0.008,3.025,3.416,3.419,0,0.708,0.204,-0.022,31,37
4 spike,12/2/2021,3:11:21, ,66,96.14,125.3,0.557,0.402,0.503,1.962,-1.022,1054,0.086,0.109,0.217,6.494,90.3,131.5,134.9,75.14,0.153,62.61,26.4,36.46,0.017,4.005,0.18,18.78,0.917,67.04,69.7,87.55,-0.003,0.114,5.052,5.817,5.804,0.061,2.232,3.379,-0.05,6.931,8.098
Lblank,12/2/2021,3:13:51, ,67,0.103,0.139,0,0.099,0.104,0.018,-0.001,1.426,0,0,0,0.005,0.124,0.168,0.166,0.148,0,0.071,0.036,0.047,0,0.063,-0.001,0.013,0,0.082,0.079,0.106,-0.001,-0.001,0.01,0.013,0.006,0,0.003,0.003,-0.001,0.023,0.026
CV,12/2/2021,3:16:24, ,68,2.058,1.978,2.035,2.083,2.087,2.064,2.081,2.143,1.775,2.004,1.932,1.981,2.052,2.021,1.999,2.256,1.944,1.91,2.03,2.032,2.117,2.374,2.001,1.923,1.992,0.093,0.063,0.134,2.036,2.021,8.659,8.737,8.975,1.865,1.707,2.058,1.945,1.966,2.01
S IPC,12/2/2021,3:18:57, ,69,0.006,0.006,0,0.055,0.062,0.003,0.001,0.042,0.001,0.001,0.001,0.001,0.008,0.008,0.008,0.042,0.001,0.003,0.003,0.003,0.002,0.034,-0.002,-0.02,-0.01,25.85,26.04,26.74,0.001,-0.001,0.014,0.017,0.017,0,0.001,0.001,0.001,0.005,0.006
41,12/2/2021,3:21:32, ,70,29.23,33.42,-0.021,33.63,39,41.08,-0.064,66.54,0,0.043,0.022,0.184,4.543,5.045,5.018,34.74,0.019,4.814,5.086,5.553,0.008,82.47,0.013,1.04,0.019,3.047,3.076,3.592,0.002,0.005,3.15,3.655,3.683,-0.001,0.716,0.2,-0.009,33.07,38.05
42,12/2/2021,3:24:07, ,71,29.96,34.61,-0.001,31.52,37.18,38.65,-0.096,99.07,0.001,0.043,0.027,0.287,9.062,9.89,9.876,33.61,0.024,6.643,6.669,7.591,0.007,80.09,0.018,1.481,0.041,3.974,3.992,4.722,0.001,0.004,3.014,3.496,3.529,0.001,0.727,0.376,-0.01,31.14,36.09
43,12/2/2021,3:26:40, ,72,25.51,30.19,0.455,0.175,0.202,0.049,-0.031,30.78,0.077,0.084,0.179,4.829,27.09,30.01,29.97,0.116,0.001,14.86,4.745,5.122,0.001,0.164,0.165,4.101,0.841,10.89,10.83,13.16,-0.001,0.094,0.013,0.016,0.009,-0.003,0.001,0.001,-0.008,4.287,4.611
44,12/2/2021,3:29:08, ,73,31.11,35.31,0.002,32.16,37.75,40.32,-0.076,78.79,0.001,0.046,0.026,0.368,9.439,10.15,10.11,34.13,0.024,6.842,9.056,10.26,0.01,80.85,0.022,2.069,0.036,4.196,4.189,4.97,0,0.004,3.365,3.931,3.953,0,0.72,0.373,-0.015,32.2,36.89
45,12/2/2021,3:31:44, ,74,26.64,30.57,0.041,29.67,34.37,36.15,-0.085,88.45,0.003,0.047,0.029,0.366,8.879,9.796,9.774,30.97,0.021,6.034,21.34,26.25,0.029,74.15,0.034,1.729,0.04,4.186,4.139,4.81,0,0.014,3.022,3.435,3.442,0,0.681,0.308,-0.031,27.96,33.87
