Sample ID,Date,Time,Remarks,Run,Al 396.153,Al_r 396.153,As 188.979,B 249.677,B_r 249.677,Ba 233.527,Be 313.107,Ca_r 317.933,Cd 288.802,Co 228.616,Cr 267.716,Cu 327.393,Fe 238.204,Fe_r 238.204,Fe_r 234.349,K_r 766.490,Li_r 670.784,Mg_r 285.213,Mn 257.610,Mn_r 260.568,Mo 202.031,Na_r 589.592,Ni 231.604,P 178.221,Pb 220.353,S 180.669,S 181.975,S_r 181.975,Sb 206.836,Se 196.026,Si 251.611,Si_r 251.611,Si_r 212.412,Sn 189.927,Sr_r 407.771,Ti 334.940,Tl 190.801,Zn 206.200,Zn_r 206.200
,,, ,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
Lblank,12/2/2021,0:12:19, ,1,0,-0.001,0.002,-0.001,-0.002,0,0,-0.003,0,0,0,0,0.001,0,0.001,-0.005,0,-0.001,0,0,0,-0.002,0,-0.011,-0.001,-0.002,-0.001,-0.008,0.001,0,0.003,0.005,0.006,0,0,0,0,0,0
CCV,12/2/2021,0:14:54, ,2,1.939,1.939,2.036,0.203,0.202,0.2,0.204,2.004,0.342,0.384,0.99,0.392,2.004,1.984,1.988,4.02,1.014,1.99,0.395,0.404,2.018,2.05,0.386,2.067,1.953,0.026,-0.005,-0.009,1.047,1.014,2.054,2.078,2.068,0.788,0.195,2.053,0.996,0.957,0.976
CV,12/2/2021,0:19:37, ,3,2.015,1.949,2.018,1.974,1.989,2.039,2.058,1.974,1.765,1.997,1.928,1.961,2.016,1.985,1.961,2.089,1.955,1.901,1.992,2.004,2.108,2.25,1.99,2.1,1.993,0.064,0.032,0.064,2.086,2,8.737,8.665,8.906,1.848,1.684,2.042,1.949,1.926,1.927
S IPC,12/2/2021,0:22:09, ,4,0.001,0.002,0.003,0.002,0.002,0.001,0.001,-0.004,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.003,0.002,0.002,0.001,0.002,0.003,0.002,-0.001,-0.007,-0.009,26.06,26.06,26.38,0.002,0.001,0.015,0.02,0.017,0,0.002,0.002,0,0.001,0.002
Lblank,12/2/2021,0:35:47, ,5,0,0,0,-0.001,-0.002,0,0,-0.004,0,0,0,0,0.001,0,0,-0.003,0,0,0,0,0,-0.002,0,0,0,0.007,0.002,0.019,0,0.002,0.003,0.005,0.006,-0.001,0,0,0,0,0
CCV,12/2/2021,0:38:21, ,6,2,1.916,2.019,0.202,0.204,0.198,0.201,1.977,0.34,0.381,0.981,0.389,1.991,1.961,1.956,3.954,0.999,1.965,0.392,0.403,2.003,2.019,0.386,1.979,1.944,0.023,0.001,0.016,1.038,1.004,2.03,2.069,2.077,0.778,0.193,2.047,0.988,0.951,0.973
CV,12/2/2021,0:43:03, ,7,2.078,1.983,2.003,1.988,2.024,2.039,2.055,1.987,1.752,1.993,1.929,1.98,2.022,2.008,1.986,2.118,2.021,1.93,1.982,2.029,2.097,2.303,1.985,1.985,1.97,0.067,0.025,0.046,2.061,1.979,8.489,8.778,8.948,1.834,1.741,2.039,1.931,1.958,1.94
S IPC,12/2/2021,0:45:35, ,8,0.002,0.002,0.002,0.002,0.003,0.002,0.002,-0.003,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.005,0.003,0.002,0.002,0.002,0.003,0.003,-0.001,-0.017,-0.008,25.94,25.84,26.27,0.002,0,0.015,0.021,0.017,0.002,0.002,0.002,0.002,0.001,0.003
LFB,12/2/2021,0:48:10, ,9,29.31,30.84,0.511,0.038,0.021,-0.003,-0.031,31.29,0.086,0.09,0.18,4.918,28.04,30.55,30.55,0.016,0.002,15.38,4.851,5.189,0.002,0.001,0.178,5.008,0.974,13.57,13.28,13.68,-0.002,0.101,0.005,0.005,-0.003,0,0,0,-0.005,4.513,4.789
