Sample ID,Date,Time,Remarks,Run,Ag 328.068,Ag 338.289,Al 396.153,Al_r 396.153,As 188.979,B 249.677,B_r 249.677,Ba 233.527,Be 313.107,Ca_r 317.933,Cd 288.802,Co 228.616,Cr 267.716,Cu 327.393,Fe 238.204,Fe_r 238.204,Fe_r 234.349,K_r 766.490,Li_r 670.784,Mg_r 285.213,Mn 257.610,Mn_r 260.568,Mo 202.031,Na_r 589.592,Na 330.237,Ni 231.604,P 177.434,P 178.221,P 213.617,Pb 220.353,S 180.669,S 181.975,S_r 181.975,Sb 206.836,Se 196.026,Si 251.611,Si_r 251.611,Si_r 212.412,Sn 189.927,Sr_r 407.771,Ti 334.940,Tl 190.801,V 292.402,Zn 206.200,Zn_r 206.200,Pd 340.4
,,, ,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
33,11/17/2021,16:50:27, ,79,-0.067,-0.072,56.18,67.81,0.121,0.463,0.495,1.625,-0.702,726.1,0.016,0.039,0.063,2.072,58.87,75.26,76.52,68.64,0.095,38.52,26.95,37.72,0.012,3.515,16.65,0.041,13.92,13.79,22.57,0.25,65.16,64.44,76.81,-0.001,0.041,3.955,4.523,4.503,0.041,1.639,2.631,-0.057,0.109,3.224,3.589,
34,11/17/2021,16:52:52, ,80,-0.065,-0.074,60.85,75.67,0.168,0.508,0.557,1.775,-0.622,644,0.017,0.043,0.07,2.057,63.33,81.8,83.24,61.79,0.096,38.4,33.3,49.02,0.011,4.049,16.65,0.043,14.88,15.05,24.25,0.286,65.85,65.54,80.18,0,0.041,4.436,5.106,5.124,0.036,1.512,2.445,-0.068,0.128,3.351,3.823,
35,11/17/2021,16:55:19, ,81,-0.047,-0.05,35.45,43.26,0.144,0.425,0.464,1.1,-0.553,568.9,0.009,0.026,0.041,0.989,44.71,54.26,54.86,58.27,0.068,27.11,18.78,23.84,0.009,2.673,10.04,0.025,9.528,9.295,13.64,0.148,58.78,57.77,69.25,0.002,0.034,3.413,3.895,3.881,0.031,1.281,1.442,-0.039,0.106,2.031,2.228,
36,11/17/2021,16:57:42, ,82,-0.052,-0.054,44.68,54.95,0.031,25.44,29.76,30.14,-0.26,271.1,0.006,0.048,0.04,0.933,32.23,36.84,37,32.38,0.049,16.3,4.967,5.569,0.006,67.15,110.5,0.028,2.904,2.892,7.065,0.151,8.9,8.125,9.539,-0.003,0.011,5.166,5.749,5.859,0.013,0.961,1.4,-0.013,0.055,25.57,29.18,
37,11/17/2021,17:00:22, ,83,-0.051,-0.052,37,45.24,0.001,27.35,31.97,32.13,-0.346,357.3,0.006,0.047,0.038,0.66,23.92,26.94,26.91,33.19,0.043,14.25,4.139,4.596,0.006,71.62,118.4,0.021,3.13,2.95,5.857,0.108,8.426,7.498,8.655,0,0.013,3.511,3.979,3.978,0.017,1.153,1.091,-0.014,0.041,26.77,30.58,
38,11/17/2021,17:02:58, ,84,-0.047,-0.048,35.66,43.37,0.003,24.6,28.54,29.01,-0.315,325.4,0.005,0.044,0.035,0.663,23.88,27.01,27.04,30.87,0.041,13.52,5.902,6.65,0.004,63.78,108.2,0.022,2.775,2.65,5.62,0.113,8.009,7.171,8.443,0,0.006,4.227,4.637,4.779,0.017,1.012,1.011,-0.016,0.039,24.25,28.02,
39,11/17/2021,17:05:33, ,85,-0.034,-0.034,23.11,26.97,-0.031,27.7,32.77,33.01,-0.167,171.2,0.001,0.039,0.018,0.165,6.827,7.243,7.219,29.95,0.019,5.487,1.438,1.539,0.003,70.72,116.1,0.008,1.864,1.759,2.453,0.043,3.351,2.947,3.429,0,0.005,3.029,3.503,3.517,0.005,0.799,0.312,-0.009,0.011,27.4,30.59,
40,11/17/2021,17:08:07, ,86,-0.053,-0.055,40.21,49.74,0.006,24.55,28.84,29.25,-0.387,399.4,0.007,0.045,0.038,0.838,26.8,30.61,30.75,31.4,0.047,15.66,8.755,10.14,0.006,64.96,108.1,0.023,3.523,3.392,7.113,0.13,9.614,9.156,10.75,0,0.016,3.887,4.469,4.451,0.02,1.154,1.099,-0.018,0.043,24.18,27.95,
41,11/17/2021,17:10:45, ,87,-0.051,-0.054,39.6,49.13,0.003,26.27,30.51,31.01,-0.356,366.7,0.006,0.046,0.036,0.741,25.34,28.8,28.86,32.56,0.045,14.74,9.022,10.42,0.005,68.65,114.3,0.022,3.041,2.939,6.204,0.123,8.638,8.213,9.531,0.001,0.015,4.085,4.525,4.649,0.019,1.143,1.042,-0.022,0.04,25.55,29.78,
42,11/17/2021,17:13:23, ,88,-0.043,-0.045,34.09,41.52,-0.006,29.1,33.99,34.17,-0.212,219.3,0.003,0.047,0.03,0.489,19.21,21.48,21.5,33.45,0.033,10.92,5.539,6.229,0.004,74.55,121.9,0.018,1.996,1.947,4.137,0.087,5.886,5.302,6.164,-0.001,0.007,3.207,3.645,3.662,0.009,0.927,0.83,-0.016,0.029,28.28,32.76,
42 dup,11/17/2021,17:16:03, ,89,-0.044,-0.046,34.44,41.71,-0.007,29.02,34.21,34.02,-0.212,219.4,0.003,0.046,0.03,0.483,19.14,21.48,21.48,33.76,0.034,10.98,5.524,6.241,0.004,75.11,120.4,0.018,1.963,1.933,4.105,0.087,5.872,5.267,6.149,0,0.012,3.268,3.764,3.78,0.009,0.938,0.83,-0.015,0.029,28.06,32.47,
spike 5,11/17/2021,17:18:37, ,90,0.03,0.006, ,211.1,1.111,0.329,0.402,2.592,-0.355,397.2,0.087,0.142,0.341,9.268,132.9,223.5,235.7,110,0.336,122.9,40.95,66.12,0.032,7.524,40.34,0.282,30.02,31.84,73.24,1.071,70.88,71.7,90.09,-0.014,0.099,5.791,6.607,6.59,0.037,1.02,6.766,-0.088,0.685,6.855,8.017,
Lblank,11/17/2021,17:21:01, ,91,0,0,0.168,0.242,-0.001,0.092,0.1,0.015,-0.001,0.537,0,0,0,0.008,0.22,0.301,0.3,0.205,0,0.148,0.058,0.081,0,0.071,0.124,0.001,0.032,0.03,0.077,0.001,0.09,0.095,0.178,-0.001,0.001,0.011,0.012,0.019,0,0.001,0.006,-0.002,0.001,0.021,0.025,
CV,11/17/2021,17:23:38, ,92,0.044,-0.003,2.128,2.049,2.084,2.13,2.156,2.101,2.12,2.176,1.81,2.076,1.96,2.052,2.157,2.1,2.085,2.265,1.986,1.983,2.07,2.084,2.176,2.38,13.4,2.063,1.836,2.1,10.85,2.048,0.108,0.075,0.143,2.097,2.05,8.839,8.87,9.118,1.922,1.816,2.122,1.997,2.021,2.052,2.003,
S IPC,11/17/2021,17:26:09, ,93,0,0,0.013,0.018,-0.001,0.053,0.075,0.004,0.001,0.053,0.001,0.001,0.001,0.002,0.02,0.021,0.021,0.062,0.001,0.01,0.006,0.007,0.002,0.037,0.021,-0.001,0,-0.015,0.015,-0.01,26.94,27.1,28.3,0.001,0.002,0.016,0.02,0.022,0.001,0.002,0.002,-0.001,0.001,0.006,0.008,
43,11/17/2021,17:28:43, ,94,-0.074,-0.076,60.18,77.7,0.053,24.76,29.45,28.97,-0.538,556.5,0.01,0.054,0.056,1.409,45.87,55.69,56.38,36.27,0.079,26.12,11.51,13.81,0.008,68.5,115,0.038,4.794,4.579,10.76,0.225,14.98,13.64,15.96,0.001,0.026,5.067,5.735,5.747,0.033,1.474,1.916,-0.025,0.079,24.98,28.73,
44,11/17/2021,17:31:24, ,95,-0.111,-0.106,70.34,90.7,0.121,0.585,0.704,2.014,-1.588,1629,0.026,0.037,0.064,2.479,61.25,84.41,85.75,88.81,0.139,52.04,25.11,36.27,0.021,4.885,18.23,0.039,16.88,16.44,27.39,0.329,88.85,88.26,110.3,0.008,0.05,4.263,4.926,4.878,0.097,3.276,2.641,-0.065,0.129,4.243,5.05,
45,11/17/2021,17:33:50, ,96,-0.093,-0.093,69.1,87.82,0.136,0.747,0.853,1.718,-1.068,1099,0.021,0.037,0.072,2.199,65.84,87.35,88.75,98.35,0.123,45.8,21.52,28.47,0.018,4.638,18.84,0.044,14.08,13.64,23.48,0.311,91.03,91.07,111.3,0.002,0.04,4.326,4.975,4.944,0.064,2.101,2.721,-0.051,0.131,4.143,4.723,
46,11/17/2021,17:36:17, ,97,-0.125,-0.122,80.06,107.4,0.107,0.449,0.52,2.309,-1.761,1804,0.025,0.04,0.076,2.199,63.23,87.37,88.78,81.03,0.172,56.91,33.89,52.01,0.022,5.276,18.48,0.056,16.37,15.74,25.59,0.332,83.75,80.84,98.73,0.009,0.051,4.93,5.601,5.518,0.105,3.676,2.504,-0.088,0.125,4.325,4.948,
47,11/17/2021,17:38:43, ,98,-0.043,-0.047,48.23,60.11,0.13,25.11,29.85,29.96,-0.274,287.1,0.009,0.051,0.051,1.974,41.12,47.18,48.93,35.85,0.057,16.84,11.72,13.82,0.008,67.89,113.9,0.031,3.301,3.351,12.05,0.35,9.341,8.624,10.3,-0.005,0.016,5.029,5.718,5.767,0.016,0.918,1.826,-0.024,0.078,25.46,29.49,
48,11/17/2021,17:41:19, ,99,-0.027,-0.032,25.05,30.77,0.056,20.02,23.85,24.47,-0.181,187.4,0.008,0.04,0.03,1.1,20.85,23.8,23.84,26.93,0.03,8.502,14.35,16.99,0.005,55,89.33,0.016,3.029,3.067,7.817,0.147,6.903,6.44,7.848,-0.001,0.016,3.413,3.915,3.943,0.009,0.666,0.796,-0.027,0.042,20.7,24.08,
49,11/17/2021,17:43:54, ,100,-0.034,-0.038,30.29,37.38,0.097,16.32,19.56,19.62,-0.288,298.6,0.009,0.037,0.036,1.603,31.74,37.28,37.39,25.61,0.044,12.77,11.42,13.4,0.006,47.63,77.76,0.023,3.006,2.974,9.966,0.216,8.289,7.639,9.337,-0.001,0.02,3.771,4.4,4.416,0.015,0.74,1.296,-0.026,0.061,17.49,20.44,
50,11/17/2021,17:46:29, ,101,-0.015,-0.017,11.53,14.14,-0.012,18.87,21.74,24.66,-0.034,35.09,0.001,0.031,0.011,0.203,3.815,3.959,3.948,20.33,0.009,2.558,3.159,3.369,0.002,49.74,80.75,0.005,0.465,0.48,1.354,0.032,1.498,1.392,1.736,-0.001,0.005,1.842,2.127,2.128,-0.002,0.4,0.148,-0.009,0.006,20.43,22.54,
51,11/17/2021,17:48:58, ,102,-0.019,-0.022,17.32,20.6,0.042,14.02,16.9,17.28,-0.124,129,0.005,0.03,0.023,0.809,18.04,19.91,19.91,20.01,0.023,6.963,8.319,9.457,0.003,41.12,66.12,0.012,1.985,1.943,5.479,0.115,4.549,4.166,5.087,-0.001,0.011,3.46,3.903,3.944,0.005,0.444,0.717,-0.017,0.034,15.61,17.43,
52,11/17/2021,17:51:31, ,103,-0.031,-0.031,16.67,20.87,-0.008,14.53,17.28,17.81,-0.43,439.6,0.005,0.028,0.019,0.465,15.4,17.28,17.16,21.18,0.031,10.24,6.252,7.197,0.006,43.11,70.64,0.012,3.259,3.007,4.932,0.08,6.293,5.765,6.932,0.002,0.018,2.968,3.498,3.521,0.024,1.026,0.553,-0.019,0.025,15.72,17.64,
52 dup,11/17/2021,17:54:04, ,104,-0.031,-0.031,16.6,20.21,-0.012,14.53,17.57,17.76,-0.439,449.3,0.005,0.028,0.019,0.466,15.37,17.26,17.14,21.07,0.03,10.42,6.229,7.174,0.006,43.77,70.63,0.012,3.338,3.031,4.993,0.082,6.079,5.783,6.938,0.002,0.016,3.227,3.739,3.756,0.024,1.047,0.552,-0.018,0.025,15.66,17.83,
spike 6,11/17/2021,17:56:37, ,105,-0.111,-0.121,101,138.2,0.547,21.94,26.24,25.65,-0.612,636.7,0.089,0.13,0.222,6.876,78.75,109.7,112.5,40.02,0.113,50.25,15.69,19.92,0.01,63,110.7,0.186,11.24,11.69,41.98,0.975,31.03,30.48,37.8,-0.005,0.098,5.098,5.93,5.918,0.037,1.68,2.908,-0.035,0.526,25.55,30.92,
Lblank,11/17/2021,17:59:02, ,106,0,0,0.094,0.105,0.001,0.105,0.119,0.027,-0.001,0.647,0,0,0,0.005,0.083,0.101,0.101,0.095,0,0.041,0.017,0.018,0,0.102,0.129,0,0.01,0.006,0.036,0,0.037,0.04,0.083,-0.001,0.003,0.009,0.009,0.015,0,0.002,0.002,-0.001,0,0.033,0.04,
CV,11/17/2021,18:01:38, ,107,0.049,0.002,2.136,2.039,2.11,2.154,2.16,2.13,2.14,2.299,1.85,2.131,2.012,2.079,2.179,2.129,2.111,2.254,1.946,1.986,2.092,2.117,2.216,2.389,13.62,2.108,1.866,2.119,11.03,2.101,0.106,0.07,0.147,2.147,2.078,9.066,9.056,9.218,1.97,1.786,2.155,2.033,2.056,2.113,2.112,
S IPC,11/17/2021,18:04:08, ,108,0,0,0.008,0.009,0,0.047,0.05,0.004,0.001,0.053,0.001,0.001,0.001,0.002,0.009,0.01,0.01,0.051,0.001,0.005,0.003,0.003,0.002,0.037,0.031,-0.001,-0.005,-0.015,0.017,-0.011,27.22,27.21,27.53,0,0,0.014,0.017,0.02,0.001,0.001,0.001,0,0.001,0.006,0.006,
53,11/17/2021,18:06:41, ,109,-0.037,-0.036,21.05,26.16,0.014,14.34,17.42,17.05,-0.478,489.4,0.009,0.029,0.024,0.838,19.27,22.7,22.61,21.82,0.038,12.21,5.049,5.891,0.006,44.36,69.16,0.017,2.6,2.33,5.928,0.098,6.627,6.402,7.828,0,0.011,4.288,5.015,5.121,0.025,1.06,0.745,-0.017,0.039,14.97,17.94,
54,11/17/2021,18:09:18, ,110,-0.034,-0.037,27.07,33.09,0.028,16.31,19.48,20.06,-0.253,263.2,0.007,0.037,0.039,0.841,29.56,34,34.03,25.15,0.039,13.34,6.942,7.912,0.005,46.02,76.01,0.023,4.227,4.209,7.951,0.118,7.224,6.644,8.085,-0.001,0.013,4.504,5.144,5.245,0.014,0.783,1.169,-0.017,0.058,17.57,20.03,
55,11/17/2021,18:11:52, ,111,-0.015,-0.016,10.55,12.98,-0.018,15.19,18.21,20.02,-0.072,74.73,0.002,0.025,0.012,0.14,4.562,5.339,5.338,18.47,0.011,3.659,1.805,1.932,0.002,44.55,67.44,0.005,0.868,0.827,1.425,0.02,2.396,2.217,2.748,0,0.006,2.407,2.735,2.727,0.001,0.436,0.212,-0.009,0.007,16.63,18.64,
56,11/17/2021,18:14:22, ,112,-0.014,-0.016,10.43,12.61,-0.014,15.34,18.06,20.16,-0.042,43.86,0.001,0.026,0.011,0.15,4.522,5.055,5.035,17.94,0.009,2.858,1.797,1.902,0.001,43.74,67.16,0.005,0.982,0.992,1.642,0.042,1.86,1.729,2.081,0.002,0.004,2.313,2.643,2.633,-0.001,0.367,0.189,-0.007,0.007,16.56,18.53,
57,11/17/2021,18:16:52, ,113,-0.014,-0.015,10.92,13.52,-0.012,16.15,19.45,21.49,-0.029,30.38,0.001,0.027,0.011,0.138,4.494,5.098,5.084,18.68,0.009,2.867,1.244,1.323,0.002,45.92,72.21,0.005,1.018,1.028,1.607,0.021,1.565,1.49,1.812,-0.001,0.003,1.966,2.266,2.274,0,0.37,0.201,-0.006,0.008,17.87,19.61,
58,11/17/2021,18:19:22, ,114,-0.005,-0.005,2.112,2.556,0.002,0.137,0.181,0.168,-0.091,93.03,0.002,0.002,0.003,0.117,3.693,3.849,3.836,6.727,0.005,2.478,3.486,3.724,0.001,0.504,1.025,0,1.573,1.528,1.989,0.013,6.131,5.781,7.18,0,0.008,1.283,1.505,1.503,0.002,0.157,0.149,-0.008,0.006,0.229,0.26,
59,11/17/2021,18:21:51, ,115,-0.076,-0.09,75.6,97.94,0.277,0.492,0.53,1.579,-0.402,422.2,0.009,0.072,0.152,1.765,111.5,168.2,174.1,107.9,0.182,63.02,20.83,26.93,0.012,4.196,17.25,0.123,16.76,17.05,24.8,0.307,67.35,67.26,84.84,-0.007,0.03,3.368,3.952,3.917,0.022,0.976,2.615,-0.039,0.317,3.06,3.468,
60,11/17/2021,18:24:18, ,116,-0.053,-0.062,44.57,56.43,0.12,0.233,0.237,1.426,-0.632,652.5,0.014,0.038,0.083,1.586,64.54,84.12,85.5,37.46,0.104,36.71,29.72,42.67,0.012,3.359,13.2,0.053,14.49,14.69,21.78,0.201,27.21,25.87,32.07,0.001,0.047,3.913,4.543,4.524,0.035,1.292,1.918,-0.062,0.136,2.564,2.933,
61,11/17/2021,18:26:45, ,117,-0.051,-0.059,34.83,42.78,0.079,0.231,0.247,1.566,-0.871,892.8,0.015,0.036,0.053,1.503,48.62,60.44,60.96,46.43,0.078,31.35,35.51,53.6,0.013,4.335,11.52,0.02,24.03,24.12,30.53,0.195,30.05,29.45,36.3,0.005,0.055,3.153,3.702,3.645,0.05,1.662,1.253,-0.079,0.111,2.339,2.707,
62,11/17/2021,18:29:11, ,118,-0.018,-0.019,12.82,15.32,0.006,14.74,17.44,18.36,-0.113,116.2,0.003,0.025,0.013,0.422,8.825,9.598,9.544,18.46,0.014,4.695,2.203,2.419,0.003,42.91,65.92,0.008,1.057,1.055,2.909,0.047,2.555,2.299,2.802,0,0.005,2.623,2.996,3.002,0.002,0.464,0.359,-0.007,0.016,15.72,17.95,
62 dup,11/17/2021,18:31:41, ,119,-0.018,-0.019,12.75,15.58,0.006,14.78,17.83,18.69,-0.111,114.7,0.003,0.025,0.013,0.42,8.865,9.531,9.525,18.73,0.015,4.713,2.167,2.349,0.003,43,66.85,0.008,1.085,1.064,2.853,0.048,2.602,2.29,2.749,0.001,0.005,2.73,3.132,3.142,0.001,0.462,0.361,-0.007,0.016,16.16,17.89,
spike 7,11/17/2021,18:34:11, ,120,-0.065,-0.076,59.07,73.38,0.446,30.74,36.64,36.76,-0.179,185.1,0.079,0.127,0.194,5.16,40.47,46.99,47.33,35.33,0.032,24.2,8.22,9.485,0.005,78.38,134.8,0.169,5.786,6.377,28.96,0.835,15.38,15.03,18.41,-0.002,0.094,3.566,4.116,4.126,0.006,0.895,0.712,-0.018,0.48,33.99,38.9,
Lblank,11/17/2021,18:36:46, ,121,0,0,0.062,0.081,-0.001,0.114,0.137,0.046,0,0.268,0,0,0,0.005,0.053,0.061,0.063,0.098,0,0.028,0.011,0.013,0,0.13,0.18,0.001,0.006,-0.001,0.035,0,0.024,0.035,0.086,-0.001,-0.002,0.008,0.007,0.014,-0.001,0.001,0.001,-0.002,0,0.045,0.053,
CV,11/17/2021,18:39:23, ,122,0.05,0.005,2.119,1.996,2.078,2.117,2.108,2.104,2.097,2.094,1.813,2.083,1.972,2.057,2.124,2.043,2.031,2.22,1.953,1.956,2.065,2.058,2.172,2.362,13.33,2.057,1.773,2.051,10.87,2.041,0.093,0.051,0.134,2.102,2.038,8.851,8.803,9.163,1.92,1.797,2.132,2.018,2.034,2.061,2.016,
S IPC,11/17/2021,18:41:55, ,123,0,0,0.005,0.007,0.001,0.041,0.043,0.004,0.001,0.026,0.001,0.001,0.001,0.001,0.006,0.007,0.008,0.046,0.001,0.003,0.002,0.003,0.001,0.035,0.034,-0.001,-0.003,-0.021,0.006,-0.01,27.17,27,27.59,0.001,0.002,0.013,0.014,0.017,0.002,0.001,0.001,0,0.001,0.005,0.006,
63,11/17/2021,18:44:29, ,124,-0.034,-0.034,19.96,23.7,0.019,13.56,16.16,16.62,-0.414,424.5,0.008,0.028,0.023,0.763,18.57,20.75,20.66,20.01,0.033,10.89,4.686,5.292,0.005,40.71,67.39,0.016,2.32,2.134,5.491,0.092,6.357,5.828,7.03,0.002,0.009,3.856,4.364,4.455,0.021,0.931,0.703,-0.015,0.036,15,16.73,
64,11/17/2021,18:47:03, ,125,-0.035,-0.038,30.43,37.18,0.097,16.52,19.56,19.92,-0.278,288.4,0.01,0.04,0.037,1.706,33.27,38.04,38.22,24.93,0.043,14.22,8.17,9.327,0.007,47.23,78,0.025,2.665,2.675,10.16,0.19,8.666,7.955,9.459,-0.001,0.015,4.586,5.18,5.341,0.016,0.841,1.34,-0.021,0.066,18.19,20.6,
65,11/17/2021,18:49:39, ,126,-0.018,-0.02,14.47,17.76,0.021,14.31,17.06,18.09,-0.115,119.4,0.003,0.026,0.018,0.538,12.81,14.08,14.04,18.6,0.017,5.984,4.662,5.156,0.003,41.58,64.53,0.009,1.517,1.53,3.89,0.066,3.277,3.03,3.723,0.001,0.009,2.734,3.193,3.215,0.004,0.484,0.52,-0.016,0.024,15.51,17.83,
66,11/17/2021,18:52:10, ,127,-0.049,-0.05,26.55,32.66,0.074,11.75,13.7,13.82,-0.852,872.4,0.018,0.039,0.038,1.381,30.15,35.23,35.19,21.99,0.057,19.42,21.83,28.36,0.012,37.29,64.77,0.032,6.852,6.507,12.69,0.168,15.6,13.98,16.96,0.004,0.033,3.135,3.706,3.657,0.047,1.691,1.238,-0.051,0.068,13.44,15.36,
67,11/17/2021,18:54:49, ,128,-0.017,-0.018,10.21,12.45,0.041,0.156,0.183,0.427,-0.277,285.2,0.005,0.008,0.015,0.675,17.06,18.78,18.73,11.29,0.025,8.373,5.847,6.524,0.005,1.052,4.133,0.007,3.101,3.016,5.987,0.148,12.04,11.7,14.54,0.001,0.013,2.42,2.796,2.792,0.013,0.489,0.721,-0.017,0.034,0.715,0.793,
68,11/17/2021,18:57:22, ,129,-0.024,-0.027,16.75,20.63,0.071,0.122,0.121,0.725,-0.387,398.8,0.007,0.017,0.038,1.233,32.47,37.42,37.44,11.02,0.032,18.04,13.88,16.43,0.008,1.851,6.859,0.027,5.178,5.16,10.69,0.108,8.03,7.557,9.187,0.002,0.023,2.923,3.382,3.385,0.021,0.719,1.115,-0.029,0.076,1.15,1.288,
69,11/17/2021,18:59:55, ,130,-0.043,-0.047,29.17,36.9,0.153,0.096,0.092,1.51,-0.784,806.7,0.013,0.027,0.042,2.251,43.96,57.03,57.42,22.56,0.069,29.2,27.38,37.78,0.012,2.906,12.96,0.028,10.46,10.22,20.17,0.225,18.81,16.89,20.35,0.002,0.038,4.259,4.971,4.956,0.045,1.488,2.121,-0.061,0.103,2.479,2.844,
70,11/17/2021,19:02:34, ,131,-0.022,-0.025,21.15,25.4,0.065,14.89,17.71,19.49,-0.091,96.48,0.004,0.033,0.027,0.934,19.4,21.49,21.44,21.02,0.037,11.61,8.152,9.085,0.004,43.03,68.19,0.027,2.43,2.529,6.679,0.114,6.107,5.818,7.089,0,0.011,2.629,3.036,3.042,0.004,0.439,0.765,-0.017,0.028,16.14,18.2,
71,11/17/2021,19:05:09, ,132,-0.021,-0.023,18.14,21.7,0.037,16.37,19.6,21.5,-0.098,103,0.003,0.033,0.023,0.579,13.17,14.83,14.82,20.83,0.028,8.479,10.45,11.95,0.006,46.14,71.7,0.024,1.614,1.625,4.168,0.061,4.186,3.928,4.775,0,0.012,2.42,2.828,2.839,0.004,0.46,0.556,-0.018,0.019,17.6,20.88,
72,11/17/2021,19:07:43, ,133,-0.024,-0.08,48.66,63.43,0.523,12.88,15.28,18.3,-1.172,1204,0.055,0.116,0.126,2.927,52.56,67.42,68.07,30.68,0.127,39.78,70.16,268.7,0.135,42.29,78.16,0.362,17.59,17.56,30.81,0.245,35.8,34,42.93,0.006,0.125,3.188,3.687,3.624,0.07,1.822,1.99,-0.379,0.135,18.66,21.94,
72 dup,11/17/2021,19:10:14, ,134,-0.025,-0.081,49.58,63.07,0.547,13.07,15.23,18.37,-1.183,1216,0.055,0.117,0.13,2.99,52.82,67.84,68.67,30.55,0.127,39.84,70.4,270.2,0.137,41.98,77.44,0.367,18.24,17.93,31.55,0.248,36.94,34.61,43.17,0.008,0.125,3.414,3.858,3.757,0.071,1.82,2.014,-0.376,0.137,18.72,22.32,
spike 8,11/17/2021,19:12:45, ,135,-0.059,-0.07,55.01,67.32,0.454,23.04,26.67,27.98,-0.224,231.5,0.079,0.119,0.187,5.232,44.36,51.53,51.98,27.6,0.037,24.8,9.782,11.27,0.005,60.38,106.1,0.164,5.718,6.196,29.22,0.835,17.82,17.42,21.4,0,0.094,4.087,4.822,4.83,0.011,0.803,0.909,-0.019,0.471,26.97,30.69,
Lblank,11/17/2021,19:15:21, ,136,0,0,0.064,0.083,0,0.096,0.111,0.032,-0.001,0.529,0,0,0,0.005,0.061,0.075,0.075,0.075,0,0.034,0.068,0.074,-0.001,0.113,0.125,0,0.017,0.004,0.023,0.001,0.039,0.039,0.072,-0.001,0.001,0.007,0.009,0.012,0,0.001,0.001,-0.001,0,0.036,0.045,
CV,11/17/2021,19:17:57, ,137,0.046,-0.002,2.111,2.058,2.089,2.115,2.166,2.099,2.134,2.131,1.833,2.118,2.007,2.063,2.155,2.073,2.058,2.274,2.076,1.997,2.072,2.103,2.198,2.451,13.48,2.086,1.757,2.02,10.96,2.074,0.1,0.055,0.15,2.136,2.044,8.911,8.979,9.162,1.941,1.811,2.134,2.028,2.039,2.099,1.998,
S IPC,11/17/2021,19:20:29, ,138,0,0,0.006,0.008,0,0.038,0.042,0.004,0.001,0.048,0.001,0.001,0.001,0.002,0.007,0.009,0.009,0.043,0.002,0.004,0.007,0.008,0.002,0.035,0.044,-0.001,-0.004,-0.015,0.006,-0.01,26.85,26.87,27.46,0.002,0.001,0.014,0.018,0.022,0.001,0.002,0.002,0,0.001,0.006,0.007,
73,11/17/2021,19:23:03, ,139,-0.017,-0.02,13.85,16.84,0.013,17.21,20.76,22.39,-0.061,63.97,0.003,0.031,0.016,0.332,7.277,7.763,7.735,19.47,0.017,5.166,8.246,9.274,0.006,48.39,74.76,0.015,0.997,1.009,2.485,0.035,2.761,2.601,3.23,0.001,0.012,1.428,1.642,1.642,0.001,0.425,0.301,-0.017,0.011,18.6,20.9,
74,11/17/2021,19:25:34, ,140,-0.015,-0.018,12.44,15.37,0.008,17.18,19.97,22.02,-0.054,56.73,0.001,0.029,0.014,0.268,6.802,7.233,7.206,20.26,0.016,4.729,5.39,5.919,0.003,46.53,74.31,0.011,1.276,1.297,2.534,0.033,2.971,2.814,3.437,0.001,0.008,1.633,1.889,1.882,0,0.391,0.279,-0.015,0.01,18.2,20.39,
75,11/17/2021,19:28:08, ,141,-0.015,-0.02,12.85,15.64,0.004,18.11,21.56,23.77,-0.076,78.32,0.003,0.033,0.016,0.185,5.168,5.482,5.477,20.46,0.013,4.089,14.03,16.25,0.01,49.73,78.58,0.027,1.275,1.274,2.097,0.019,2.736,2.524,2.975,0,0.015,1.158,1.351,1.353,0.001,0.445,0.214,-0.03,0.009,19.49,21.92,
76,11/17/2021,19:30:40, ,142,-0.069,-0.084,78.11,101.9,0.428,0.367,0.405,1.478,-0.282,307.6,0.008,0.049,0.117,2.814,106.1,151.2,156.3,51.9,0.217,66.63,25.64,33.51,0.022,3.638,20.76,0.103,10.96,11.49,24.72,0.291,39.94,40,50.36,-0.006,0.029,3.857,4.541,4.546,0.022,0.582,3.829,-0.048,0.185,2.881,3.237,
77,11/17/2021,19:33:07, ,143,-0.072,-0.08,73.05,93.35,0.143,12.62,15.06,16.3,-0.393,412.5,0.018,0.057,0.085,2.606,72.23,92.4,94.22,31.1,0.103,35.4,17.9,22.48,0.008,41.12,76.31,0.058,5.971,6.099,17.87,0.375,18.61,17.78,22.02,-0.005,0.029,4.738,5.566,5.587,0.021,1.167,2.363,-0.033,0.119,16.95,18.82,
78,11/17/2021,19:35:52, ,144,-0.04,-0.042,32.41,40.04,0.031,14.6,17.23,18.04,-0.318,329.2,0.007,0.035,0.035,0.864,31.69,36.62,36.72,23.38,0.046,16.1,6.999,7.965,0.005,42.74,73.77,0.023,3.248,3.197,7.171,0.136,8.552,7.992,9.754,0,0.018,3.272,3.754,3.736,0.016,0.9,1.152,-0.018,0.05,16.41,18.91,
