Sample ID,Date,Time,Remarks,Run,Al 396.2,Al_r 396.2,As 188.9,B 249.6,B_r 249.6,Ba 233.5,Be 313.1,Ca_r 317.9,Cd 228.8,Co 228.6,Cr 267.7,Cu 327.3,Fe 238.2,Fe_r 238.2,Fe_r 234.3,K_r 766.5,Li_r 670.8,Mg_r 285.2,Mn 257.6,Mn_r 260.5,Mo 202.0,Na_r 589.6,Ni 231.6,P 178.2,Pb 220.3,S 181.9,S_r 181.9,S 180.6,Sb 206.8,Se 196.0,Si 251.6,Si_r 251.6,Si_r 212.4,Sn 189.9,Sr_r 407.7,Ti 334.9,Tl 190.8,V 292.4,Zn 206.2,Zn_r 206.2
Calib Blank 1,7/14/2021,13:18:24, ,11,[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00]
SedSTD_1,7/14/2021,13:21:52, ,12,,,[10],[1],[1],[1],,[10],[2],,,[2],,,,,,,[2],[2],,,,,,,,,[5],[5],,,,,,,,,,
SedSTD_2,7/14/2021,13:24:04, ,13,,,,,,,,,,,,,,,,[20],[5],,,,[10],[10],,,,,,,,,,,,,[1],[10],,,,
SedSTD_3,7/14/2021,13:26:24, ,14,,,,,,,,,,[2],,,,,,,,,,,,,,[10],,,,,,,,,,,,,,[2],,
SedSTD_4,7/14/2021,13:28:30, ,15,[10],[10],,,,,,,,,[5],,,,,,,,,,,,,,,,,,,,[10],[10],[10],[4],,,,,[5],[5]
SedSTD_5,7/14/2021,13:30:49, ,16,,,,,,,[1],,,,,,[10],[10],[10],,,[10],,,,,[2],,[10],,,,,,,,,,,,[5],,,
SedSTD_S,7/14/2021,13:34:45, ,17,,,,,,,,,,,,,,,,,,,,,,,,,,[40],[40],[40],,,,,,,,,,,,
200.7 CCV,7/14/2021,13:41:41, ,18,2.055,2.053,1.995,0.1895,0.191,0.1903,0.2053,1.94,0.3978,0.395,0.9966,0.3858,2.059,2.051,2.045,4.107,1.021,2.066,0.3886,0.3852,2.076,2.093,0.4115,2.082,2.017,-0.00823,-0.002633,0.05757,0.9979,0.9997,2.082,2.071,2.117,0.8006,0.1988,2.093,1.026,0.3673,1.011,0.9862
200.7 CV,7/14/2021,13:45:04, ,19,2.02,2.023,1.904,1.871,1.864,1.881,2.038,1.872,1.851,1.965,1.93,1.86,2.036,2.048,2.068,1.996,1.994,1.991,1.87,1.885,2.094,1.986,2.052,2.041,2.059,0.01352,-0.01104,0.04196,1.908,1.918,8.778,8.81,8.827,1.977,1.706,2.029,2.087,1.85,1.999,1.941
Sulfur IPC,7/14/2021,13:48:39, ,20,0.037,0.04,0.006,0.003623,0.004947,0.001848,0.001562,0.007629,0.00167,0.001509,0.001962,0.001561,0.003796,0.00472,0.005229,0.004559,0.003025,0.003337,0.001566,0.00212,0.002413,0.06141,0.001775,-0.02238,0.002972,20.28,20.27,20.44,0.001618,-0.001599,0.35,0.322,0.3207,0.002524,0.002154,0.002525,0.000646,0.00143,0.002696,0.002904
Lblank,7/14/2021,13:52:09, ,21,0.001,-0.001,0.004,-0.003231,-0.003837,0.000271,0.000289,-0.001638,0.000294,0.000157,0.000321,0.000023,0.000323,0.000179,0.001923,-0.004347,0.000586,0.000171,0.000177,0.000208,0.000605,-0.000203,0.00031,-0.007873,-0.000035,0.02006,0.0398,0.02009,-0.000251,0.002009,0.005961,0.00972,0.008311,0.000494,0.000317,0.000303,0.000489,0.000291,0.000406,-0.000065
LFblank,7/14/2021,13:55:39, ,22,28.98,29.18,0.48,-0.002709,-0.004316,0.001583,-0.000074,28.09,0.09471,0.09028,0.1828,4.618,28.9,30.62,30.67,-0.01008,-0.000016,15.63,4.514,4.619,-0.002158,-0.004145,0.1925,5.199,1.011,10.13,10.2,11.02,0.000606,0.08697,-0.003818,-0.003007,0.003778,-0.0276,0.002136,-0.002563,-0.02243,0.459,4.666,4.643
1,7/14/2021,13:59:06, ,23,30.27,31.1,0.087,0.776,0.8298,1.834,0.001803,226.4,0.009865,0.01643,0.04314,0.8906,30.71,34.41,34.57,10.89,0.03007,13.36,2.947,3.141,0.001045,18.54,0.03103,3.772,0.1481,5.823,6.187,10.37,0.000341,-0.01154,8.531,9.154,9.335,-0.04126,0.5038,1.247,-0.02242,0.05709,2.765,2.856
2,7/14/2021,14:02:36, ,24, ,181.3,0.447,0.6343,0.6807,3.223,0.01018,332.8,0.03526,0.07361,0.1498,4.895,117.6,171.8,177.6,35.21,0.1682,61.39,12.11,14.12,-0.00026,19.11,0.121,10.81,0.7686,18.59,20.05,25.53,-0.002395,0.00135,18.79,20.38,20.73,-0.04198,0.9629,5.382,-0.09089,0.2669,7.526,8.274
3,7/14/2021,14:06:00, ,25,28.38,30.23,0.074,0.716,0.7625,1.934,0.001674,109.7,0.006628,0.01477,0.03467,0.7249,29.26,32.24,32.38,10.27,0.02791,11.29,2.916,3.086,0.000845,18.64,0.02551,3.12,0.1345,3.576,3.792,5.986,0.00164,-0.009903,7.081,7.534,7.55,-0.03713,0.2724,1.194,-0.02436,0.0549,2.574,2.658
4,7/14/2021,14:09:30, ,26,22.2,22.7,0.059,0.7438,0.7749,1.653,0.001274,46.22,0.005099,0.0112,0.02628,0.6477,21.99,23.58,23.6,8.519,0.02095,8.051,3.036,3.192,0.001338,18.82,0.02018,1.811,0.1159,2.687,2.834,3.816,0.000695,-0.00928,8.099,8.49,8.479,-0.03228,0.1458,0.7925,-0.02167,0.03606,2.493,2.522
5,7/14/2021,14:12:56, ,27,14.36,14.87,0.039,0.6569,0.6947,1.46,0.000781,100.4,0.005079,0.009646,0.02027,0.4184,14.7,15.73,15.71,7.739,0.01386,6.103,3.408,3.567,0.000991,17.97,0.01556,2.013,0.08767,3.158,3.331,5.402,0.001997,-0.0124,6.283,6.552,6.56,-0.03583,0.2241,0.5818,-0.0234,0.02599,2.055,2.079
6,7/14/2021,14:16:17, ,28,48.38,51.34,0.048,48.5,52.68,51.92,0.000506,44.1,0.001302,0.02503,0.03767,0.1756,4.454,4.753,4.782,46.17,0.01146,5.191,4.123,4.435,0.00075,122.6,0.02652,0.9236,0.01455,1.243,1.282,2.155,0.00811,-0.01992,7.17,7.637,7.67,-0.02978,0.8634,0.1182,-0.02146,0.007046,46.79,53.47
7,7/14/2021,14:19:50, ,29,60.58,64.49,0.16,38.12,41.05,42.11,0.002859,95.33,0.007713,0.03939,0.06371,1.13,29.99,34.06,34.2,41.85,0.05027,17.84,15.68,18.19,0.008532,99.49,0.06089,4.204,0.1299,5.099,5.402,7.116,0.006198,-0.01003,10.25,10.86,11.04,-0.03287,0.8106,1.44,-0.09697,0.05517,36.95,42.53
8,7/14/2021,14:23:25, ,30,51.83,55.11,0.112,43.73,47.23,46.64,0.001397,136.6,0.005012,0.03045,0.0501,0.4668,15.67,17.44,17.48,44.68,0.0281,10.96,14.12,16.3,0.008455,113.1,0.04622,2.89,0.05744,3.517,3.711,6.177,0.00694,-0.008239,9.896,10.56,10.64,-0.03585,0.9257,0.6536,-0.08437,0.02742,41.16,47.48
9,7/14/2021,14:27:01, ,31,58.45,61.82,0.137,40.45,43.13,43.06,0.002515,97.45,0.004855,0.03383,0.05746,0.9324,26.03,29.7,29.81,42.67,0.05204,17.88,10.74,12.12,0.004231,104.4,0.05178,2.836,0.1128,4.51,4.672,6.608,0.00264,-0.01034,10.37,10.99,11.15,-0.03387,0.832,1.273,-0.06804,0.04513,37.44,43.21
10,7/14/2021,14:30:36, ,32,43.77,47.41,0.191,0.4624,0.5518,1.333,0.004071,145.6,0.007682,0.02709,0.06021,1.5,44.13,47.13,50.41,11.2,0.07346,39.4,11.83,13.2,0.01258,15.76,0.06073,4.327,0.1997,6.474,6.711,9.808,0.000157,-0.008915,8.182,8.584,8.797,-0.03714,0.2592,2.229,-0.07973,0.08108,1.75,1.843
11,7/14/2021,14:34:06, ,33,43.96,47.43,0.196,0.3979,0.4406,1.298,0.004059,146.7,0.007783,0.02744,0.05941,1.503,43.65,47.66,51.14,11.54,0.07627,39.53,11.88,13.23,0.01292,15.58,0.06084,4.424,0.1998,6.555,6.885,9.968,-0.000802,-0.007553,8.784,9.419,9.56,-0.03651,0.2614,2.215,-0.08145,0.08076,1.701,1.801
12,7/14/2021,14:37:36, ,34,39.5,43.25,0.471,0.6761,0.7374,1.406,0.000712,124.4,0.08951,0.09056,0.1883,4.764,38.84,43.56,43.77,7.429,0.01378,20.95,7.274,7.802,-0.001142,17.71,0.1861,6.863,0.9533,12.23,13.58,15.14,0.003285,0.06598,6.074,6.562,6.595,-0.03687,0.2245,0.5543,-0.04379,0.4532,6.037,6.33
200.7 CV,7/14/2021,14:41:00, ,35,2.036,2.128,1.885,1.905,1.932,1.888,2.018,2.102,1.845,1.974,1.944,1.846,2.09,2.139,2.157,2.036,1.982,2.046,1.881,1.91,2.099,2.076,2.048,2.209,2.05,0.04042,0.0494,0.07673,1.879,1.895,8.665,8.846,8.924,1.979,1.686,2.021,2.055,1.848,2.04,1.945
Sulfur IPC,7/14/2021,14:44:34, ,36,0.056,0.061,0.004,0.0488,0.0521,0.01079,0.001574,0.07139,0.001373,0.001232,0.001471,0.0026,0.02196,0.02612,0.02643,0.01109,0.002735,0.01618,0.00662,0.007666,0.001964,0.09073,0.001541,-0.01255,0.002472,20.24,20.67,20.75,0.001569,0.00106,0.3491,0.3342,0.3341,0.001692,0.00248,0.002648,-0.00228,0.001438,0.01155,0.01078
Lblank,7/14/2021,14:47:38, ,37,0.015,0.017,0.002,0.02039,0.02273,0.006887,0.000013,0.04055,-0.000061,-0.000161,-0.00009,0.000315,0.01164,0.01394,0.0135,0.01283,-0.000026,0.008371,0.0033,0.004019,-0.000101,0.02545,0.000074,-0.01133,0.00003,0.01035,0.03878,0.01901,-0.001745,-0.003529,0.004935,0.008954,0.009106,-0.000151,0.000145,0.000297,-0.002935,0.00002,0.006316,0.006888
13,7/14/2021,14:51:08, ,38,36.55,40.34,0.197,0.6857,0.7325,1.992,0.002494,505,0.01872,0.02721,0.0478,1.715,39.32,45.18,45.5,12.23,0.03931,17.17,14.6,17.15,0.008473,18.76,0.03908,6.926,0.2368,11.55,12.55,21.88,0.002576,-0.001133,8.616,9.306,9.378,-0.04652,0.8772,1.66,-0.08984,0.08651,3.591,3.713
14,7/14/2021,14:54:39, ,39,36.52,39.78,0.196,0.8318,0.8805,2.158,0.002246,623.1,0.01846,0.02655,0.0455,1.598,38.64,44.35,44.67,12.81,0.03853,17.7,14.32,16.65,0.007018,20.01,0.03863,7.004,0.2238,12.85,13.88,25.09,0.000935,-0.003516,8.437,9.046,9.125,-0.04788,1.073,1.657,-0.08833,0.08485,3.528,3.716
15,7/14/2021,14:58:07, ,40,9.926,10.22,0.039,0.6161,0.6514,1.345,0.00054,59.35,0.003766,0.00698,0.01853,0.4416,12.36,12.98,12.97,6.313,0.009837,4.119,2.964,3.059,0.003098,17.29,0.01177,2.403,0.06947,2.856,3.147,4.269,0.001437,-0.01127,5.564,5.763,5.784,-0.03361,0.132,0.4981,-0.02042,0.02453,1.921,1.891
16,7/14/2021,15:01:27, ,41,46.04,48.49,0.065,39.34,42.22,43.48,0.001033,56.91,0.003853,0.02595,0.04303,0.5591,17.36,19.06,19.06,41.11,0.02109,8.627,3.375,3.611,0.000539,102.6,0.02968,2.527,0.08742,2.949,3.188,4.298,0.004999,-0.02031,8.173,8.635,8.697,-0.03109,0.7494,0.6527,-0.0186,0.03299,38.52,43.51
17,7/14/2021,15:05:00, ,42,62.21,69.93,0.164,40.38,43.99,42.85,0.002004,287.4,0.01395,0.03712,0.05988,1.343,33.5,38.39,38.59,46.51,0.03787,15.94,10.06,11.42,0.00308,105.9,0.0443,5.399,0.1998,8.634,9.384,14.78,0.004289,-0.009838,11.55,12.44,12.56,-0.04018,1.127,1.513,-0.05982,0.06968,38.19,43.35
18,7/14/2021,15:08:34, ,43,29.05,30.59,0.13,0.7121,0.8183,1.515,0.001825,141.7,0.008889,0.02026,0.03982,1.268,36.79,41.22,41.51,10.66,0.0308,11.54,8.184,8.878,0.01043,17.36,0.02942,5.637,0.1953,8.977,9.931,12.24,0.002486,-0.009904,8.025,8.591,8.722,-0.03689,0.2848,1.433,-0.05173,0.07925,2.692,2.719
19,7/14/2021,15:12:03, ,44,19.27,20.45,0.09,0.6478,0.6992,1.522,0.001195,95.57,0.005966,0.013,0.03033,0.8506,25.72,27.93,27.96,8.535,0.02029,7.793,4.868,5.13,0.006075,17.06,0.01917,4.146,0.1338,6.231,6.883,8.571,0.002102,-0.007963,6.854,7.248,7.387,-0.035,0.1902,1.011,-0.033,0.05184,2.148,2.233
20,7/14/2021,15:15:25, ,45,51.54,53.96,0.098,40.29,42.36,44.28,0.001371,78.1,0.004914,0.02761,0.04861,0.8215,24.48,26.91,26.92,41.98,0.02506,9.363,3.534,3.731,0.00094,101.6,0.0307,3.668,0.1242,4.862,5.331,6.714,0.005799,-0.01583,10.2,10.81,11.02,-0.03318,0.7842,0.9272,-0.02543,0.04941,39.01,43.65
21,7/14/2021,15:18:57, ,46,68.16,76.59,0.182,39.94,43.18,42.64,0.002651,249.8,0.01087,0.03734,0.06804,1.672,45.07,52.34,52.63,48.92,0.04856,18.01,6.572,7.137,0.005186,104.3,0.04564,6.424,0.241,9.944,10.95,15.46,0.003923,-0.01282,11.55,12.27,12.38,-0.03844,1.038,2.035,-0.04246,0.1004,38.2,43.12
22,7/14/2021,15:22:30, ,47,50.66,53.24,0.099,42.85,45.19,45.39,0.001387,97.15,0.004831,0.02797,0.04673,0.7888,23.41,25.75,25.77,45.42,0.0261,10.19,3.355,3.543,0.001715,109.6,0.03186,3.064,0.1215,4.609,4.896,6.842,0.004687,-0.01483,9.704,10.13,10.37,-0.03326,0.8498,0.9833,-0.02048,0.04728,40.27,45.77
23,7/14/2021,15:26:05, ,48,51.31,53.77,0.094,43.16,45.75,45.93,0.0014,96.74,0.004824,0.02849,0.0474,0.7808,23.58,25.9,25.95,45.58,0.02716,10.26,3.368,3.574,0.002164,111.3,0.03201,3.11,0.1233,4.625,4.951,6.909,0.006695,-0.01176,10.43,10.84,10.95,-0.0343,0.8621,0.9833,-0.01999,0.04786,41.07,45.8
24,7/14/2021,15:29:38, ,49,85.39,97.52,0.575,38.85,42.48,41.28,0.001858,300,0.09683,0.1094,0.2132,5.646,52.88,63.94,64.67,45.8,0.03698,29.99,12.91,15.18,0.001133,101.8,0.1957,10.31,0.9874,17.25,19.38,23.65,0.007473,0.06989,11.26,12.06,12.31,-0.03946,1.098,1.449,-0.07505,0.4754,39.62,45.51
200.7 CV,7/14/2021,15:33:14, ,50,2.109,2.181,1.884,2.149,2.174,1.974,2.038,2.457,1.836,1.946,1.945,1.852,2.137,2.155,2.17,2.108,1.995,2.022,1.899,1.879,2.074,2.216,2.06,2.322,2.022,0.05533,0.05473,0.09139,1.874,1.895,8.687,8.692,8.786,1.959,1.703,2.029,2.049,1.856,2.063,2.016
Sulfur IPC,7/14/2021,15:36:43, ,51,0.066,0.075,0.003,0.2074,0.2203,0.02379,0.001497,0.1342,0.001415,0.001101,0.001552,0.003204,0.0269,0.03137,0.03237,0.04892,0.002485,0.01393,0.006478,0.008049,0.002031,0.1404,0.001582,-0.02187,0.00242,20.57,21.01,21.4,0.001528,-0.000234,0.3312,0.305,0.3076,0.002117,0.00251,0.00262,-0.000393,0.001499,0.02574,0.02871
Lblank,7/14/2021,15:39:48, ,52,0.018,0.018,0.001,0.1382,0.1468,0.01603,-0.000034,0.05362,0.00003,-0.000082,0.000015,0.0002,0.01142,0.01205,0.0127,0.02297,-0.000076,0.004385,0.001944,0.002171,-0.000014,0.05891,0.000147,-0.0139,-0.000005,0.009122,0.02806,0.01851,-0.000935,-0.003311,0.001345,0.006432,0.00234,0.00012,0.000281,0.000237,-0.001972,0.000111,0.01559,0.01508
25,7/14/2021,15:43:18, ,53,13.4,14.41,0.04,0.7847,0.8369,1.531,0.000944,231.9,0.006942,0.01156,0.02397,0.3808,15.1,16.24,16.26,7.752,0.01394,6.664,5.056,5.385,0.001658,17.68,0.01818,4.351,0.09899,5.796,6.391,10.73,0.001793,-0.009244,6.131,6.41,6.567,-0.04139,0.4004,0.6458,-0.03434,0.03173,2.048,2.126
26,7/14/2021,15:46:39, ,54,23.11,24.04,0.07,0.7646,0.792,1.667,0.001509,376.1,0.009943,0.01623,0.03418,0.605,24.91,27.34,27.45,10.21,0.02444,11.1,6.26,6.777,0.00134,17.31,0.02756,5.971,0.1053,9.284,9.973,17.69,0.001338,-0.004038,6.283,6.602,6.735,-0.04554,0.6373,1.064,-0.04145,0.05219,2.292,2.375
27,7/14/2021,15:50:08, ,55,48.55,53.41,0.088,44.84,48.43,46.79,0.001178,268,0.01115,0.02976,0.0418,0.5057,16.11,17.68,17.77,46.65,0.02093,9.904,2.521,2.676,-0.000854,115.5,0.03584,3.56,0.07237,5.875,6.469,11.58,0.009079,-0.01575,7.88,8.361,8.591,-0.04,1.13,0.6233,-0.01518,0.03776,41.83,47.92
28,7/14/2021,15:53:43, ,56,10.76,11.41,0.036,0.8138,0.9007,1.528,0.000587,246.1,0.007673,0.01099,0.01858,0.3505,11.14,11.86,11.91,6.657,0.01045,5.632,5.923,6.323,0.001218,17.41,0.01667,3.743,0.08269,5.287,5.781,10.54,0.001879,-0.01061,5.364,5.593,5.758,-0.0421,0.4086,0.4356,-0.03782,0.02352,2.1,2.184
29,7/14/2021,15:57:03, ,57,11.41,11.77,0.033,0.8533,0.8997,1.592,0.000535,206.5,0.004778,0.007643,0.02042,0.29,12.29,13.07,13.11,7.217,0.01129,5.452,2.488,2.595,0.001308,18.78,0.01507,3.197,0.04751,3.591,3.846,8.236,0.00158,-0.009656,4.648,4.84,4.949,-0.04185,0.3613,0.53,-0.01845,0.02564,1.936,1.953
30,7/14/2021,16:00:26, ,58,109.7,121,0.234,32.93,35.07,37.38,0.005965,107.4,0.01591,0.059,0.1028,2.475,79.18,99.55,101.3,47.63,0.09404,36.81,7.659,8.377,-0.003207,88.77,0.08205,6.06,0.4181,6.738,7.301,9.437,0.002327,-0.008963,13.9,14.86,14.99,-0.03605,0.8935,3.514,-0.0563,0.1579,34.89,39.21
31,7/14/2021,16:04:01, ,59,51.94,55.6,0.083,31.42,33.78,36.7,0.001897,64.22,0.004875,0.02779,0.0506,0.7318,30,32.99,33.05,37.02,0.0326,13.66,3.168,3.313,-0.000876,84.32,0.03521,2.774,0.1261,2.883,3.136,4.501,0.00432,-0.01517,10.61,11.24,11.31,-0.03325,0.652,1.303,-0.02434,0.05259,32.53,35.32
32,7/14/2021,16:07:33, ,60,57.79,61.78,0.109,32.83,34.67,37.47,0.00247,46.87,0.007519,0.03197,0.05305,1.06,35.81,40.04,40.13,37.2,0.03952,15.35,4.01,4.237,-0.002456,85.25,0.04012,2.389,0.1885,3.112,3.345,4.389,0.00284,-0.01534,12.12,12.82,12.88,-0.0316,0.6509,1.408,-0.02858,0.06137,33.51,36.86
33,7/14/2021,16:11:07, ,61,70.64,76.49,0.111,35.14,37.44,40.56,0.002828,65.11,0.00663,0.03571,0.06891,1.015,43.61,46.95,49.95,42.32,0.04856,19.4,3.932,4.173,-0.001303,91.89,0.04695,3.923,0.1814,3.3,3.654,4.952,0.004657,-0.01841,14.29,15.5,15.64,-0.03265,0.7384,1.989,-0.0323,0.08194,36.35,39.91
34,7/14/2021,16:14:40, ,62,86.58,95.69,0.173,29.9,32.08,35.04,0.004333,84.13,0.01118,0.04361,0.08329,1.71,59.97,71.32,72.2,40.71,0.06791,26.8,6.174,6.725,-0.001425,81.9,0.06147,4.608,0.2856,5.069,5.543,7.235,0.003436,-0.01762,16.25,17.63,17.7,-0.03475,0.7495,2.589,-0.04725,0.1127,31.71,35.81
35,7/14/2021,16:18:19, ,63,86.21,96.13,0.171,29.75,32.23,35.09,0.004256,84.39,0.01115,0.04338,0.08302,1.694,60.02,71.52,72.3,40.98,0.06809,26.97,6.159,6.696,-0.001833,82.4,0.06101,4.546,0.2863,5.048,5.464,7.178,0.002632,-0.01424,17.16,18.59,18.66,-0.03393,0.7555,2.579,-0.04915,0.1114,31.79,35.68
36,7/14/2021,16:21:53, ,64,36.58,41.05,0.457,0.9159,1.008,1.549,0.000453,224.2,0.08963,0.08726,0.1858,4.708,36.33,41.3,41.53,6.932,0.01117,20.08,6.325,6.865,-0.000787,18.19,0.1815,8.613,0.9169,12.93,14.28,18.56,0.002212,0.06813,4.502,4.779,4.804,-0.0406,0.342,0.5075,-0.03697,0.456,5.833,6.228
200.7 CV,7/14/2021,16:25:26, ,65,2.079,2.101,1.869,1.994,1.982,1.885,2.017,2.242,1.829,1.945,1.919,1.837,2.08,2.089,2.111,2.02,1.951,1.998,1.862,1.858,2.07,2.078,2.028,2.411,2.022,0.04552,0.03194,0.08382,1.881,1.879,8.611,8.664,8.705,1.949,1.631,1.999,2.034,1.832,2.011,1.929
Sulfur IPC,7/14/2021,16:29:01, ,66,0.068,0.077,0.003,0.1383,0.1458,0.01903,0.000998,0.07221,0.000903,0.000747,0.000972,0.001837,0.02797,0.03128,0.03234,0.0367,0.00206,0.0138,0.003484,0.0045,0.001369,0.1359,0.000917,-0.01282,0.000665,20.73,21.27,21.61,0.001331,0.000057,0.34,0.3094,0.3077,0.001358,0.002086,0.00231,-0.00014,0.000899,0.0215,0.02295
Lblank,7/14/2021,16:32:28, ,67,0.016,0.02,0.002,0.08505,0.0906,0.007728,0.000035,0.04215,0.000005,-0.000046,0.000013,0.000344,0.01154,0.01388,0.01341,0.03062,-0.000126,0.005844,0.001411,0.0015,-0.000039,0.05297,0.000019,-0.0107,0.000086,0.01117,0.03176,0.01697,0.000543,-0.000965,0.001816,0.006713,0.007556,0.000061,0.00019,0.000259,-0.00126,0.000109,0.009017,0.01027
37,7/14/2021,16:35:59, ,68,17.17,18.67,0.044,0.1661,0.1891,0.3115,0.001617,22.62,0.004176,0.015,0.02308,0.4785,26.59,28.11,28.13,30.9,0.02243,9.889,2.395,2.386,0.002832,0.8503,0.0231,2.663,0.09686,14.89,17.68,16.19,0.003748,-0.01466,3.196,3.481,3.469,-0.02403,0.1056,1.06,-0.02253,0.04681,1.162,1.165
38,7/14/2021,16:39:22, ,69,14.5,15.44,0.063,0.361,0.3984,0.417,0.00126,74.18,0.005357,0.01295,0.02005,0.5045,23.92,26.01,26.06,135.2,0.02042,13.07,3.165,3.276,0.007357,2.929,0.02078,7.22,0.09335,74.61,88.73,78.27,0.003343,-0.01226,3.985,4.317,4.317,-0.03347,0.2552,0.8731,-0.02336,0.04212,1.154,1.169
39,7/14/2021,16:42:13, ,70, ,208.5,0.516,0.1839,0.1924,3.416,0.01295,214.5,0.03299,0.1403,0.2088,5.339,157.1,261.8,275.5,65.36,0.2443,102.2,15.49,17.95,-0.00221,4.198,0.207,19.4,0.9217,25.65,30.19,31.32,-0.005947,-0.02115,5.383,5.969,6.053,-0.03874,0.9854,8.203,-0.1176,0.434,11.28,12.32
40,7/14/2021,16:45:09, ,71,19.74,21.52,0.061,0.3141,0.3458,0.5217,0.001371,56.06,0.005552,0.01734,0.02637,0.5732,30.17,33.14,33.26,133,0.02712,15.34,3.264,3.369,0.00611,2.231,0.02602,7.876,0.1078,67.57,80.46,70.95,0.002733,-0.01816,4.325,4.782,4.794,-0.03212,0.2293,1.154,-0.02595,0.05462,1.475,1.519
41,7/14/2021,16:48:07, ,72,18.22,19.84,0.061,0.3339,0.3659,0.3931,0.001321,48.08,0.005265,0.01286,0.02274,0.5883,27.76,30.15,30.24,144.6,0.02314,15.01,2.89,2.973,0.006602,2.137,0.02178,6.821,0.1066,73.42,87.68,76.94,0.003508,-0.0141,4.566,5.028,5.015,-0.02983,0.2189,1.015,-0.02602,0.04661,1.256,1.277
