Sample ID,Date,Time,Remarks,Run,Al 396.2,Al_r 396.2,As 188.9,B 249.6,B_r 249.6,Ba 233.5,Be 313.1,Ca_r 317.9,Cd 228.8,Co 228.6,Cr 267.7,Cu 327.3,Fe 238.2,Fe_r 238.2,Fe_r 234.3,K_r 766.5,Li_r 670.8,Mg_r 285.2,Mn 257.6,Mn_r 260.5,Mo 202.0,Na_r 589.6,Ni 231.6,P 178.2,Pb 220.3,S 181.9,S_r 181.9,S 180.6,Sb 206.8,Se 196.0,Si 251.6,Si_r 251.6,Si_r 212.4,Sn 189.9,Sr_r 407.7,Ti 334.9,Tl 190.8,V 292.4,Zn 206.2,Zn_r 206.2
,,, ,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
Calib Blank 1,7/14/2021,12:28:39, ,1,[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00]
SedSTD_1,7/14/2021,12:32:07, ,2,,,[10],[1],[1],[1],,[10],[2],,,[2],,,,,,,[2],[2],,,,,,,,,[5],[5],,,,,,,,,,
SedSTD_2,7/14/2021,12:34:18, ,3,,,,,,,,,,,,,,,,[20],[5],,,,[10],[10],,,,,,,,,,,,,[1],[10],,,,
SedSTD_3,7/14/2021,12:36:38, ,4,,,,,,,,,,[2],,,,,,,,,,,,,,[10],,,,,,,,,,,,,,[2],,
SedSTD_4,7/14/2021,12:39:08, ,5,[10],[10],,,,,,,,,[5],,,,,,,,,,,,,,,,,,,,[10],[10],[10],[4],,,,,[5],[5]
SedSTD_5,7/14/2021,12:41:27, ,6,,,,,,,[1],,,,,,[10],[10],[10],,,[10],,,,,[2],,[10],,,,,,,,,,,,[5],,,
SedSTD_S,7/14/2021,12:43:43, ,7,,,,,,,,,,,,,,,,,,,,,,,,,,[40],[40],[40],,,,,,,,,,,,
200.7 CCV,7/14/2021,13:04:39, ,8,1.936,1.975,1.976,0.1654,0.1618,0.1907,0.2013,1.879,0.3985,0.3958,1.007,0.3764,2.074,1.938,1.943,3.94,1.006,1.935,0.3841,0.3703,2.059,2.015,0.4047,2.349,1.989,0.009739,0.04816,0.07412,0.9853,0.9911,2.039,2.006,2.036,0.8088,0.202,2.047,0.9973,0.3651,1.028,0.9861
200.7 CV,7/14/2021,13:08:02, ,9,2.017,2.075,1.911,1.883,1.866,1.883,2.015,1.889,1.868,1.992,1.938,1.905,2.046,2.002,2.023,2.089,1.996,1.952,1.873,1.907,2.083,2.055,2.004,2.381,2.034,0.01588,-0.000087,0.0409,1.92,1.947,8.915,8.955,8.998,1.99,1.835,2.032,2.054,1.884,2.002,1.971
Sulfur IPC,7/14/2021,13:11:37, ,10,0.035,0.041,0.002,-0.02112,-0.01791,0.002115,0.001749,0.009808,0.001874,0.002029,0.002186,0.001825,0.00428,0.00586,0.006205,0.01044,0.003381,0.003831,0.000974,0.001873,0.002885,0.06213,0.002108,0.000891,0.003146,20.62,20.75,21.24,0.003028,0.002489,0.3728,0.348,0.3483,0.002891,0.002538,0.003036,0.003387,0.001767,0.002361,0.003232
