Sample ID,Date,Time,Remarks,Run,Al 396.2,Al_r 396.2,As 188.9,B 249.6,B_r 249.6,Ba 233.5,Be 313.1,Ca_r 317.9,Cd 228.8,Co 228.6,Cr 267.7,Cu 327.3,Fe 238.2,Fe_r 238.2,Fe_r 234.3,K_r 766.5,Li_r 670.8,Mg_r 285.2,Mn 257.6,Mn_r 260.5,Mo 202.0,Na_r 589.6,Ni 231.6,P 178.2,Pb 220.3,S 181.9,S_r 181.9,S 180.6,Sb 206.8,Se 196.0,Si 251.6,Si_r 251.6,Si_r 212.4,Sn 189.9,Sr_r 407.7,Ti 334.9,Tl 190.8,V 292.4,Zn 206.2,Zn_r 206.2
,,, ,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
Calib Blank 1,7/2/2021,15:13:06, ,1,[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00],[0.00]
Sample30,7/2/2021,16:28:14, ,17,23.97,24.45,0.051,0.4106,0.4318,1.135,0.001353,96.97,0.005337,0.01317,0.02531,0.5699,24.09,25.62,25.67,6.716,0.02214,9.441,2.114,2.232,0.000117,11.44,0.02195,6.511,0.1057,2.944,2.891,5.917,-0.000575,-0.01029,1.298,1.36,1.367,-0.04117,0.2128,0.8249,-0.01647,0.04318,2.02,2.056
Sample50,7/2/2021,16:31:42, ,18,160.1,174.1,0.413,0.6599,0.684,2.535,0.009992,186.2,0.02953,0.1156,0.1732,4.267,133.9,199.4,206.9,208.1,0.1839,78.4,17.59,20.92,0.00465,6.35,0.1759,54.55,0.7269,119.2,134.4,140.6,-0.00445,-0.007213,2.429,2.575,2.627,-0.04142,0.8531,5.701,-0.1272,0.3685,9.314,9.775
Sample49,7/2/2021,16:34:51, ,19,52.54,51.41,0.146,0.801,0.8275,0.8659,0.002937,113.9,0.01398,0.03768,0.06247,1.228,59.33,69.33,69.87,286.7,0.06361,30.37,8.567,9.646,0.01071,6.256,0.05604,45.23,0.2291,181.2,199.5,206.4,-0.001874,-0.00439,1.117,1.179,1.197,-0.03803,0.4976,2.357,-0.06063,0.1297,3.434,3.592
Sample54,7/2/2021,16:38:22, ,20, ,347.1,0.284,0.04597,0.03599,0.9905,0.02985,114.9,0.004016,0.1651,0.4421,0.4415,180.4,340.2,363.4,23.18,0.5269,127.2,6.331,7.051,0.08568,7.503,0.4482,44.58,0.5933,4.977,4.092,8.979,-0.01408,-0.009291,2.229,2.421,2.504,-0.0417,1.209,12.17,-0.09649,0.5473,1.836,1.947
Sample57,7/2/2021,16:41:53, ,21,25.5,27.31,0.408,-0.01309,-0.0104,0.001661,-0.000035,25.83,0.08249,0.08047,0.1717,4.439,26.43,27.78,27.85,0.06245,0.000505,14.01,4.073,4.259,-0.000579,0.01285,0.1684,14.63,0.8759,9.826,10.98,12.8,0.004086,0.06323,-0.000202,0.002329,0.005741,-0.0289,0.003615,0.009253,-0.02354,0.435,4.046,4.14
Sample60,7/2/2021,16:45:20, ,22,0.051,0.081,-0.007,-0.01638,-0.01369,-0.000515,-0.000058,0.06601,0.00042,-0.000373,0.000374,0.004993,0.06544,0.09051,0.0922,0.03474,-0.000176,0.03717,0.005059,0.007124,0.001371,0.003923,-0.000223,0.3762,0.000467,0.05111,0.03338,0.03964,0.002169,-0.0033,0.001549,0.000317,0.000229,0.001395,0.000168,0.002007,-0.002948,0.000361,0.004143,0.007005
Lspike26,7/2/2021,16:48:51, ,23,68.85,72.86,0.525,0.479,0.5092,1.822,0.002411,143.3,0.09488,0.1028,0.2128,5.922,60.66,70.94,71.79,10.58,0.04146,30.94,7.469,8.167,-0.001438,15.92,0.2034,27.47,1.097,15.59,16.78,22.76,0.000515,0.07004,1.326,1.416,1.427,-0.04216,0.2973,1.506,-0.04786,0.5158,6.901,7.128
Sample26dup,7/2/2021,16:52:16, ,24,43.7,45.54,0.102,0.4684,0.4886,1.849,0.002581,118.9,0.008638,0.02365,0.0448,1.183,41.83,46.13,46.43,10.4,0.04082,16.86,3.719,3.921,-0.000206,15.48,0.03677,10.42,0.1971,4.199,4.291,8.18,0.000331,-0.009266,2.126,2.244,2.271,-0.04202,0.3031,1.574,-0.03103,0.07813,3.112,3.155
200.7 CV,7/2/2021,16:55:46, ,25,1.969,2.165,1.918,1.844,1.895,1.858,1.996,2.039,1.861,1.952,1.972,1.913,2.027,2.099,2.112,2.065,2.071,2.008,1.857,1.921,2.019,2.066,2.022,7.689,2.022,0.06605,0.001691,0.09983,1.922,1.975,8.831,8.96,9.031,1.966,1.67,1.963,2.032,1.879,1.966,1.925
200.7 S CV,7/2/2021,16:59:21, ,26,0.054,0.071,-0.002,-0.01227,-0.008114,0.001615,0.000874,0.04494,0.000866,0.001042,0.000967,0.001659,0.03719,0.04523,0.04681,0.02146,0.002394,0.01761,0.001753,0.003159,0.001927,0.06425,0.00109,-0.09193,0.001297,24.33,24.99,29.72,0.000002,0.003657,0.1345,0.1259,0.1261,0.002176,0.001855,0.00246,0.004127,0.00084,0.003361,0.004675
LBLANK,7/2/2021,17:02:49, ,27,0.012,0.014,-0.003,-0.01935,-0.01711,0.000549,0.000122,0.022,0.000048,0.00037,0.000258,0.000505,0.01531,0.01656,0.01793,0.01325,0.000313,0.00629,0.000373,0.000693,0.000236,0.005638,0.000168,-0.08133,0.000595,0.03874,0.04917,0.04648,-0.001862,0.000281,0.007957,0.00857,0.009504,0.000564,0.000205,0.000652,0.000284,0.000229,0.001355,0.00177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
